Affymetrix ID,Gene Symbol,RefSeq,P value (Middle/Young),Ratio (Middle/Young),P value (Old/Young),Ratio (Old/Young),P value (Senescent/Young),Ratio (Senescent/Young)
8103389,CTSO,NM_001334,6.47E-02,1.22,6.15E-03,1.41,1.45E-06,2.76
7962375,PRICKLE1,NM_153026,9.99E-03,2.04,5.91E-03,2.31,3.44E-03,2.76
8163202,SVEP1,NM_153366,7.76E-01,1.06,2.17E-01,1.33,1.39E-03,2.76
8122724,ULBP1,NM_025218,7.21E-03,1.16,3.63E-07,1.61,2.61E-10,2.75
7896337,,---,5.88E-03,1.59,3.34E-03,1.72,5.81E-05,2.73
8058390,RAPH1,NM_213589,1.08E-03,1.28,2.47E-04,1.37,4.97E-09,2.73
8163672,PAPPA,NM_002581,1.55E-01,0.89,4.05E-02,1.21,1.24E-07,2.73
8037240,PSG1,NM_006905,1.59E-03,1.69,5.51E-03,1.59,3.00E-05,2.72
7990054,UACA,NM_018003,5.65E-02,1.36,2.65E-03,1.81,1.04E-04,2.71
7988426,SLC30A4,NM_013309,1.97E-04,1.38,2.52E-06,1.71,1.01E-08,2.71
8122396,AIG1,NM_016108,5.17E-05,1.42,1.93E-06,1.69,5.74E-09,2.71
8175871,L1CAM,NM_000425,5.25E-01,1.03,4.11E-04,1.3,1.27E-09,2.7
7902512,DNAJB4,NM_007034,2.71E-02,1.34,3.98E-04,1.82,1.14E-05,2.69
8108912,SH3RF2,NM_152550,4.47E-01,1.09,4.87E-02,1.31,1.07E-05,2.69
8108475,C5orf53,NM_001007189,5.43E-04,1.51,2.62E-05,1.86,7.04E-07,2.68
8144279,CLN8,NM_018941,1.63E-04,1.51,4.78E-05,1.66,1.68E-07,2.68
7975390,SMOC1,NM_001034852,1.88E-02,1.75,2.41E-02,1.76,1.75E-03,2.67
7947512,PAMR1,NM_015430,1.00E-07,1.73,6.82E-09,2.1,9.80E-10,2.67
7932826,KIAA1462,NM_020848,1.40E-06,1.7,1.42E-06,1.76,1.26E-08,2.66
8015179,KRTAP1-5,NM_031957,8.81E-06,2.28,1.23E-06,2.91,9.93E-06,2.65
8019588,KRTAP1-5,NM_031957,8.81E-06,2.28,1.23E-06,2.91,9.93E-06,2.65
7933312,ANXA8L1,NM_001098845,3.51E-01,1.07,2.64E-01,1.09,1.01E-07,2.64
7953943,GABARAPL1,NM_031412,5.33E-02,1.4,2.25E-03,1.91,2.42E-04,2.63
8009502,KCNJ2,NM_000891,7.24E-01,0.95,1.61E-01,1.25,1.03E-04,2.62
8043367,PLGLB2,NM_002665,4.41E-02,1.42,5.41E-03,1.76,2.45E-04,2.61
8053602,PLGLB2,NM_002665,4.41E-02,1.42,5.41E-03,1.76,2.45E-04,2.61
8035648,TM6SF2,NM_001001524,5.14E-03,1.22,5.62E-05,1.45,8.08E-09,2.61
7950391,PGM2L1,NM_173582,4.33E-02,1.3,3.55E-02,1.34,1.61E-05,2.61
8084219,KLHL24,NM_017644,6.78E-01,0.94,7.35E-03,1.61,8.76E-05,2.61
7981514,AHNAK2,NM_138420,1.65E-02,1.2,5.72E-04,1.39,4.94E-08,2.6
7953284,NTF3,NM_002527,2.25E-04,2.03,2.46E-04,2.12,7.78E-05,2.6
7974882,SYT16,NM_031914,5.55E-01,1.09,1.63E-01,1.26,1.48E-04,2.6
8089596,WDR52,ENST00000393845,6.20E-01,1.04,9.65E-03,1.26,9.14E-08,2.59
7939314,EHF,NM_012153,1.34E-01,1.09,4.07E-03,1.23,5.48E-09,2.59
8096733,SGMS2,NM_001136258,1.53E-01,1.15,2.75E-03,1.44,1.58E-06,2.58
8168817,DRP2,NM_001939,4.86E-03,1.25,7.62E-05,1.5,3.47E-08,2.58
8047401,,---,1.65E-02,1.31,4.20E-05,1.91,2.82E-06,2.58
7963721,CALCOCO1,NM_020898,4.57E-02,1.23,3.59E-04,1.62,1.78E-06,2.58
8160452,CDKN2B,NM_078487,4.97E-01,1.08,2.23E-03,1.53,5.88E-06,2.58
7936968,ADAM12,NM_003474,4.64E-02,0.72,3.85E-01,1.15,1.73E-04,2.57
8101992,SLC39A8,NM_022154,6.86E-01,1.02,1.44E-01,1.08,1.17E-09,2.56
7976806,,---,5.08E-01,1.08,1.03E-01,1.25,2.36E-05,2.56
7993807,TMEM159,NM_020422,2.16E-01,1.19,1.56E-02,1.5,7.62E-05,2.55
7895831,,---,8.69E-04,1.48,2.89E-03,1.43,1.54E-06,2.55
8108478,C5orf32,NM_032412,1.02E-05,1.5,7.08E-07,1.75,8.41E-09,2.55
8100382,CHIC2,NM_012110,7.17E-03,1.29,8.85E-05,1.63,4.04E-07,2.55
8113097,C5orf36,NM_001145678,9.50E-01,0.99,1.14E-02,1.43,1.42E-05,2.55
8101126,CXCL10,NM_001565,7.76E-01,0.96,3.54E-03,1.71,1.11E-04,2.54
8037251,PSG7,NM_002783,3.83E-07,1.95,4.40E-06,1.76,7.38E-08,2.54
8044931,,---,5.42E-01,1.1,5.83E-01,1.09,1.81E-04,2.53
8056151,PLA2R1,NM_007366,5.08E-02,1.15,3.46E-03,1.28,4.71E-08,2.53
8037283,PSG4,NM_002780,4.46E-08,2.13,4.65E-07,1.92,3.29E-08,2.52
7923516,CYB5R1,NM_016243,7.11E-05,1.35,4.64E-06,1.52,2.96E-09,2.52
8155169,RECK,NM_021111,2.22E-04,1.62,2.08E-05,1.96,2.67E-06,2.51
8072626,TIMP3,NM_000362,1.58E-05,1.25,1.55E-09,1.75,1.79E-11,2.51
7992828,IL32,NM_001012631,2.16E-03,1.54,1.61E-06,2.8,1.61E-05,2.5
8112994,,---,6.54E-01,1.07,4.19E-01,0.88,1.45E-04,2.5
7943998,NNMT,NM_006169,3.15E-01,1.3,1.82E-01,1.46,1.01E-02,2.5
8094789,LIMCH1,NM_014988,1.17E-01,1.21,2.03E-01,1.18,2.30E-05,2.5
7997582,WFDC1,NM_021197,7.90E-01,0.93,3.32E-01,1.34,1.51E-02,2.5
7919637,HIST2H2BE,NM_003528,2.38E-01,1.19,2.76E-02,1.46,1.50E-04,2.49
7969544,NDFIP2,NM_019080,4.52E-03,1.32,1.59E-04,1.58,5.14E-07,2.49
7905428,TUFT1,NM_020127,3.30E-01,1.2,6.34E-02,1.48,1.14E-03,2.49
8124492,HIST1H2BK,NM_080593,3.08E-01,1.1,1.33E-03,1.5,2.32E-06,2.48
8069880,TIAM1,NM_003253,3.63E-02,1.42,2.79E-04,2.24,2.57E-04,2.48
8167603,CLCN5,NM_001127899,1.72E-01,1.07,4.46E-02,1.12,2.27E-09,2.47
8119088,CDKN1A,NM_078467,1.65E-03,1.51,2.94E-06,2.44,7.74E-06,2.47
8098204,CPE,NM_001873,8.25E-04,0.76,3.19E-02,0.85,5.23E-08,2.47
8172280,SLC9A7,NM_032591,7.32E-03,1.4,1.26E-04,1.87,1.11E-05,2.47
8065948,FER1L4,NR_024377,1.07E-01,1.15,7.81E-03,1.31,6.15E-07,2.47
7972487,DOCK9,NM_015296,1.62E-07,2.22,2.34E-06,1.94,3.00E-07,2.46
7950933,NOX4,NR_026571,1.72E-05,1.36,9.22E-08,1.71,9.63E-10,2.46
8160786,KIAA1161,NM_020702,1.35E-01,1.08,1.38E-03,1.24,2.32E-09,2.45
8042637,DYSF,NM_001130978,2.39E-01,1.09,1.60E-02,1.23,1.36E-07,2.45
7922773,NCF2,NM_000433,4.35E-04,1.45,8.77E-06,1.83,4.69E-07,2.45
8030251,TRPM4,NM_017636,7.48E-04,1.34,5.43E-06,1.71,7.53E-08,2.44
8059244,CHPF,NM_024536,2.39E-03,1.37,2.89E-05,1.77,1.02E-06,2.44
7958202,CHST11,NM_018413,1.46E-05,1.87,4.40E-06,2.12,2.43E-06,2.44
8126086,TMEM217,NM_145316,2.63E-02,1.25,2.29E-04,1.63,2.25E-06,2.43
8014115,MYO1D,NM_015194,1.48E-01,0.88,1.16E-01,0.86,8.17E-07,2.43
8102200,DKK2,NM_014421,3.77E-01,1.07,1.52E-02,1.25,3.36E-07,2.43
8096744,CYP2U1,NM_183075,8.13E-05,1.36,4.50E-05,1.41,7.16E-09,2.43
7946323,OR5P2,NM_153444,7.57E-02,1.21,7.68E-03,1.39,6.07E-06,2.43
8116835,GCNT2,NM_145649,2.90E-03,1.44,5.91E-04,1.63,7.13E-06,2.42
7970329,GAS6,NM_000820,4.57E-03,1.59,5.94E-04,1.94,1.39E-04,2.41
8095868,UNQ3028,AY358789,1.26E-03,1.83,5.74E-04,2.04,2.59E-04,2.41
8157671,OR1J4,NM_001004452,2.38E-01,0.84,2.55E-01,1.19,1.59E-04,2.41
8085138,OXTR,NM_000916,6.31E-02,1.61,1.93E-02,1.95,8.01E-03,2.41
8166747,SYTL5,NM_138780,1.04E-01,0.74,8.02E-01,1.05,1.21E-03,2.41
7974117,C14orf28,NM_001017923,4.06E-02,1.19,1.56E-04,1.56,5.94E-07,2.39
7994981,ORAI3,NM_152288,1.32E-01,1.2,2.57E-03,1.58,3.01E-05,2.39
7917875,F3,NM_001993,6.97E-03,1.52,2.52E-04,2.02,1.09E-04,2.38
8152133,RRM2B,NM_015713,2.04E-03,1.24,9.82E-07,1.71,1.64E-08,2.38
8158250,CERCAM,NM_016174,1.37E-02,1.22,5.08E-06,1.77,2.05E-07,2.38
8135480,DNAJB9,NM_012328,1.42E-02,1.35,2.57E-04,1.78,1.81E-05,2.38
8176076,DNASE1L1,NM_001009932,1.02E-03,1.29,1.24E-06,1.77,4.45E-08,2.38
8029744,QPCTL,NM_017659,1.75E-01,1.09,7.34E-03,1.22,2.45E-08,2.37
8126798,GPR116,NM_015234,7.05E-01,0.98,3.31E-01,1.06,3.12E-08,2.37
8151952,NIPAL2,NM_024759,1.89E-03,1.24,5.16E-06,1.58,1.83E-08,2.37
7998604,HAGH,NM_005326,6.99E-03,1.22,7.71E-02,1.14,6.87E-08,2.36
8126093,,---,8.93E-02,1.22,8.43E-04,1.67,2.44E-05,2.36
8173310,OPHN1,NM_002547,3.89E-03,1.55,4.85E-03,1.58,8.19E-05,2.36
7893608,,---,1.02E-03,1.35,4.27E-04,1.43,2.49E-07,2.36
7898663,PINK1,NM_032409,5.37E-03,1.22,2.44E-05,1.51,3.71E-08,2.36
