Affymetrix ID,Gene Symbol,RefSeq,P value (Middle/Young),Ratio (Middle/Young),P value (Old/Young),Ratio (Old/Young),P value (Senescent/Young),Ratio (Senescent/Young)
8105302,FST,NM_006350,1.83E-02,1.24,1.10E-03,0.7,1.07E-06,0.43
8149955,PBK,NM_018492,1.28E-01,0.83,4.00E-04,0.54,6.77E-08,0.2
8003903,ARRB2,NM_004313,2.33E-03,0.79,2.81E-06,0.59,6.86E-08,0.43
8021924,THOC1,NM_005131,3.23E-03,0.81,1.43E-04,0.72,5.72E-08,0.45
8135378,PRKAR2B,NM_002736,1.16E-01,0.88,6.22E-05,0.62,1.12E-07,0.37
7909146,FAM72D,AB096683,1.35E-02,0.75,2.15E-04,0.57,4.94E-08,0.24
7956648,XRCC6BP1,NM_033276,1.16E-01,0.91,1.01E-04,0.71,1.53E-07,0.48
7933855,RTKN2,NM_145307,3.01E-02,0.85,6.05E-03,0.79,6.23E-08,0.39
8093500,TACC3,NM_006342,3.58E-02,0.83,1.85E-03,0.72,3.16E-08,0.31
8092640,RFC4,NM_002916,2.81E-02,0.79,2.96E-04,0.6,6.43E-08,0.26
8091780,B3GALNT1,NM_001038628,1.50E-02,0.81,1.92E-05,0.57,2.84E-07,0.39
8120654,KCNQ5,NM_001160133,2.88E-01,1.11,1.77E-02,0.76,1.91E-07,0.31
7905826,CKS1B,NR_024163,2.97E-02,0.86,2.74E-05,0.66,3.02E-07,0.48
8060813,MCM8,NM_032485,2.09E-01,0.89,1.33E-04,0.59,1.18E-07,0.31
8117426,HIST1H2BH,NM_003524,1.30E-01,0.84,7.38E-04,0.6,5.60E-08,0.22
7915926,STIL,NM_001048166,4.04E-01,0.93,3.35E-04,0.63,2.03E-07,0.33
8112376,CENPK,NM_022145,1.33E-01,0.86,3.70E-03,0.7,1.94E-07,0.31
8156982,SMC2,NM_001042551,2.57E-02,0.8,3.67E-05,0.56,1.42E-07,0.33
8051814,ZFP36L2,NM_006887,1.50E-01,0.93,8.11E-02,0.9,2.93E-08,0.47
8058373,WDR12,NM_018256,1.15E-01,0.91,8.37E-04,0.76,7.38E-08,0.45
7907183,C1orf112,BC091516,5.30E-01,0.94,7.76E-04,0.63,4.22E-07,0.32
8034806,DDX39,NM_005804,2.81E-02,0.86,5.48E-04,0.73,5.21E-08,0.41
8092654,RPL39L,NM_052969,4.96E-01,0.94,2.46E-03,0.7,1.96E-07,0.33
8027348,ZNF730,AK131472,1.26E-01,0.81,9.94E-04,0.55,8.40E-08,0.17
8104825,BXDC2,NM_018321,1.01E-01,0.91,1.55E-03,0.79,7.66E-08,0.48
8039928,FAM72D,AB096683,1.41E-02,0.75,2.02E-04,0.57,6.70E-08,0.25
8102800,SLC7A11,NM_014331,7.10E-02,0.86,6.35E-04,0.69,4.68E-07,0.42
7961710,ABCC9,NM_005691,7.39E-02,0.79,1.80E-02,0.71,2.38E-08,0.17
7893955,,---,1.78E-02,0.77,9.85E-03,0.73,2.72E-07,0.31
7962146,FAM60A,NM_001135811,9.31E-03,0.77,9.03E-06,0.52,4.13E-07,0.37
8117429,HIST1H2BI,NM_003525,3.18E-02,0.73,1.09E-04,0.46,1.29E-07,0.19
7938629,PDE3B,NM_000922,4.68E-07,0.46,2.31E-07,0.41,7.37E-07,0.41
7901363,CDKN2C,NM_001262,1.51E-02,0.8,3.13E-05,0.57,8.84E-08,0.34
8066074,DSN1,NM_001145316,4.29E-02,0.86,6.57E-05,0.65,2.93E-07,0.44
7910997,EXO1,NM_130398,1.15E-01,0.8,5.35E-04,0.51,1.01E-07,0.17
7935403,ARHGAP19,NM_032900,1.47E-01,0.87,4.57E-04,0.64,1.13E-07,0.31
7989915,TIPIN,NM_017858,6.47E-01,0.96,6.38E-04,0.68,1.85E-06,0.45
8156750,ANP32B,NM_006401,3.28E-03,0.81,3.93E-05,0.68,7.22E-08,0.45
8007651,DBF4B,NM_145663,3.48E-02,0.87,2.07E-04,0.72,1.11E-07,0.46
7984330,ZWILCH,NR_003105,2.44E-01,0.91,1.86E-03,0.72,2.03E-07,0.38
7997381,CENPN,NM_001100624,2.43E-01,0.92,1.75E-03,0.74,1.50E-07,0.4
7957649,SNRPF,NM_003095,5.81E-02,0.88,2.04E-04,0.72,5.01E-08,0.43
7893966,,---,1.44E-01,0.91,1.13E-03,0.75,5.20E-08,0.41
8146945,GDAP1,NM_018972,7.07E-05,0.74,3.04E-06,0.64,9.59E-08,0.5
8054702,CKAP2L,NM_152515,2.28E-01,0.86,4.70E-03,0.64,8.69E-08,0.19
8143629,OR2A9P,NR_002157,3.61E-06,0.44,1.46E-06,0.39,1.21E-05,0.42
8167347,SUV39H1,NM_003173,1.36E-03,0.77,3.18E-05,0.64,1.94E-07,0.44
8081786,QTRTD1,NM_024638,2.94E-02,0.87,1.94E-03,0.79,4.69E-08,0.44
7997336,VAT1L,NM_020927,1.22E-05,0.71,3.45E-04,0.78,1.97E-08,0.48
7943349,FLJ32810,NM_152432,3.83E-01,1.07,3.48E-02,0.83,1.13E-06,0.46
8146357,MCM4,NM_005914,3.79E-02,0.8,4.54E-04,0.61,1.14E-07,0.28
7975167,GPHN,NM_020806,7.90E-05,0.71,8.96E-05,0.7,4.16E-08,0.43
7924476,TAF1A,NM_005681,6.80E-01,0.97,7.39E-03,0.8,3.48E-07,0.46
8124385,HIST1H4B,NM_003544,2.22E-01,0.84,3.95E-04,0.5,1.89E-07,0.19
8172876,SMC1A,NM_006306,2.32E-01,0.91,5.01E-04,0.68,2.29E-07,0.38
7896250,,---,5.18E-02,0.86,7.91E-04,0.71,1.67E-07,0.4
7919645,SV2A,NM_014849,6.35E-02,0.89,1.87E-02,0.85,4.00E-08,0.43
8166525,POLA1,NM_016937,1.41E-01,0.84,3.04E-04,0.55,3.13E-07,0.26
8140814,SLC25A40,NM_018843,4.17E-01,0.95,3.04E-04,0.7,4.79E-07,0.46
7972840,TUBGCP3,NM_006322,6.86E-01,0.97,4.52E-04,0.71,4.29E-07,0.45
8144153,NCAPG2,NM_017760,5.02E-01,0.92,8.05E-04,0.57,2.70E-07,0.24
7948904,SNORD28,NR_002562,3.63E-02,0.76,2.81E-04,0.53,2.10E-07,0.23
7893840,,---,2.65E-02,0.87,2.24E-03,0.79,5.93E-08,0.46
7950641,KCTD14,NM_023930,1.39E-03,0.63,1.13E-05,0.42,3.99E-07,0.27
7972180,RNF219,NM_024546,3.40E-01,0.93,8.51E-03,0.78,3.00E-07,0.41
7948898,SNORD31,NR_002560,6.47E-03,0.74,3.10E-05,0.53,2.08E-07,0.32
8160346,PTPLAD2,NM_001010915,7.07E-05,0.69,1.42E-04,0.69,2.13E-08,0.37
8058201,,---,5.24E-05,0.59,1.49E-06,0.45,7.24E-06,0.46
7903777,GSTM5,NM_000851,1.51E-05,0.43,5.70E-06,0.37,1.27E-07,0.2
8154163,RCL1,NM_005772,2.41E-02,0.84,9.44E-04,0.73,2.08E-07,0.43
8124391,HIST1H2AB,NM_003513,1.75E-01,0.79,4.83E-04,0.43,2.57E-07,0.13
8123920,ELOVL2,NM_017770,2.44E-01,0.8,1.04E-01,0.7,1.20E-07,0.08
7896111,,---,6.15E-01,0.97,2.40E-03,0.79,2.01E-07,0.49
8061579,TPX2,NM_012112,2.24E-01,0.88,6.48E-03,0.7,1.38E-07,0.26
7968484,BRCA2,NM_000059,3.59E-01,0.89,2.59E-03,0.61,2.39E-07,0.22
8138745,HOXA7,NM_006896,3.01E-04,0.68,7.72E-06,0.54,3.05E-07,0.39
7959408,KNTC1,NM_014708,1.18E-01,0.82,3.72E-04,0.54,3.04E-07,0.24
7904314,TTF2,NM_003594,1.78E-01,0.87,3.93E-04,0.61,2.39E-07,0.31
8117580,HIST1H2AI,NM_003509,1.59E-02,0.7,5.31E-05,0.44,3.34E-07,0.22
7994769,CORO1A,NM_007074,4.11E-02,0.87,1.69E-04,0.71,1.38E-07,0.45
8109484,KIF4B,NM_001099293,1.99E-02,0.81,1.48E-04,0.63,1.16E-07,0.35
7907466,DARS2,NM_018122,6.54E-02,0.86,2.98E-03,0.75,8.43E-08,0.38
8130374,FBXO5,NM_012177,2.81E-01,0.86,2.37E-03,0.58,2.06E-07,0.19
8130185,ZBTB2,NM_020861,3.14E-01,0.94,1.12E-01,0.9,1.45E-07,0.49
8174717,UPF3B,NM_080632,1.05E-02,0.83,3.37E-04,0.72,1.42E-07,0.44
8117395,HIST1H2BF,NM_003522,1.68E-01,0.81,9.19E-04,0.52,1.55E-07,0.16
8112902,DHFR,NM_000791,4.23E-02,0.83,3.83E-04,0.66,9.56E-08,0.34
7895148,,---,5.10E-02,0.81,1.64E-03,0.65,1.10E-07,0.27
8136983,OR2A20P,NR_002158,4.52E-06,0.44,1.75E-06,0.39,2.38E-05,0.44
7919591,FAM72D,AB096683,2.00E-02,0.73,5.48E-04,0.56,2.49E-07,0.24
7979281,WDHD1,NM_007086,2.28E-01,0.86,5.53E-04,0.56,4.46E-07,0.25
8160771,KIF24,NM_194313,3.60E-02,0.79,1.17E-04,0.55,3.50E-07,0.3
8040843,CAD,NM_004341,1.94E-03,0.81,2.38E-04,0.74,8.65E-08,0.48
7985829,FANCI,NM_001113378,2.00E-01,0.86,1.31E-03,0.6,2.78E-07,0.24
7969576,MIR17HG,NR_027350,7.25E-02,0.79,3.08E-03,0.62,1.04E-06,0.27
8086880,CDC25A,NM_001789,6.28E-02,0.83,1.17E-03,0.66,3.55E-07,0.33
8072229,NEFH,NM_021076,5.63E-04,0.72,1.09E-04,0.65,6.39E-07,0.45
8160935,FANCG,NM_004629,6.14E-03,0.76,4.07E-04,0.65,2.12E-07,0.36
7998886,PKMYT1,NM_182687,1.67E-02,0.79,5.39E-04,0.66,2.04E-07,0.34
8163063,CTNNAL1,NM_003798,3.14E-01,0.94,1.22E-03,0.77,2.99E-07,0.5
8014248,SLFN13,NM_144682,2.26E-05,0.62,9.18E-06,0.57,1.16E-06,0.46
8117435,BTN3A2,NM_007047,4.02E-02,0.83,2.81E-02,0.8,6.13E-08,0.31
8077370,SETMAR,NM_006515,2.59E-01,0.92,8.46E-04,0.72,3.83E-07,0.44
8111629,NUP155,NM_153485,1.56E-01,0.89,8.92E-04,0.7,5.55E-07,0.42
8155214,MELK,NM_014791,3.07E-01,0.87,6.41E-03,0.62,3.24E-07,0.2
8112803,LHFPL2,NM_005779,3.91E-04,0.76,1.68E-03,0.78,6.71E-08,0.46
8057689,OSGEPL1,NM_022353,1.87E-02,0.8,6.05E-05,0.59,5.15E-07,0.39
8079198,ZNF660,NM_173658,4.85E-03,0.8,1.28E-03,0.75,8.77E-08,0.42
7941214,POLA2,NM_002689,2.94E-02,0.82,1.13E-04,0.61,4.80E-07,0.39
7933194,CXCL12,NM_000609,1.19E-02,0.66,7.03E-06,0.32,1.33E-07,0.16
8134339,PEG10,NM_015068,1.37E-03,0.79,1.18E-04,0.71,4.77E-08,0.44
8024885,TNFAIP8L1,NM_152362,1.26E-01,0.9,3.92E-02,0.85,1.24E-07,0.43
8077728,LOC442075,AK092352,1.67E-02,0.83,2.55E-04,0.69,6.70E-07,0.47
8022640,DHFR,NM_000791,4.04E-02,0.82,5.31E-04,0.65,1.34E-07,0.33
8147079,LRRCC1,NM_033402,1.20E-01,0.83,1.90E-03,0.63,2.60E-07,0.26
8117543,HIST1H2AH,NM_080596,1.82E-02,0.77,9.26E-05,0.55,5.64E-07,0.33
8052382,FANCL,NM_001114636,1.90E-01,0.89,7.89E-04,0.67,4.92E-07,0.38
8115144,ARSI,NM_001012301,4.21E-04,0.71,1.23E-05,0.58,2.21E-07,0.41
8100495,PPAT,NM_002703,1.94E-01,0.9,7.40E-03,0.77,3.47E-07,0.41
8009476,MAP2K6,NM_002758,1.37E-05,0.54,1.29E-06,0.43,9.00E-08,0.3
8055377,ZRANB3,NM_032143,4.88E-02,0.86,1.04E-03,0.73,4.41E-07,0.45
8124394,HIST1H2BB,NM_021062,1.74E-01,0.75,3.57E-04,0.35,4.40E-07,0.1
7952641,RICS,NM_001142685,5.53E-04,0.74,1.19E-05,0.61,3.02E-07,0.45
7925062,SIPA1L2,NM_020808,3.20E-05,0.53,4.59E-06,0.44,4.68E-07,0.32
8050240,ODC1,NM_002539,4.60E-02,0.83,3.09E-04,0.64,5.77E-07,0.39
7924712,LIN9,NM_173083,5.37E-02,0.77,1.13E-03,0.57,4.76E-07,0.24
8178399,NRM,NM_007243,3.98E-03,0.73,2.83E-04,0.63,1.39E-07,0.32
8179683,NRM,NM_007243,3.98E-03,0.73,2.83E-04,0.63,1.39E-07,0.32
7914878,LOC100289612,AY605064,1.97E-01,0.82,3.19E-03,0.57,4.67E-07,0.19
7958895,OAS3,NM_006187,3.76E-03,0.8,1.92E-04,0.7,1.66E-07,0.45
8172204,MAOB,NM_000898,3.91E-07,0.49,3.72E-07,0.46,2.56E-06,0.49
8173506,ERCC6L,NM_017669,2.35E-01,0.83,7.35E-03,0.6,4.23E-07,0.18
8080847,C3orf14,AF236158,4.67E-03,0.79,1.07E-04,0.66,2.10E-07,0.42
8090772,TOPBP1,NM_007027,1.95E-01,0.89,2.17E-03,0.7,6.17E-07,0.37
8139632,FIGNL1,NM_001042762,1.52E-01,0.86,1.70E-03,0.66,1.16E-06,0.35
8062395,NNAT,NM_005386,3.19E-06,0.41,1.61E-05,0.45,7.83E-07,0.3
8158380,PKN3,NM_013355,2.44E-02,0.85,4.36E-04,0.73,1.58E-07,0.45
7896368,,---,5.69E-02,0.87,9.48E-03,0.8,2.95E-07,0.44
8022488,ABHD3,NM_138340,8.74E-02,0.86,1.80E-03,0.71,6.44E-07,0.41
8151824,RAD54B,NM_012415,6.23E-01,0.95,2.05E-03,0.63,1.14E-06,0.31
7970624,CENPJ,NM_018451,2.40E-01,0.88,1.12E-03,0.62,1.48E-06,0.33
8117614,HIST1H2BO,NM_003527,4.18E-03,0.75,1.18E-04,0.62,5.60E-07,0.39
8025697,ILF3,NM_012218,6.17E-02,0.88,1.08E-03,0.76,3.08E-07,0.48
8117334,HIST1H4A,NM_003538,2.34E-02,0.74,1.90E-05,0.44,1.49E-06,0.3
7974653,KIAA0586,NM_014749,6.94E-02,0.89,5.70E-04,0.74,3.90E-07,0.49
7923189,KIF14,NM_014875,3.78E-01,0.88,7.19E-03,0.61,5.59E-07,0.19
8073858,GTSE1,NM_016426,6.33E-02,0.82,1.67E-03,0.66,3.38E-07,0.31
8166049,PRPS2,NM_001039091,7.60E-03,0.82,6.04E-05,0.66,7.22E-07,0.49
8059708,SNORA75,NR_002921,1.46E-02,0.8,1.36E-02,0.79,1.58E-06,0.45
8131519,PHF14,NM_014660,1.30E-01,0.9,2.27E-03,0.76,4.89E-07,0.46
8102468,PRSS12,NM_003619,7.46E-03,0.8,1.48E-02,0.81,8.47E-08,0.39
7991777,C4orf46,NM_001008393,9.72E-02,0.82,6.16E-04,0.59,7.54E-07,0.3
8090469,GATA2,NM_032638,2.73E-03,0.77,1.92E-06,0.52,1.91E-06,0.48
7946957,SAAL1,NM_138421,3.76E-02,0.82,8.27E-04,0.67,4.87E-07,0.37
8120838,TTK,NM_003318,1.55E-01,0.78,4.13E-03,0.55,4.22E-07,0.15
8155930,GCNT1,NM_001490,4.39E-04,0.65,5.02E-05,0.55,1.71E-07,0.31
8020468,RBBP8,NM_002894,1.11E-01,0.86,3.21E-04,0.63,1.09E-06,0.39
7943126,KIAA1731,NM_033395,1.07E-01,0.86,1.40E-03,0.68,4.70E-07,0.36
7930148,SFXN2,NM_178858,2.14E-02,0.8,2.93E-04,0.64,1.57E-06,0.42
8050507,WDR35,NM_001006657,6.04E-03,0.81,1.03E-03,0.75,3.25E-07,0.47
8050537,MATN3,NM_002381,2.68E-01,0.92,7.67E-03,0.79,5.78E-07,0.45
7948906,SNORD27,NR_002563,7.47E-02,0.77,9.90E-04,0.53,1.07E-06,0.23
8157534,CEP110,NM_007018,1.83E-01,0.86,1.37E-03,0.62,5.92E-07,0.29
8098379,WDR17,NM_170710,1.52E-04,0.69,3.93E-06,0.55,1.85E-06,0.49
8017262,BRIP1,NM_032043,4.39E-01,1.08,2.34E-02,0.78,1.43E-05,0.47
8133233,AUTS2,NM_015570,1.51E-04,0.67,3.58E-05,0.61,4.85E-07,0.43
8174556,TRPC5,NM_012471,3.71E-05,0.49,4.58E-05,0.48,3.94E-07,0.26
8158446,NUP188,NM_015354,3.33E-02,0.87,8.13E-04,0.76,3.19E-07,0.49
8132318,ANLN,NM_018685,1.00E+00,1,2.08E-02,0.75,9.20E-07,0.34
8075493,PATZ1,NM_014323,2.86E-02,0.84,6.33E-04,0.72,2.87E-07,0.44
8101788,UNC5C,NM_003728,4.18E-07,0.3,9.52E-07,0.3,2.60E-06,0.3
8006187,ATAD5,NM_024857,4.84E-01,0.9,1.99E-03,0.55,2.45E-06,0.24
8063458,DOK5,NM_018431,5.27E-03,0.48,1.76E-05,0.21,2.13E-06,0.11
8076094,DMC1,NM_007068,8.55E-05,0.66,1.32E-05,0.58,1.20E-06,0.47
7930422,SMC3,NM_005445,2.71E-01,0.91,2.80E-03,0.73,9.34E-07,0.42
8124806,NRM,NM_007243,6.84E-03,0.75,5.79E-04,0.65,2.70E-07,0.34
7901993,CACHD1,NM_020925,3.04E-04,0.68,3.72E-05,0.6,1.23E-06,0.45
7938890,PRMT3,NM_005788,2.43E-02,0.82,5.75E-04,0.68,5.22E-07,0.41
8067270,APCDD1L,NM_153360,1.22E-06,0.52,2.36E-06,0.52,1.26E-06,0.46
8151917,MTERFD1,NM_015942,5.75E-02,0.86,3.47E-03,0.76,6.40E-07,0.45
8021768,TSHZ1,NM_005786,6.18E-05,0.7,9.85E-06,0.63,1.63E-07,0.46
8045688,TNFAIP6,NM_007115,2.92E-03,0.62,8.82E-02,0.78,1.95E-07,0.2
7892648,,---,5.58E-01,0.95,3.37E-02,0.8,2.00E-06,0.42
7996081,GPR56,NM_201524,1.57E-05,0.63,1.02E-06,0.53,1.22E-06,0.49
8139482,SNORA5A,NR_002919,1.18E-02,0.81,1.13E-02,0.8,9.73E-07,0.46
8097262,SPATA5,NM_145207,2.19E-01,0.9,1.22E-03,0.69,4.74E-06,0.46
7934026,DNA2,NM_001080449,1.03E-01,0.8,1.13E-03,0.56,1.74E-06,0.26
8110147,C5orf25,NM_198567,9.08E-02,0.89,9.41E-03,0.81,7.31E-07,0.49
7989195,,---,7.98E-04,0.78,7.01E-05,0.7,2.31E-07,0.49
8070129,DONSON,NM_017613,2.01E-01,0.89,5.31E-03,0.74,1.35E-06,0.41
7957890,UTP20,NM_014503,4.50E-01,0.93,9.84E-03,0.74,9.90E-07,0.36
7930181,AS3MT,NM_020682,1.36E-01,0.83,3.04E-04,0.53,1.57E-06,0.3
8168794,CENPI,NM_006733,6.93E-01,0.95,1.25E-02,0.69,1.88E-06,0.3
7971653,DLEU2,NR_002612,9.14E-01,0.98,4.42E-03,0.52,4.27E-06,0.19
7893160,,---,9.89E-02,0.87,2.08E-03,0.73,7.55E-07,0.43
8014063,EVI2B,NM_006495,7.70E-02,1.28,3.44E-02,0.72,6.27E-06,0.32
8021187,SKA1,NM_001039535,9.49E-02,0.75,2.06E-03,0.51,5.80E-07,0.16
8051583,CYP1B1,NM_000104,1.47E-06,0.13,4.19E-05,0.21,2.76E-06,0.1
8144786,SLC7A2,NM_003046,5.19E-01,0.93,4.11E-01,1.1,2.55E-06,0.36
7917976,SASS6,NM_194292,1.93E-01,0.85,3.23E-03,0.63,1.34E-06,0.28
8091757,TRIM59,NM_173084,5.64E-01,0.94,2.38E-02,0.75,2.01E-06,0.36
8046186,KLHL23,NM_144711,2.25E-02,0.82,1.54E-04,0.64,3.83E-06,0.48
8146967,CRISPLD1,NM_031461,1.43E-05,0.48,4.96E-06,0.42,1.22E-05,0.41
8068022,MIR155HG,NR_001458,7.49E-01,1.03,9.13E-01,1.01,1.96E-06,0.38
8111960,C5orf34,BC036867,3.37E-01,0.89,3.26E-03,0.64,4.29E-06,0.34
7943282,KDM4D,NM_018039,3.12E-02,0.84,4.44E-03,0.76,7.87E-07,0.44
8168146,KIF4A,NM_012310,7.10E-02,0.75,4.55E-03,0.58,6.75E-07,0.19
7941694,RBM14,NM_006328,9.93E-04,0.75,3.95E-04,0.7,1.36E-06,0.49
8097973,GUCY1B3,NM_000857,8.62E-04,0.65,6.93E-06,0.45,1.91E-06,0.36
7928107,H2AFY2,NM_018649,4.47E-02,0.84,3.85E-05,0.59,1.96E-06,0.45
8168589,ZNF711,NM_021998,4.38E-01,0.93,1.39E-02,0.75,4.54E-06,0.42
7919715,ANP32E,NM_030920,2.12E-01,0.88,3.96E-03,0.7,2.32E-06,0.39
7951046,MRE11A,NM_005591,1.95E-01,0.89,2.37E-03,0.71,9.21E-06,0.48
8091260,SLC9A9,NM_173653,2.28E-05,0.63,8.33E-06,0.58,1.08E-06,0.48
8148198,WDYHV1,NM_018024,3.44E-01,0.93,5.05E-03,0.77,2.81E-06,0.49
8096808,CCDC109B,NM_017918,1.98E-02,0.82,5.81E-05,0.62,1.20E-06,0.45
7994362,CCDC101,NM_138414,1.71E-02,0.81,3.11E-04,0.66,1.16E-06,0.44
8091099,LOC729687,XM_001725257,2.64E-02,0.83,2.70E-04,0.67,3.54E-06,0.49
7952914,CCDC77,NM_032358,8.56E-02,0.85,4.91E-04,0.65,3.24E-06,0.43
8162117,GOLM1,NM_016548,4.54E-03,0.79,3.31E-04,0.69,1.20E-06,0.48
8150962,TOX,NM_014729,5.17E-02,0.72,1.39E-03,0.52,6.81E-07,0.19
7899484,,---,3.31E-01,0.9,8.49E-03,0.71,4.75E-06,0.39
8092067,RPL22L1,NM_001099645,2.21E-01,0.89,1.15E-01,0.85,4.67E-07,0.34
7990086,THAP10,NM_020147,6.02E-02,0.86,5.17E-04,0.69,2.17E-06,0.48
8009366,NOL11,NM_015462,8.87E-02,0.88,1.79E-03,0.74,1.49E-06,0.47
7894860,,---,5.57E-02,0.85,3.49E-03,0.74,1.12E-06,0.43
8129763,FAM54A,NM_001099286,3.96E-01,0.89,5.33E-03,0.61,3.49E-06,0.27
7896452,,---,9.41E-02,0.74,9.06E-03,0.57,4.83E-06,0.21
7893225,,---,2.52E-01,0.89,3.14E-03,0.69,1.27E-05,0.45
8097792,SNORD73A,NR_000007,4.11E-01,0.94,3.84E-03,0.77,9.42E-07,0.47
7895044,,---,4.12E-02,0.8,1.32E-03,0.65,3.16E-06,0.39
8149399,LONRF1,NM_152271,2.10E-02,0.84,1.83E-04,0.69,8.69E-07,0.49
8132305,EEPD1,NM_030636,2.20E-01,0.9,1.32E-02,0.77,4.83E-06,0.46
7926821,MASTL,NM_032844,3.11E-01,0.91,4.61E-03,0.72,8.92E-06,0.45
8097657,SMAD1,NM_005900,1.27E-04,0.66,1.04E-04,0.64,1.21E-06,0.45
7982294,OTUD7A,NM_130901,2.19E-01,0.83,4.37E-03,0.57,2.09E-06,0.22
8160238,PSIP1,NM_033222,6.61E-02,0.8,7.30E-04,0.59,1.90E-06,0.33
7982358,ARHGAP11A,NM_014783,4.99E-01,0.89,1.40E-02,0.6,1.78E-06,0.18
7956878,IRAK3,NM_007199,1.33E-04,0.53,4.50E-06,0.38,3.77E-06,0.33
8084100,USP13,NM_003940,8.56E-01,0.98,5.23E-02,0.8,2.47E-06,0.39
8124406,HIST1H2BC,NM_003526,3.27E-01,0.92,2.63E-03,0.72,4.55E-06,0.47
8147548,POP1,NM_001145860,2.07E-01,0.9,2.14E-02,0.8,1.70E-06,0.45
8002303,NQO1,NM_000903,8.55E-01,0.98,6.81E-04,0.65,1.81E-06,0.4
7982290,,---,9.96E-01,1,1.37E-02,0.64,1.83E-05,0.31
7961702,KCNJ8,NM_004982,1.77E-01,1.14,5.58E-01,0.94,7.47E-06,0.44
8151871,CCNE2,NM_057749,2.36E-01,0.82,4.05E-03,0.55,2.38E-06,0.2
8138721,HOXA3,NM_153631,4.99E-04,0.66,4.08E-05,0.55,5.73E-06,0.45
8180256,,---,1.98E-02,0.8,1.66E-03,0.7,1.12E-05,0.49
8041867,MSH2,NM_000251,1.44E-01,0.81,1.95E-03,0.57,2.20E-06,0.26
8064844,PCNA,NM_002592,2.90E-01,0.9,5.15E-03,0.7,1.91E-06,0.37
8056728,,---,1.04E-01,0.87,7.33E-04,0.69,6.44E-06,0.5
8099612,GPR125,NM_145290,9.18E-03,0.77,2.27E-04,0.63,2.13E-06,0.43
8041582,SGK493,NM_138370,8.19E-02,0.84,4.31E-04,0.62,2.69E-06,0.4
7972579,TMTC4,NM_032813,6.56E-03,0.74,1.61E-04,0.59,3.46E-06,0.41
8024843,CHAF1A,NM_005483,7.43E-02,0.85,2.43E-04,0.62,5.02E-06,0.45
7947248,KIF18A,NM_031217,1.87E-01,0.81,3.34E-03,0.55,1.53E-06,0.2
8044375,BCL2L11,NM_138621,3.44E-05,0.6,3.57E-05,0.58,1.20E-06,0.43
8121277,AIM1,NM_001624,1.41E-04,0.61,2.19E-04,0.61,9.45E-07,0.37
8161919,TLE1,NM_005077,5.81E-03,0.79,9.29E-04,0.72,9.60E-07,0.47
7901867,USP1,NM_003368,4.01E-01,0.9,6.70E-03,0.65,7.27E-06,0.33
8069505,C21orf15,BX648100,3.25E-02,0.78,1.99E-03,0.65,1.54E-06,0.34
8166202,GRPR,NM_005314,1.29E-02,1.62,5.77E-01,0.9,2.87E-05,0.28
7962557,,---,1.62E-01,1.14,2.78E-01,0.9,9.78E-06,0.46
7947991,NUP160,NM_015231,4.66E-01,0.94,3.34E-02,0.82,4.03E-06,0.48
8066136,RBL1,NM_002895,5.39E-01,0.9,9.33E-03,0.58,3.03E-06,0.2
8089372,KIAA1524,NM_020890,4.29E-01,0.88,9.95E-03,0.61,3.29E-06,0.23
7971866,DIAPH3,NM_001042517,9.96E-01,1,2.04E-02,0.76,6.94E-06,0.43
7896329,,---,4.03E-01,0.94,7.65E-02,0.86,3.87E-06,0.49
7957551,SOCS2,NM_003877,1.48E-02,1.36,1.07E-01,0.82,1.28E-04,0.49
8148158,WDR67,NM_145647,3.31E-01,0.91,4.12E-03,0.71,3.37E-06,0.42
7904463,,---,3.21E-02,0.82,8.34E-05,0.6,8.62E-06,0.49
7895606,,---,3.99E-01,0.93,1.40E-02,0.77,1.26E-06,0.41
7952335,SNORD14E,NR_003125,6.12E-01,0.96,3.11E-02,0.8,6.96E-06,0.46
8170992,SNORA56,NR_002984,2.38E-01,0.9,6.55E-02,0.83,6.31E-06,0.45
8138718,HOXA2,NM_006735,1.38E-03,0.58,1.40E-04,0.46,1.63E-06,0.25
8090988,CEP70,NM_024491,1.86E-01,0.9,3.17E-03,0.75,2.00E-06,0.47
7893439,,---,9.02E-02,0.87,2.06E-02,0.81,2.40E-06,0.47
7893523,,---,1.75E-02,0.8,1.01E-04,0.6,4.31E-06,0.46
8056323,FIGN,NM_018086,6.94E-02,0.87,4.21E-03,0.78,1.73E-06,0.5
7938834,NAV2,NM_182964,6.30E-01,0.96,6.81E-02,0.85,3.88E-06,0.48
8162283,ROR2,NM_004560,3.27E-04,0.39,4.41E-05,0.28,9.33E-06,0.19
8109712,HMMR,NM_001142556,1.12E-01,0.75,8.30E-03,0.57,1.12E-06,0.16
8022338,GPR125,NM_145290,4.29E-03,0.7,1.75E-04,0.56,1.38E-06,0.34
8111677,LIFR,NM_002310,1.87E-04,0.62,1.18E-06,0.42,1.49E-05,0.47
7892633,,---,4.49E-02,0.82,4.18E-02,0.81,3.00E-06,0.43
8102751,SCLT1,NM_144643,5.80E-01,0.95,4.52E-02,0.81,3.61E-06,0.42
7892771,,---,1.51E-01,0.9,1.27E-02,0.81,9.96E-07,0.47
7968761,NARG1L,NM_024561,1.87E-01,0.87,1.38E-02,0.74,1.46E-06,0.36
