"Gene","ensembl_gene_id","entrezgene_id"
"MMS19","ENSG00000155229",64210
"MMS22L","ENSG00000146263",253714
"MNAT1","ENSG00000020426",4331
"MOB4","ENSG00000115540",25843
"MPHOSPH10","ENSG00000124383",10199
"MRPL11","ENSG00000174547",65003
"MRPL12","ENSG00000262814",6182
"MRPL16","ENSG00000166902",54948
"MRPL17","ENSG00000158042",63875
"MRPL18","ENSG00000112110",29074
"MRPL19","ENSG00000115364",9801
"MRPL20","ENSG00000242485",55052
"MRPL21","ENSG00000197345",219927
"MRPL22","ENSG00000082515",29093
"MRPL24","ENSG00000143314",79590
"MRPL27","ENSG00000108826",51264
"MRPL32","ENSG00000106591",64983
"MRPL34","ENSG00000130312",64981
"MRPL35","ENSG00000132313",51318
"MRPL37","ENSG00000116221",51253
"MRPL38","ENSG00000204316",64978
"MRPL39","ENSG00000154719",54148
"MRPL4","ENSG00000105364",51073
"MRPL40","ENSG00000185608",64976
"MRPL42","ENSG00000198015",28977
"MRPL44","ENSG00000135900",65080
"MRPL47","ENSG00000136522",57129
"MRPL48","ENSG00000175581",51642
"MRPL49","ENSG00000149792",740
"MRPL51","ENSG00000111639",51258
"MRPL52","ENSG00000172590",122704
"MRPL9","ENSG00000143436",65005
"MRPS10","ENSG00000048544",55173
"MRPS12","ENSG00000128626",6183
"MRPS14","ENSG00000120333",63931
"MRPS15","ENSG00000116898",64960
"MRPS18A","ENSG00000096080",55168
"MRPS18B","ENSG00000204568",28973
"MRPS18C","ENSG00000163319",51023
"MRPS23","ENSG00000181610",51649
"MRPS24","ENSG00000062582",64951
"MRPS25","ENSG00000131368",64432
"MRPS27","ENSG00000113048",23107
"MRPS30","ENSG00000112996",10884
"MRPS31","ENSG00000102738",10240
"MRPS33","ENSG00000090263",51650
"MRPS35","ENSG00000061794",60488
"MRPS5","ENSG00000144029",64969
"MRPS6","ENSG00000243927",64968
"MRPS7","ENSG00000125445",51081
"MRPS9","ENSG00000135972",64965
"MRTO4","ENSG00000053372",51154
"MTG1","ENSG00000148824",92170
"MTHFD1","ENSG00000100714",4522
"MTOR","ENSG00000198793",2475
"MTPAP","ENSG00000107951",55149
"MVD","ENSG00000167508",4597
"MYBBP1A","ENSG00000132382",10514
"MYBL2","ENSG00000101057",4605
"N6AMT1","ENSG00000156239",29104
"NAA10","ENSG00000102030",8260
"NAA15","ENSG00000164134",80155
"NAA20","ENSG00000173418",51126
"NAA25","ENSG00000111300",80018
"NAA30","ENSG00000139977",122830
"NAA50","ENSG00000121579",80218
"NAE1","ENSG00000159593",8883
"NAF1","ENSG00000145414",92345
"NAPA","ENSG00000105402",8775
"NAPG","ENSG00000134265",8774
"NARS1","ENSG00000134440",4677
"NARS2","ENSG00000137513",79731
"NAT10","ENSG00000135372",55226
"NBAS","ENSG00000151779",51594
"NCAPD2","ENSG00000010292",9918
"NCAPG","ENSG00000109805",64151
"NCAPH","ENSG00000121152",23397
"NCBP1","ENSG00000136937",4686
"NCBP2","ENSG00000114503",22916
"NCL","ENSG00000115053",4691
"NDC80","ENSG00000080986",10403
"NDUFAB1","ENSG00000004779",4706
"NDUFB4","ENSG00000065518",4710
"NEDD1","ENSG00000139350",121441
"NELFA","ENSG00000185049",7469
"NELFB","ENSG00000188986",25920
"NELFE","ENSG00000204356",7936
"NFS1","ENSG00000244005",9054
"NGDN","ENSG00000129460",25983
"NHLRC2","ENSG00000196865",374354
"NHP2","ENSG00000145912",55651
"NIP7","ENSG00000132603",51388
"NIPBL","ENSG00000164190",25836
"NKAP","ENSG00000101882",79576
"NLE1","ENSG00000073536",54475
"NOB1","ENSG00000141101",28987
"NOC3L","ENSG00000173145",64318
"NOC4L","ENSG00000184967",79050
"NOL10","ENSG00000115761",79954
"NOL11","ENSG00000130935",25926
"NOL6","ENSG00000165271",65083
"NOL7","ENSG00000225921",51406
"NOL8","ENSG00000198000",55035
"NOL9","ENSG00000162408",79707
"NOLC1","ENSG00000166197",9221
"NOM1","ENSG00000146909",64434
"NONO","ENSG00000147140",4841
"NOP10","ENSG00000182117",55505
"NOP14","ENSG00000087269",8602
"NOP16","ENSG00000048162",51491
"NOP2","ENSG00000111641",4839
"NOP56","ENSG00000101361",10528
"NOP58","ENSG00000055044",51602
"NOP9","ENSG00000196943",161424
"NOPCHAP1","ENSG00000151131",121053
"NPAT","ENSG00000149308",4863
"NPLOC4","ENSG00000182446",55666
"NRDE2","ENSG00000119720",55051
"NRF1","ENSG00000106459",4899
"NSA2","ENSG00000164346",10412
"NSF","ENSG00000073969",4905
"NSL1","ENSG00000117697",25936
"NSMCE1","ENSG00000169189",197370
"NSMCE4A","ENSG00000107672",54780
"NSRP1","ENSG00000126653",84081
"NSUN4","ENSG00000117481",387338
"NUBP1","ENSG00000103274",4682
"NUDC","ENSG00000090273",10726
"NUDCD3","ENSG00000015676",23386
"NUDT21","ENSG00000167005",11051
"NUF2","ENSG00000143228",83540
"NUFIP1","ENSG00000083635",26747
"NUP107","ENSG00000111581",57122
"NUP133","ENSG00000069248",55746
"NUP153","ENSG00000124789",9972
"NUP155","ENSG00000113569",9631
"NUP160","ENSG00000030066",23279
"NUP205","ENSG00000155561",23165
"NUP214","ENSG00000126883",8021
"NUP43","ENSG00000120253",348995
"NUP54","ENSG00000138750",53371
"NUP85","ENSG00000125450",79902
"NUP88","ENSG00000108559",4927
"NUP93","ENSG00000102900",9688
"NUP98","ENSG00000110713",4928
"NVL","ENSG00000143748",4931
"OGDH","ENSG00000105953",4967
"OGT","ENSG00000147162",8473
"OIP5","ENSG00000104147",11339
"OPA1","ENSG00000198836",4976
"ORC1","ENSG00000085840",4998
"ORC2","ENSG00000115942",4999
"ORC3","ENSG00000135336",23595
"ORC4","ENSG00000115947",5000
"ORC5","ENSG00000164815",5001
"ORC6","ENSG00000091651",23594
"OSBP","ENSG00000110048",5007
"OSGEP","ENSG00000092094",55644
"OXA1L","ENSG00000155463",5018
"PABPN1","ENSG00000100836",8106
"PAF1","ENSG00000006712",54623
"PAFAH1B1","ENSG00000007168",5048
"PAK1IP1","ENSG00000111845",55003
"PALB2","ENSG00000083093",79728
"PARN","ENSG00000140694",5073
"PARS2","ENSG00000162396",25973
"PAXBP1","ENSG00000159086",94104
"PCF11","ENSG00000165494",51585
"PCID2","ENSG00000126226",55795
"PCNA","ENSG00000132646",5111
"PCNT","ENSG00000160299",5116
"PCYT1A","ENSG00000161217",5130
"PDAP1","ENSG00000106244",11333
"PDCD11","ENSG00000148843",22984
"PDCD2","ENSG00000071994",5134
"PDCL","ENSG00000136940",5082
"PDPK1","ENSG00000140992",5170
"PDRG1","ENSG00000088356",81572
"PDS5A","ENSG00000121892",23244
"PES1","ENSG00000100029",23481
"PET117","ENSG00000232838",100303755
"PFAS","ENSG00000178921",5198
"PFDN1","ENSG00000113068",5201
"PFDN2","ENSG00000143256",5202
"PFDN6","ENSG00000204220",10471
"PGD","ENSG00000142657",5226
"PGGT1B","ENSG00000164219",5229
"PGK1","ENSG00000102144",5230
"PGM3","ENSG00000013375",5238
"PGS1","ENSG00000087157",9489
"PIK3C3","ENSG00000078142",5289
"PIK3R4","ENSG00000196455",30849
"PLK1","ENSG00000166851",5347
"PLK4","ENSG00000142731",10733
"PLRG1","ENSG00000171566",5356
"PMF1","ENSG00000160783",11243
"PMPCA","ENSG00000165688",23203
"PMPCB","ENSG00000105819",9512
"PMVK","ENSG00000163344",10654
"PNISR","ENSG00000132424",25957
"PNN","ENSG00000100941",5411
"PNO1","ENSG00000115946",56902
"PNPT1","ENSG00000138035",87178
"POLA1","ENSG00000101868",5422
"POLA2","ENSG00000014138",23649
"POLD1","ENSG00000062822",5424
"POLD2","ENSG00000106628",5425
"POLD3","ENSG00000077514",10714
"POLE","ENSG00000177084",5426
"POLE2","ENSG00000100479",5427
"POLR1A","ENSG00000068654",25885
"POLR1B","ENSG00000125630",84172
"POLR1C","ENSG00000171453",9533
"POLR1E","ENSG00000137054",64425
"POLR1F","ENSG00000105849",221830
"POLR1G","ENSG00000117877",10849
"POLR2B","ENSG00000047315",5431
"POLR2C","ENSG00000102978",5432
"POLR2D","ENSG00000144231",5433
"POLR2E","ENSG00000099817",5434
"POLR2F","ENSG00000100142",5435
"POLR2I","ENSG00000105258",5438
"POLR2L","ENSG00000177700",5441
"POLR3A","ENSG00000148606",11128
"POLR3B","ENSG00000013503",55703
"POLR3C","ENSG00000186141",10623
"POLR3E","ENSG00000058600",55718
"POLR3F","ENSG00000132664",10621
"POLR3H","ENSG00000100413",171568
"POLR3K","ENSG00000161980",51728
"POP4","ENSG00000105171",10775
"POP7","ENSG00000172336",10248
"PPA1","ENSG00000180817",5464
"PPAN","ENSG00000130810",56342
"PPIE","ENSG00000084072",10450
"PPIL2","ENSG00000100023",23759
