"","x"
"1200",384
"1201",4208
"1202",79876
"1203",9262
"1204",8555
"1205",22869
"1206",440515
"1207",65094
"1208",11266
"1209",65985
"1210",9812
"1211",56113
"1212",51668
"1213",23239
"1214",5205
"1215",6604
"1216",55100
"1217",58538
"1218",55437
"1219",9689
"1220",114899
"1221",4200
"1222",55322
"1223",905
"1224",57579
"1225",23136
"1226",22837
"1227",1741
"1228",3776
"1229",56256
"1230",7188
"1231",29093
"1232",25929
"1233",4779
"1234",2932
"1235",3693
"1236",23085
"1237",7514
"1238",11342
"1239",79728
"1240",23033
"1241",57226
"1242",594
"1243",7994
"1244",79670
"1245",9706
"1246",3842
"1247",5351
"1248",5026
"1249",3682
"1250",22894
"1251",10464
"1252",81550
"1253",26747
"1254",23047
"1255",5019
"1256",10325
"1257",1540
"1258",10998
"1259",25799
"1260",79891
"1261",55659
"1262",54807
"1263",55663
"1264",9422
"1265",6193
"1266",2195
"1267",91746
"1268",25978
"1269",64744
"1270",10450
"1271",10269
"1272",56910
"1273",84273
"1274",5978
"1275",54434
"1276",2950
"1277",334
"1278",57613
"1279",51729
"1280",8668
"1281",1307
"1282",200081
"1283",8648
"1284",60509
"1285",3797
"1286",10890
"1287",3030
"1288",22924
"1289",790
"1290",966
"1291",3732
"1292",63035
"1293",546
"1294",102157402
"1295",55892
"1296",2122
"1297",9522
"1298",5550
"1299",57531
"1300",81929
"1301",22911
"1302",57590
"1303",5016
"1304",29957
"1305",4216
"1306",29992
"1307",5243
"1308",7760
"1309",231
"1310",8895
"1311",54700
"1312",2017
"1313",4528
"1314",23259
"1315",22996
"1316",2060
"1317",4998
"1318",4258
"1319",10523
"1320",55054
"1321",55230
"1322",55624
"1323",8438
"1324",23139
"1325",3301
"1326",2683
"1327",51510
"1328",4799
"1329",27292
"1330",51194
"1331",27102
"1332",22929
"1333",10573
"1334",80271
"1335",55696
"1336",10959
"1337",56605
"1338",54469
"1339",3294
"1340",55787
"1341",7462
"1342",10075
"1343",9183
"1344",79796
"1345",50507
"1346",8310
"1347",8898
"1348",23645
"1349",51171
"1350",7205
"1351",43
"1352",2512
"1353",51593
"1354",581
"1355",51701
"1356",94005
"1357",9509
"1358",56970
"1359",9489
"1360",5705
"1361",51720
"1362",4313
"1363",54947
"1364",55239
"1365",6452
"1366",8602
"1367",118
"1368",79944
"1369",57544
"1370",51637
"1371",22795
"1372",64395
"1373",10992
"1374",57542
"1375",2778
"1376",10059
"1377",5744
"1378",51290
"1379",6790
"1380",57091
"1381",8544
"1382",28971
"1383",5990
"1384",339175
"1385",29929
"1386",4849
"1387",5775
"1388",8886
"1389",8570
"1390",2767
"1391",55616
"1392",111089941
"1393",1789
"1394",22974
"1395",NA
"1396",81572
"1397",2036
"1398",23348
"1399",55608
"1400",23483
"1401",51161
"1402",57017
"1403",64147
"1404",79822
"1405",54675
"1406",23368
"1407",8455
"1408",54498
"1409",2280
"1410",55968
"1411",83959
"1412",25943
"1413",79175
"1414",57593
"1415",56265
"1416",57506
"1417",9762
"1418",22803
"1419",55857
"1420",8655
"1421",27131
"1422",6128
"1423",8550
"1424",51575
"1425",10741
"1426",51433
"1427",9962
"1428",80024
"1429",29058
"1430",55184
"1431",84678
"1432",55617
"1433",4938
"1434",10985
"1435",6175
"1436",5829
"1437",23409
"1438",55614
"1439",51605
"1440",1114
"1441",5037
"1442",6910
"1443",8315
"1444",10961
"1445",2521
"1446",3476
"1447",53827
"1448",55900
"1449",57655
"1450",9843
"1451",29965
"1452",113540
"1453",23193
"1454",51291
"1455",55285
"1456",332
"1457",8079
"1458",78990
"1459",57062
"1460",7597
"1461",25977
"1462",393
"1463",170961
"1464",55760
"1465",23186
"1466",55668
"1467",8425
"1468",645
"1469",6548
"1470",10558
"1471",10914
"1472",8812
"1473",57060
"1474",83719
"1475",51650
"1476",4708
"1477",10726
"1478",10296
"1479",3383
"1480",29888
"1481",11213
"1482",79594
"1483",7023
"1484",10081
"1485",51324
"1486",51726
"1487",55214
"1488",2323
"1489",9727
"1490",84572
"1491",10795
"1492",2802
"1493",8761
"1494",79603
"1495",57192
"1496",84196
"1497",1947
"1498",128966601
"1499",16
"1500",2734
"1501",24137
"1502",27327
"1503",64857
"1504",57106
"1505",57605
"1506",55763
"1507",54439
"1508",114882
"1509",113878
"1510",54517
"1511",3912
"1512",5172
"1513",1738
"1514",23335
"1515",9352
"1516",368
"1517",54918
"1518",3655
"1519",11069
"1520",51776
"1521",2271
"1522",23231
"1523",55573
"1524",51168
"1525",54890
"1526",22861
"1527",83394
"1528",9552
"1529",23594
"1530",79776
"1531",51530
"1532",26575
"1533",84336
"1534",4345
"1535",151887
"1536",5720
"1537",55012
"1538",54930
"1539",55644
"1540",51310
"1541",55072
"1542",23256
"1543",55632
"1544",25831
"1545",3183
"1546",11198
"1547",9878
"1548",8487
"1549",7051
"1550",26277
"1551",57556
"1552",54822
"1553",7301
"1554",79968
"1555",8773
"1556",26227
"1557",1299
"1558",7430
"1559",4637
"1560",26523
"1561",63967
"1562",117584
"1563",201294
"1564",79157
"1565",1808
"1566",7042
"1567",55105
