"","x"
"1220",401265
"1221",81578
"1222",57699
"1223",89822
"1224",51299
"1225",167
"1226",221391
"1227",9247
"1228",93463
"1229",64284
"1230",6372
"1231",84767
"1232",26070
"1233",10647
"1234",4246
"1235",51066
"1236",7471
"1237",54436
"1238",4495
"1239",9271
"1240",2841
"1241",6555
"1242",11166
"1243",3834
"1244",55026
"1245",265
"1246",64518
"1247",4620
"1248",10485
"1249",56751
"1250",3802
"1251",6725
"1252",2832
"1253",128408
"1254",27178
"1255",2892
"1256",970
"1257",8740
"1258",7053
"1259",2797
"1260",81623
"1261",3170
"1262",22918
"1263",5075
"1264",10047
"1265",644524
"1266",4821
"1267",128817
"1268",140880
"1269",58495
"1270",5126
"1271",64096
"1272",24141
"1273",164312
"1274",6939
"1275",56914
"1276",140836
"1277",55321
"1278",128646
"1279",140881
"1280",8698
"1281",4435
"1282",140873
"1283",128876
"1284",92747
"1285",23263
"1286",8858
"1287",57152
"1288",2866
"1289",84063
"1290",2867
"1291",2864
"1292",8689
"1293",5639
"1294",60385
"1295",23769
"1296",1446
"1297",6779
"1298",3346
"1299",5582
"1300",117154
"1301",6756
"1302",5199
"1303",57381
"1304",5858
"1305",11105
"1306",2123
"1307",101927057
"1308",83543
"1309",554
"1310",6003
"1311",4958
"1312",89846
"1313",1907
"1314",64919
"1315",84239
"1316",57110
"1317",50616
"1318",7103
"1319",144453
"1320",50831
"1321",50832
"1322",54429
"1323",155051
"1324",65999
"1325",56302
"1326",5322
"1327",30817
"1328",390892
"1329",26658
"1330",26664
"1331",146330
"1332",51764
"1333",8388
"1334",7429
"1335",90485
"1336",2792
"1337",79689
"1338",57622
"1339",6691
"1340",29802
"1341",9514
"1342",5988
"1343",10739
"1344",25775
"1345",2781
"1346",10738
"1347",80115
"1348",8484
"1349",80831
"1350",3543
"1351",100913187
"1352",50833
"1353",64101
"1354",3663
"1355",389549
"1356",611
"1357",3231
"1358",3232
"1359",2571
"1360",3235
"1361",3236
"1362",3237
"1363",3239
"1364",57705
"1365",55930
"1366",84952
"1367",8854
"1368",8424
"1369",4654
"1370",3746
"1371",7166
"1372",8048
"1373",9098
"1374",23746
"1375",482
"1376",10053
"1377",43847
"1378",27180
"1379",5655
"1380",11202
"1381",196883
"1382",6035
"1383",64097
"1384",1036
"1385",2302
"1386",15
"1387",2258
"1388",417
"1389",57053
"1390",100101116
"1391",6192
"1392",50858
"1393",353513
"1394",9084
"1395",203611
"1396",723961
"1397",3929
"1398",6861
"1399",7137
"1400",863
"1401",79057
"1402",26290
"1403",3741
"1404",84766
"1405",27112
"1406",54857
"1407",26526
"1408",55908
"1409",84891
"1410",10912
"1411",1804
"1412",59272
"1413",1463
"1414",547
"1415",83483
"1416",83878
"1417",4142
"1418",81616
"1419",2527
"1420",9210
"1421",65975
"1422",2056
"1423",59285
"1424",23025
"1425",3270
"1426",81061
"1427",25830
"1428",92359
"1429",10439
"1430",6295
"1431",4046
"1432",7140
"1433",7136
"1434",283120
"1435",50632
"1436",3050
"1437",3110
"1438",140628
"1439",140893
"1440",59335
"1441",9535
"1442",27237
"1443",27293
"1444",84660
"1445",1852
"1446",56301
"1447",10343
"1448",3293
"1449",54754
"1450",8789
"1451",353497
"1452",425057
"1453",10288
"1454",164395
"1455",140683
"1456",84701
"1457",128861
"1458",117285
"1459",5697
"1460",51751
"1461",83639
"1462",6370
"1463",6569
"1464",3620
"1465",81025
"1466",84440
"1467",1046
"1468",84658
"1469",84077
"1470",3748
"1471",9476
"1472",94030
"1473",8639
"1474",10266
"1475",2538
"1476",84672
"1477",441543
"1478",79412
"1479",56033
"1480",765
"1481",84528
"1482",1160
"1483",84951
"1484",84152
"1485",2488
"1486",10742
"1487",57663
"1488",8431
"1489",79727
"1490",341883
"1491",145447
"1492",79173
"1493",83546
"1494",6538
"1495",23225
"1496",1262
"1497",10086
"1498",79781
"1499",5791
"1500",1644
"1501",53940
"1502",10462
"1503",55065
"1504",3000
"1505",26166
"1506",116835
"1507",63926
"1508",140856
"1509",6616
"1510",6754
"1511",57127
"1512",480
"1513",63827
"1514",1401
"1515",57111
"1516",60484
"1517",325
"1518",79368
"1519",91703
"1520",222
"1521",29958
"1522",23743
"1523",163782
"1524",27329
"1525",6860
"1526",8170
"1527",56923
"1528",5145
"1529",51761
"1530",23281
"1531",93492
"1532",56163
"1533",2835
"1534",1131
"1535",4626
"1536",1116
"1537",4608
"1538",1118
"1539",59352
"1540",9201
"1541",8900
"1542",122042
"1543",161003
"1544",9365
"1545",8471
"1546",84707
"1547",79589
"1548",347687
"1549",84106
"1550",5158
"1551",85329
"1552",54979
"1553",4629
"1554",23037
"1555",113828
"1556",284904
"1557",55303
"1558",4922
"1559",84125
"1560",6441
"1561",84332
"1562",11005
"1563",759
"1564",10894
"1565",56154
"1566",78986
"1567",145258
"1568",57578
"1569",79820
"1570",55237
"1571",23508
"1572",8748
"1573",157310
