"region","sample","obs.mut","sim.mut","sim.mut.normality","log2fc","pvalue","observed.variant.required","observed.variant.requirement.met"
"protein-DNA complex subunit organization","MMEA9_E3",14,13,3.7e-24,0.0995356735509144,0.8902,193,FALSE
"response to fluid shear stress","MMEA9_E3",4,4,3.7e-24,0,1,747,FALSE
"collagen fibril organization","MMEA9_E3",6,9,3.7e-24,-0.514573172829758,0.2625,26,FALSE
"roof of mouth development","MMEA9_E3",5,9,3.7e-24,-0.736965594166206,0.1363,16,FALSE
"regulation of protein dephosphorylation","MMEA9_E3",5,7,3.7e-24,-0.415037499278844,0.4858,34,FALSE
"multicellular organism growth","MMEA9_E3",6,12,3.7e-24,-0.893084796083488,0.0363,12,FALSE
"miRNA processing","MMEA9_E3",2,4,3.7e-24,-0.736965594166206,0.2755,16,FALSE
"small molecule catabolic process","MMEA9_E3",21,22,3.7e-24,-0.0641303374197156,0.8319,265,FALSE
"regulation of G0 to G1 transition","MMEA9_E3",2,3,3.7e-24,-0.415037499278844,0.6073,34,FALSE
"circadian regulation of gene expression","MMEA9_E3",2,6,3.7e-24,-1.22239242133645,0.0634,8,FALSE
"regulation of translational fidelity","MMEA9_E3",0,1,3.7e-24,-1,0.453,11,FALSE
"ubiquinone biosynthetic process","MMEA9_E3",1,1,3.7e-24,0,1,747,FALSE
"mitochondrial calcium ion transmembrane transport","MMEA9_E3",0,1,3.7e-24,-1,0.4257,11,FALSE
"quinone biosynthetic process","MMEA9_E3",1,1,3.7e-24,0,1,747,FALSE
"viral release from host cell","MMEA9_E3",3,2,3.7e-24,0.415037499278844,0.7267,34,FALSE
"exit from host cell","MMEA9_E3",3,2,3.7e-24,0.415037499278844,0.7267,34,FALSE
"positive regulation of GTPase activity","MMEA9_E3",10,20,3.7e-24,-0.932885804141463,0.0108,12,FALSE
"regulation of cytokinesis","MMEA9_E3",3,6,3.7e-24,-0.807354922057604,0.1687,13,FALSE
"mitochondrion localization","MMEA9_E3",1,3,3.7e-24,-1,0.2131,11,FALSE
"renal system development","MMEA9_E3",15,29,3.7e-24,-0.906890595608518,0.0025,12,TRUE
"regulation of cysteine-type endopeptidase activity involved in apoptotic process","MMEA9_E3",7,14,3.7e-24,-0.906890595608518,0.0242,12,FALSE
"regulation of cell-substrate adhesion","MMEA9_E3",28,23,3.7e-24,0.273018494406416,0.338,61,FALSE
"centrosome localization","MMEA9_E3",3,3,3.7e-24,0,1,747,FALSE
"microtubule organizing center localization","MMEA9_E3",3,3,3.7e-24,0,1,747,FALSE
"pinocytosis","MMEA9_E3",3,2,3.7e-24,0.415037499278844,0.7346,34,FALSE
"lamellipodium assembly","MMEA9_E3",8,5,3.7e-24,0.584962500721156,0.3891,22,FALSE
"cellular response to sterol depletion","MMEA9_E3",1,1,3.7e-24,0,1,747,FALSE
"placenta development","MMEA9_E3",11,12,3.7e-24,-0.115477217419936,0.7791,163,FALSE
"rhythmic process","MMEA9_E3",9,20,3.7e-24,-1.0703893278914,0.0053,9,TRUE
"spindle localization","MMEA9_E3",5,4,3.7e-24,0.263034405833794,0.8114,63,FALSE
"carbohydrate derivative catabolic process","MMEA9_E3",12,10,3.7e-24,0.241008099503795,0.6377,71,FALSE
"response to amino acid","MMEA9_E3",6,12,3.7e-24,-0.893084796083488,0.0523,12,FALSE
"regulation of intracellular steroid hormone receptor signaling pathway","MMEA9_E3",3,5,3.7e-24,-0.584962500721156,0.3067,22,FALSE
"regulation of neuron death","MMEA9_E3",20,21,3.7e-24,-0.0671141958585369,0.8359,265,FALSE
"ossification","MMEA9_E3",25,37,3.7e-24,-0.547487795302493,0.0265,25,TRUE
"mammary gland epithelial cell proliferation","MMEA9_E3",3,3,3.7e-24,0,1,747,FALSE
"ribosomal subunit export from nucleus","MMEA9_E3",0,1,3.7e-24,-1,0.4489,11,FALSE
"ribosome localization","MMEA9_E3",0,1,3.7e-24,-1,0.4489,11,FALSE
"protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway","MMEA9_E3",1,1,3.7e-24,0,1,747,FALSE
"seminiferous tubule development","MMEA9_E3",1,1,3.7e-24,0,1,747,FALSE
"cellular response to acid chemical","MMEA9_E3",5,10,3.7e-24,-0.874469117916141,0.0738,12,FALSE
"positive regulation of kinase activity","MMEA9_E3",23,33,3.7e-24,-0.502500340529183,0.05,26,FALSE
"positive regulation by host of viral process","MMEA9_E3",0,1,3.7e-24,-1,0.4234,11,FALSE
"mitochondrion morphogenesis","MMEA9_E3",0,1,3.7e-24,-1,0.415,11,FALSE
"regulation of establishment of cell polarity","MMEA9_E3",4,2,3.7e-24,0.736965594166206,0.3135,16,FALSE
"cellular lipid catabolic process","MMEA9_E3",10,12,3.7e-24,-0.241008099503795,0.5705,71,FALSE
"neuron apoptotic process","MMEA9_E3",18,17,3.7e-24,0.0780025120012732,0.9032,241,FALSE
"inner cell mass cell proliferation","MMEA9_E3",0,1,3.7e-24,-1,0.4477,11,FALSE
"polyamine biosynthetic process","MMEA9_E3",0,1,3.7e-24,-1,0.4323,11,FALSE
"folic acid metabolic process","MMEA9_E3",0,1,3.7e-24,-1,0.4406,11,FALSE
"organelle inheritance","MMEA9_E3",0,1,3.7e-24,-1,0.4613,11,FALSE
"polyol metabolic process","MMEA9_E3",7,6,3.7e-24,0.192645077942396,0.8388,93,FALSE
"regulation of type I interferon-mediated signaling pathway","MMEA9_E3",4,3,3.7e-24,0.321928094887362,0.778,48,FALSE
"intracellular lipid transport","MMEA9_E3",1,3,3.7e-24,-1,0.2108,11,FALSE
"fat cell differentiation","MMEA9_E3",8,18,3.7e-24,-1.07800251200127,0.0074,9,FALSE
"iron ion homeostasis","MMEA9_E3",7,6,3.7e-24,0.192645077942396,0.8449,93,FALSE
"negative regulation of cell projection organization","MMEA9_E3",6,13,3.7e-24,-1,0.021,11,FALSE
"dicarboxylic acid metabolic process","MMEA9_E3",4,5,3.7e-24,-0.263034405833794,0.679,63,FALSE
"regulation of anatomical structure size","MMEA9_E3",24,37,3.7e-24,-0.604071323668861,0.0136,21,TRUE
"regulation of small molecule metabolic process","MMEA9_E3",18,22,3.7e-24,-0.275634442613427,0.4011,61,FALSE
"pentose-phosphate shunt","MMEA9_E3",2,1,3.7e-24,0.584962500721156,0.6834,22,FALSE
"pericardium development","MMEA9_E3",0,2,3.7e-24,-1.58496250072116,0.0837,8,FALSE
"lysosomal protein catabolic process","MMEA9_E3",1,1,3.7e-24,0,1,747,FALSE
"carbohydrate derivative transport","MMEA9_E3",3,5,3.7e-24,-0.584962500721156,0.3319,22,FALSE
"alcohol biosynthetic process","MMEA9_E3",3,8,3.7e-24,-1.16992500144231,0.0324,9,FALSE
"regulation of membrane permeability","MMEA9_E3",2,5,3.7e-24,-1,0.1124,11,FALSE
"signal peptide processing","MMEA9_E3",0,1,3.7e-24,-1,0.5044,11,FALSE
"UV-damage excision repair","MMEA9_E3",0,1,3.7e-24,-1,0.4784,11,FALSE
"biological process involved in interaction with host","MMEA9_E3",12,14,3.7e-24,-0.206450877467426,0.6015,85,FALSE
"body morphogenesis","MMEA9_E3",4,5,3.7e-24,-0.263034405833794,0.6771,63,FALSE
"extracellular vesicle biogenesis","MMEA9_E3",2,1,3.7e-24,0.584962500721156,0.6626,22,FALSE
"negative regulation of defense response to virus","MMEA9_E3",2,2,3.7e-24,0,1,747,FALSE
"aminoglycan biosynthetic process","MMEA9_E3",7,7,3.7e-24,0,1,747,FALSE
"sterol biosynthetic process","MMEA9_E3",1,4,3.7e-24,-1.32192809488736,0.1058,8,FALSE
"polyamine metabolic process","MMEA9_E3",0,1,3.7e-24,-1,0.4133,11,FALSE
"magnesium ion transport","MMEA9_E3",5,1,3.7e-24,1.58496250072116,0.0043,8,FALSE
"lamellipodium morphogenesis","MMEA9_E3",4,3,3.7e-24,0.321928094887362,0.7759,48,FALSE
"positive regulation of neuron migration","MMEA9_E3",1,1,3.7e-24,0,1,747,FALSE
"regulation of glucose metabolic process","MMEA9_E3",3,7,3.7e-24,-1,0.0922,11,FALSE
"monosaccharide biosynthetic process","MMEA9_E3",4,5,3.7e-24,-0.263034405833794,0.6815,63,FALSE
"response to acid chemical","MMEA9_E3",6,13,3.7e-24,-1,0.0231,11,FALSE
"regulation of carbohydrate metabolic process","MMEA9_E3",8,13,3.7e-24,-0.637429920615292,0.127,20,FALSE
"positive regulation of nervous system development","MMEA9_E3",20,21,3.7e-24,-0.0671141958585369,0.8293,265,FALSE
"regulation of circadian rhythm","MMEA9_E3",1,7,3.7e-24,-2,0.0058,NA,NA
"trabecula morphogenesis","MMEA9_E3",5,5,3.7e-24,0,1,747,FALSE
"pigment accumulation","MMEA9_E3",0,1,3.7e-24,-1,0.4699,11,FALSE
"cellular pigment accumulation","MMEA9_E3",0,1,3.7e-24,-1,0.4699,11,FALSE
"regulation of pinocytosis","MMEA9_E3",1,1,3.7e-24,0,1,747,FALSE
"regulation of ligase activity","MMEA9_E3",0,1,3.7e-24,-1,0.4769,11,FALSE
"smoothened signaling pathway involved in dorsal/ventral neural tube patterning","MMEA9_E3",0,1,3.7e-24,-1,0.4806,11,FALSE
"glycosyl compound metabolic process","MMEA9_E3",5,4,3.7e-24,0.263034405833794,0.8025,63,FALSE
"substantia nigra development","MMEA9_E3",2,3,3.7e-24,-0.415037499278844,0.6144,34,FALSE
"negative regulation of GTPase activity","MMEA9_E3",2,2,3.7e-24,0,1,747,FALSE
"axon extension","MMEA9_E3",7,9,3.7e-24,-0.321928094887362,0.5201,48,FALSE
"positive regulation of epithelial to mesenchymal transition","MMEA9_E3",4,7,3.7e-24,-0.678071905112638,0.2296,20,FALSE
"one-carbon metabolic process","MMEA9_E3",1,1,3.7e-24,0,1,747,FALSE
"NADPH regeneration","MMEA9_E3",2,2,3.7e-24,0,1,747,FALSE
"cellular response to dsRNA","MMEA9_E3",1,2,3.7e-24,-0.584962500721156,0.5844,22,FALSE
"neuron projection organization","MMEA9_E3",4,7,3.7e-24,-0.678071905112638,0.2328,20,FALSE
"postsynapse organization","MMEA9_E3",7,14,3.7e-24,-0.906890595608518,0.031,12,FALSE
"regulation of ketone biosynthetic process","MMEA9_E3",1,1,3.7e-24,0,1,747,FALSE
"mitochondrion distribution","MMEA9_E3",1,1,3.7e-24,0,1,747,FALSE
"regulation of autophagosome maturation","MMEA9_E3",0,1,3.7e-24,-1,0.4208,11,FALSE
"magnesium ion transmembrane transport","MMEA9_E3",4,1,3.7e-24,1.32192809488736,0.016,8,FALSE
"regulation of cell division","MMEA9_E3",11,12,3.7e-24,-0.115477217419936,0.7861,163,FALSE
"intermembrane lipid transfer","MMEA9_E3",1,3,3.7e-24,-1,0.2154,11,FALSE
"organophosphate ester transport","MMEA9_E3",6,9,3.7e-24,-0.514573172829758,0.2743,26,FALSE
"movement in host","MMEA9_E3",11,13,3.7e-24,-0.222392421336448,0.5901,81,FALSE
"extracellular matrix assembly","MMEA9_E3",5,6,3.7e-24,-0.222392421336448,0.6967,81,FALSE
"cellular metabolic compound salvage","MMEA9_E3",2,2,3.7e-24,0,1,747,FALSE
"regulation of ATP-dependent activity","MMEA9_E3",3,4,3.7e-24,-0.321928094887362,0.6437,48,FALSE
"cell migration involved in heart development","MMEA9_E3",1,2,3.7e-24,-0.584962500721156,0.5341,22,FALSE
"cellular response to fluid shear stress","MMEA9_E3",2,2,3.7e-24,0,1,747,FALSE
"sphingomyelin biosynthetic process","MMEA9_E3",0,0,3.7e-24,0,1,747,FALSE
"ether lipid biosynthetic process","MMEA9_E3",0,0,3.7e-24,0,1,747,FALSE
"embryonic body morphogenesis","MMEA9_E3",1,1,3.7e-24,0,1,747,FALSE
"amino sugar biosynthetic process","MMEA9_E3",0,1,3.7e-24,-1,0.4301,11,FALSE
"glycerol ether biosynthetic process","MMEA9_E3",0,0,3.7e-24,0,1,747,FALSE
"pigmentation","MMEA9_E3",5,8,3.7e-24,-0.584962500721156,0.2511,22,FALSE
"cellular response to ketone","MMEA9_E3",3,8,3.7e-24,-1.16992500144231,0.0499,9,FALSE
"nonribosomal peptide biosynthetic process","MMEA9_E3",0,1,3.7e-24,-1,0.4276,11,FALSE
"glial cell apoptotic process","MMEA9_E3",1,2,3.7e-24,-0.584962500721156,0.5849,22,FALSE
"lipoprotein catabolic process","MMEA9_E3",1,1,3.7e-24,0,1,747,FALSE
"suppression of viral release by host","MMEA9_E3",1,1,3.7e-24,0,1,747,FALSE
"chaperone-mediated autophagy","MMEA9_E3",0,1,3.7e-24,-1,0.4149,11,FALSE
"regulation of steroid hormone biosynthetic process","MMEA9_E3",0,2,3.7e-24,-1.58496250072116,0.1734,8,FALSE
"synaptic vesicle lumen acidification","MMEA9_E3",2,1,3.7e-24,0.584962500721156,0.6339,22,FALSE
"semaphorin-plexin signaling pathway involved in neuron projection guidance","MMEA9_E3",2,2,3.7e-24,0,1,747,FALSE
"regulation of Golgi organization","MMEA9_E3",1,1,3.7e-24,0,1,747,FALSE
"Schwann cell differentiation","MMEA9_E3",2,3,3.7e-24,-0.415037499278844,0.5941,34,FALSE
"neurotrophin signaling pathway","MMEA9_E3",1,3,3.7e-24,-1,0.2055,11,FALSE
"regulation of microtubule depolymerization","MMEA9_E3",1,2,3.7e-24,-0.584962500721156,0.5313,22,FALSE
"basement membrane organization","MMEA9_E3",2,5,3.7e-24,-1,0.1122,11,FALSE
"establishment or maintenance of epithelial cell apical/basal polarity","MMEA9_E3",4,5,3.7e-24,-0.263034405833794,0.6766,63,FALSE
"face development","MMEA9_E3",3,5,3.7e-24,-0.584962500721156,0.328,22,FALSE
"osteoblast differentiation","MMEA9_E3",17,22,3.7e-24,-0.3536369546147,0.2512,42,FALSE
"appendage development","MMEA9_E3",12,16,3.7e-24,-0.387023123109247,0.2802,38,FALSE
"limb development","MMEA9_E3",12,16,3.7e-24,-0.387023123109247,0.2802,38,FALSE
"regulation of ATP metabolic process","MMEA9_E3",7,5,3.7e-24,0.415037499278844,0.5118,34,FALSE
"developmental growth involved in morphogenesis","MMEA9_E3",11,18,3.7e-24,-0.662965012722429,0.061,20,FALSE
"embryonic organ development","MMEA9_E3",22,34,3.7e-24,-0.605721060887954,0.0227,21,TRUE
"negative regulation of growth","MMEA9_E3",17,20,3.7e-24,-0.222392421336448,0.5044,81,FALSE
"microtubule depolymerization","MMEA9_E3",2,4,3.7e-24,-0.736965594166206,0.2908,16,FALSE
"heme metabolic process","MMEA9_E3",2,3,3.7e-24,-0.415037499278844,0.6225,34,FALSE
"regulation of neuron apoptotic process","MMEA9_E3",15,14,3.7e-24,0.0931094043914815,0.892,193,FALSE
"plasma membrane tubulation","MMEA9_E3",1,2,3.7e-24,-0.584962500721156,0.5519,22,FALSE
"exosomal secretion","MMEA9_E3",1,1,3.7e-24,0,1,747,FALSE
"vasculogenesis","MMEA9_E3",5,9,3.7e-24,-0.736965594166206,0.1441,16,FALSE
"toxin transport","MMEA9_E3",3,3,3.7e-24,0,1,747,FALSE
"ncRNA processing","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"ribosome biogenesis","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"rRNA metabolic process","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"proteasome-mediated ubiquitin-dependent protein catabolic process","MMEB9_C1",0,1,3.7e-24,-1,0.5277,11,FALSE
"regulation of response to DNA damage stimulus","MMEB9_C1",1,0,3.7e-24,1,0.4356,11,FALSE
"establishment of protein localization to organelle","MMEB9_C1",0,1,3.7e-24,-1,0.5186,11,FALSE
"macroautophagy","MMEB9_C1",1,0,3.7e-24,1,0.4548,11,FALSE
"regulation of chromosome organization","MMEB9_C1",1,0,3.7e-24,1,0.3686,11,FALSE
"Golgi vesicle transport","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"double-strand break repair","MMEB9_C1",1,0,3.7e-24,1,0.3987,11,FALSE
"histone modification","MMEB9_C1",0,1,3.7e-24,-1,0.4836,11,FALSE
"sister chromatid segregation","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"DNA replication","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"chromosome segregation","MMEB9_C1",0,1,3.7e-24,-1,0.5116,11,FALSE
"mitochondrial gene expression","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"nucleocytoplasmic transport","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"nuclear transport","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"regulation of DNA repair","MMEB9_C1",1,0,3.7e-24,1,0.321,11,FALSE
"peptidyl-lysine modification","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"protein targeting","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"cytoplasmic translation","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"regulation of autophagy","MMEB9_C1",1,0,3.7e-24,1,0.479,11,FALSE
"signal transduction in response to DNA damage","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"regulation of intracellular transport","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"protein localization to nucleus","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"microtubule cytoskeleton organization involved in mitosis","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"telomere maintenance","MMEB9_C1",1,0,3.7e-24,1,0.2109,11,FALSE
"cell cycle checkpoint signaling","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"regulation of protein modification by small protein conjugation or removal","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"cellular respiration","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"cellular component disassembly","MMEB9_C1",1,1,3.7e-24,0,1,747,FALSE
"nuclear chromosome segregation","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"regulation of protein stability","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"regulation of cell cycle phase transition","MMEB9_C1",1,1,3.7e-24,0,1,747,FALSE
"regulation of protein catabolic process","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"response to endoplasmic reticulum stress","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"vesicle organization","MMEB9_C1",1,0,3.7e-24,1,0.4507,11,FALSE
"mitochondrial respiratory chain complex assembly","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"DNA-templated transcription elongation","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"mitochondrial transport","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"establishment of organelle localization","MMEB9_C1",0,1,3.7e-24,-1,0.5268,11,FALSE
"regulation of intracellular protein transport","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"response to UV","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"RNA localization","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"response to topologically incorrect protein","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"organelle fission","MMEB9_C1",0,1,3.7e-24,-1,0.4936,11,FALSE
"non-membrane-bounded organelle assembly","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"protein polyubiquitination","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"methylation","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"phospholipid biosynthetic process","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"oxidative phosphorylation","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"establishment of protein localization to membrane","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"in utero embryonic development","MMEB9_C1",0,1,3.7e-24,-1,0.4921,11,FALSE
"vacuole organization","MMEB9_C1",1,0,3.7e-24,1,0.3135,11,FALSE
"nuclear-transcribed mRNA catabolic process","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"protein folding","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"DNA conformation change","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"regulation of chromosome segregation","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"regulation of apoptotic signaling pathway","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"cell cycle G2/M phase transition","MMEB9_C1",1,0,3.7e-24,1,0.2344,11,FALSE
"vacuolar transport","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"response to ionizing radiation","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"cellular response to UV","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"regulation of binding","MMEB9_C1",0,1,3.7e-24,-1,0.517,11,FALSE
"nucleic acid transport","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"RNA transport","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"ribonucleoprotein complex subunit organization","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"regulation of DNA replication","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"ribose phosphate metabolic process","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"proton motive force-driven ATP synthesis","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"ribonucleotide metabolic process","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"telomere organization","MMEB9_C1",1,0,3.7e-24,1,0.2225,11,FALSE
"cellular response to topologically incorrect protein","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"Golgi organization","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"ribonucleoprotein complex assembly","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"cellular nitrogen compound catabolic process","MMEB9_C1",0,1,3.7e-24,-1,0.5178,11,FALSE
"negative regulation of phosphorus metabolic process","MMEB9_C1",1,1,3.7e-24,0,1,747,FALSE
"heterocycle catabolic process","MMEB9_C1",0,1,3.7e-24,-1,0.5161,11,FALSE
"mitochondrial membrane organization","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"regulation of protein-containing complex assembly","MMEB9_C1",1,1,3.7e-24,0,1,747,FALSE
"positive regulation of cellular component biogenesis","MMEB9_C1",1,1,3.7e-24,0,1,747,FALSE
"response to oxidative stress","MMEB9_C1",0,1,3.7e-24,-1,0.5035,11,FALSE
"regulation of supramolecular fiber organization","MMEB9_C1",0,1,3.7e-24,-1,0.4893,11,FALSE
"positive regulation of protein localization","MMEB9_C1",0,1,3.7e-24,-1,0.4798,11,FALSE
"positive regulation of cell projection organization","MMEB9_C1",0,1,3.7e-24,-1,0.5252,11,FALSE
"negative regulation of transferase activity","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"autophagy of mitochondrion","MMEB9_C1",1,0,3.7e-24,1,0.1655,11,FALSE
"positive regulation of amide metabolic process","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"chromatin remodeling","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"viral process","MMEB9_C1",1,1,3.7e-24,0,1,747,FALSE
"macromolecule deacylation","MMEB9_C1",1,0,3.7e-24,1,0.1923,11,FALSE
"mitotic cytokinesis","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"aromatic compound catabolic process","MMEB9_C1",0,1,3.7e-24,-1,0.5126,11,FALSE
"vesicle localization","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"establishment or maintenance of cell polarity","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"Wnt signaling pathway","MMEB9_C1",1,1,3.7e-24,0,1,747,FALSE
"cell-cell signaling by wnt","MMEB9_C1",1,1,3.7e-24,0,1,747,FALSE
"ATP metabolic process","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"cellular response to chemical stress","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"regulation of vacuole organization","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"cellular response to external stimulus","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"negative regulation of protein phosphorylation","MMEB9_C1",1,1,3.7e-24,0,1,747,FALSE
"negative regulation of catabolic process","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"regulation of microtubule cytoskeleton organization","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"chromosome localization","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"negative regulation of mitotic nuclear division","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"regulation of actin filament organization","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"dephosphorylation","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"glycosylation","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"positive regulation of establishment of protein localization","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"regulation of microtubule-based process","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"cell-substrate junction organization","MMEB9_C1",1,0,3.7e-24,1,0.2977,11,FALSE
"protein-containing complex localization","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"mitochondrial transmembrane transport","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"stem cell population maintenance","MMEB9_C1",1,0,3.7e-24,1,0.3091,11,FALSE
"ribosome assembly","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"intraciliary transport","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"Golgi to plasma membrane protein transport","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"response to amino acid starvation","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"cellular response to extracellular stimulus","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"cell growth","MMEB9_C1",1,1,3.7e-24,0,1,747,FALSE
"protein glycosylation","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"macromolecule glycosylation","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"maintenance of cell number","MMEB9_C1",1,0,3.7e-24,1,0.3111,11,FALSE
"response to reactive oxygen species","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"regulation of cell morphogenesis","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"regulation of cellular component size","MMEB9_C1",0,1,3.7e-24,-1,0.5154,11,FALSE
"cell-substrate junction assembly","MMEB9_C1",1,0,3.7e-24,1,0.284,11,FALSE
"membrane fission","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"membrane docking","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"fibroblast migration","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"nucleus organization","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"regulation of cell growth","MMEB9_C1",0,1,3.7e-24,-1,0.4723,11,FALSE
"fibroblast proliferation","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"cell cycle G1/S phase transition","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"actin filament organization","MMEB9_C1",0,1,3.7e-24,-1,0.4539,11,FALSE
"response to oxygen levels","MMEB9_C1",1,1,3.7e-24,0,1,747,FALSE
"epigenetic regulation of gene expression","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"organelle fusion","MMEB9_C1",1,0,3.7e-24,1,0.212,11,FALSE
"lipoprotein metabolic process","MMEB9_C1",1,0,3.7e-24,1,0.1999,11,FALSE
"protein lipidation","MMEB9_C1",1,0,3.7e-24,1,0.1373,11,FALSE
"regulation of plasma membrane bounded cell projection assembly","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"regulation of actin filament-based process","MMEB9_C1",0,1,3.7e-24,-1,0.4742,11,FALSE
"regulation of GTPase activity","MMEB9_C1",0,1,3.7e-24,-1,0.5312,11,FALSE
"nuclear envelope organization","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"protein autophosphorylation","MMEB9_C1",1,0,3.7e-24,1,0.3919,11,FALSE
"connective tissue development","MMEB9_C1",1,0,3.7e-24,1,0.4666,11,FALSE
