Name,Description,C9a,C9b,C9c,E9a,E9b,E9c
SLC6A13,na,0.00,0.00,0.00,0.00,0.00,0.00
IDS,na,84.28,89.97,57.94,95.80,90.85,56.03
PRSS3,na,6.83,3.08,7.82,4.87,3.82,6.43
ZNF200,na,3.21,4.27,2.75,3.60,3.21,3.75
CD4,na,10.00,6.14,15.12,7.68,3.22,15.07
LRRC23,na,15.22,18.54,9.92,14.80,21.84,12.69
BTK,na,0.00,0.00,0.10,0.00,0.00,0.00
HFE,na,14.04,17.21,20.27,17.56,19.20,23.31
SCMH1,na,24.18,24.07,20.60,21.11,21.35,20.41
FYN,na,49.88,41.56,88.03,49.98,57.58,75.44
HIVEP2,na,9.04,10.05,6.23,9.96,9.71,7.60
FMO1,na,0.04,0.00,0.00,0.00,0.00,0.00
ELOA,na,8.11,6.78,13.28,8.73,6.97,15.92
LYPLA2,na,38.29,33.46,31.69,37.07,30.93,35.41
CLCN6,na,7.80,9.16,8.72,8.69,12.68,11.15
MRC2,na,573.65,518.47,400.43,585.72,553.81,412.22
NME1-NME2,na,250.09,250.09,442.20,253.50,248.11,365.20
SLC6A7,na,0.00,0.02,0.00,0.00,0.00,0.02
TSPAN9,na,54.40,49.41,33.85,49.66,45.74,39.51
BTBD7,na,16.41,15.32,12.78,14.07,12.11,13.91
APBA3,na,21.17,25.27,13.28,24.66,19.17,18.22
MKS1,na,4.75,6.99,9.77,6.10,7.16,8.97
ABHD5,na,19.47,13.28,31.01,23.18,16.41,27.47
ANOS1,na,0.00,0.00,0.40,0.00,0.00,0.09
AKAP8L,na,44.57,55.15,50.10,46.52,48.94,53.68
MBTD1,na,4.32,4.24,4.48,4.62,3.82,4.68
UTP18,na,17.37,23.42,23.45,24.14,26.07,28.99
RNF216,na,24.74,25.40,28.10,24.74,22.78,29.11
TTC19,na,13.75,11.47,22.61,12.52,12.79,21.06
PTBP1,na,177.00,184.80,190.38,172.96,172.49,215.19
DPF1,na,0.91,0.63,2.01,1.05,1.10,1.49
SYT7,na,0.00,0.03,0.00,0.09,0.00,0.05
LARS2,na,9.70,9.70,17.14,9.35,8.42,16.88
PIK3C2A,na,15.48,17.34,17.23,20.08,17.52,24.57
PLAUR,na,98.83,78.02,104.07,106.40,97.63,126.00
ANLN,na,34.66,50.09,41.55,35.94,39.74,66.37
WIZ,na,22.75,24.77,33.08,25.20,24.39,29.84
RABGAP1,na,39.87,38.08,49.48,32.45,37.47,59.49
DCN,na,2495.65,2157.84,2954.81,2339.75,2191.72,3552.89
QPCTL,na,11.90,12.56,10.15,10.82,15.94,10.77
PPP5C,na,25.93,28.29,50.55,27.01,23.08,57.57
CEP68,na,8.00,7.85,5.77,7.16,7.86,6.82
MAP4K3,na,34.31,38.09,30.82,33.94,45.95,38.58
ZBTB32,na,0.00,0.00,0.00,0.25,0.00,0.00
TYROBP,na,0.00,0.00,0.00,0.00,0.00,0.00
TMEM159,na,58.98,75.21,81.07,65.02,93.42,61.91
GABRA3,na,0.00,0.00,0.00,0.00,0.00,0.00
BRCA1,na,2.71,1.47,3.45,3.78,3.11,4.81
ERCC1,na,67.06,64.30,64.32,61.66,56.64,72.00
CD22,na,0.00,0.00,0.00,0.36,0.32,0.00
SEMA3B,na,71.42,85.68,49.57,82.00,87.43,52.21
MBTPS2,na,15.05,14.08,20.58,15.11,14.17,22.54
PRICKLE3,na,11.17,14.25,7.00,12.81,9.85,7.94
LTF,na,1.70,1.74,0.00,2.25,4.03,0.25
EXTL3,na,45.44,56.27,26.38,49.94,50.92,33.40
NR1H4,na,0.00,0.00,0.00,0.00,0.00,0.00
ELOVL5,na,49.60,46.63,65.48,47.49,43.79,69.38
ALOX5,na,0.00,0.22,0.00,0.00,0.00,0.07
KDM5D,na,0.00,0.00,0.00,0.00,0.00,0.02
CALCOCO1,na,124.78,116.49,141.04,132.25,137.26,146.30
UBR7,na,10.87,9.58,12.89,10.14,10.85,16.66
MAP4K5,na,61.72,57.54,69.14,71.00,60.60,71.91
EHD3,na,20.15,22.06,21.61,18.96,18.64,20.49
PSMC4,na,74.50,65.36,100.75,67.85,61.59,101.42
MAN2B2,na,71.34,72.38,57.87,81.82,76.89,61.25
SLC7A14,na,0.14,0.14,0.65,0.29,0.12,0.53
CLDN11,na,266.65,390.04,452.96,230.82,270.96,568.59
SLC25A39,na,58.23,58.05,59.62,62.33,63.03,51.30
MVP,na,226.04,271.82,267.13,214.34,248.83,288.97
NUB1,na,36.96,38.77,54.29,36.66,40.82,54.88
PGM3,na,102.81,87.86,82.51,82.92,97.75,95.80
RWDD2A,na,6.85,5.96,8.36,7.24,7.04,7.64
CLK1,na,55.99,42.81,47.73,46.53,66.98,60.89
POLR3B,na,4.74,3.97,8.03,4.52,3.92,11.09
ANGEL1,na,7.68,6.38,7.90,7.64,5.89,7.67
RNF14,na,38.12,37.49,48.07,34.14,33.18,67.41
DNASE1L1,na,80.58,97.59,39.56,91.31,112.78,38.09
DDX11,na,4.47,4.67,5.31,2.93,2.04,7.12
HEBP1,na,106.76,97.69,86.31,104.62,112.54,87.27
GPRC5A,na,140.76,128.44,274.78,125.62,108.00,243.53
MAMLD1,na,9.06,7.26,8.31,8.86,6.10,10.59
CD6,na,0.00,0.00,0.00,0.00,0.00,0.00
TACC3,na,11.92,11.89,21.31,11.57,12.62,26.56
UFL1,na,13.91,13.58,17.96,13.91,15.93,18.02
POLA2,na,9.84,11.73,11.52,9.71,7.00,14.28
ZC3H3,na,8.20,7.52,8.93,8.07,9.01,9.17
CAPN1,na,152.50,138.87,161.57,136.18,143.14,150.29
ACPP,na,7.45,6.38,4.25,7.32,5.17,2.67
MDH1,na,130.86,133.50,123.55,125.52,124.79,138.62
SLC30A9,na,49.10,44.67,46.79,47.18,48.18,48.47
MTMR11,na,15.59,19.23,8.72,14.16,20.69,9.34
COX15,na,11.97,13.84,17.99,14.11,14.75,18.64
CCDC88C,na,0.01,0.00,0.01,0.00,0.00,0.00
YAF2,na,12.56,11.28,16.64,16.03,19.80,17.49
ZMYND11,na,41.23,45.85,51.37,45.88,43.19,51.20
WAS,na,0.00,0.04,0.00,0.16,0.00,0.53
DPEP1,na,0.13,1.02,0.00,0.31,0.63,0.05
BID,na,96.85,82.97,73.20,79.66,77.80,81.81
MATR3,na,139.69,134.00,223.10,121.86,127.64,229.73
NPC1L1,na,0.03,0.06,0.22,0.15,0.08,0.27
XYLT2,na,47.34,47.78,45.22,49.71,47.55,43.74
RGPD5,na,0.00,0.00,0.00,0.04,0.00,0.00
STMN4,na,0.00,0.00,0.10,0.00,0.00,0.16
NUDCD3,na,44.17,35.99,44.53,40.55,35.83,47.29
ISL1,na,0.00,0.00,0.00,0.00,0.00,0.00
CHDH,na,0.00,0.00,0.00,0.00,0.00,0.00
IL20RA,na,0.00,0.00,0.00,0.00,0.00,0.09
CLCA1,na,0.00,0.00,0.00,0.00,0.00,0.00
CLCA4,na,0.00,0.00,0.00,0.00,0.00,0.00
GLT8D1,na,128.24,132.43,126.00,114.63,144.20,139.56
ATP2C1,na,86.60,85.62,82.00,84.98,94.09,88.64
,na,0.00,0.00,0.00,0.09,0.09,0.04
IGF1,na,0.00,0.00,0.13,0.00,0.00,0.19
SLC38A5,na,27.30,33.40,18.67,34.18,26.19,37.65
,na,1.96,0.69,0.46,0.43,1.59,0.50
RALBP1,na,59.27,64.84,52.75,56.92,73.53,59.10
RUFY3,na,16.96,17.16,26.09,18.66,19.96,25.83
CNTN1,na,0.12,0.48,0.21,0.88,1.64,0.29
SLC11A1,na,0.07,0.06,0.06,0.17,0.05,0.19
WWTR1,na,42.57,30.93,34.02,40.94,32.57,35.12
AGPS,na,7.85,10.75,18.12,11.23,8.48,20.66
ZNF806,na,0.00,0.00,0.00,0.00,0.00,0.00
CXorf56,na,10.48,11.48,15.59,9.76,11.06,17.66
ATP1A2,na,0.62,0.91,0.27,1.23,1.81,0.76
TTC27,na,8.30,14.58,13.00,10.96,11.56,19.20
ZNF582,na,1.98,1.27,2.73,1.15,0.90,1.04
VSIG2,na,0.00,0.00,0.00,0.00,0.00,0.00
PHLDB1,na,60.21,57.20,103.01,56.62,43.60,104.12
