Name,Description,C1a,C1b,C1c,C9a,C9b,C9c
AKAP8L,na,38.84,45.74,49.27,44.57,55.15,50.10
MBTD1,na,6.37,3.84,4.49,4.32,4.24,4.48
UTP18,na,20.19,18.94,26.07,17.37,23.42,23.45
RNF216,na,25.61,25.01,22.87,24.74,25.40,28.10
TTC19,na,11.93,17.64,17.24,13.75,11.47,22.61
PTBP1,na,223.78,206.83,310.81,177.00,184.80,190.38
DPF1,na,1.19,1.21,5.49,0.91,0.63,2.01
SYT7,na,0.00,0.00,0.00,0.00,0.03,0.00
LARS2,na,8.60,7.55,15.82,9.70,9.70,17.14
PIK3C2A,na,22.11,13.58,13.03,15.48,17.34,17.23
PLAUR,na,105.20,95.18,172.10,98.83,78.02,104.07
ANLN,na,71.77,57.21,117.67,34.66,50.09,41.55
WIZ,na,22.74,23.24,35.87,22.75,24.77,33.08
RABGAP1,na,50.00,39.91,35.68,39.87,38.08,49.48
DCN,na,8071.16,4958.63,2008.29,2495.65,2157.84,2954.81
QPCTL,na,7.35,8.13,10.40,11.90,12.56,10.15
PPP5C,na,34.04,38.88,59.80,25.93,28.29,50.55
CEP68,na,9.28,8.67,7.40,8.00,7.85,5.77
MAP4K3,na,39.39,34.22,20.99,34.31,38.09,30.82
ZBTB32,na,0.00,0.00,0.00,0.00,0.00,0.00
TYROBP,na,0.00,0.00,0.00,0.00,0.00,0.00
TMEM159,na,50.74,68.74,41.79,58.98,75.21,81.07
GABRA3,na,0.00,0.00,0.00,0.00,0.00,0.00
BRCA1,na,4.21,3.54,5.43,2.71,1.47,3.45
ERCC1,na,63.42,87.60,95.00,67.06,64.30,64.32
CD22,na,0.00,0.00,0.00,0.00,0.00,0.00
SEMA3B,na,71.13,65.88,35.65,71.42,85.68,49.57
MBTPS2,na,11.16,9.57,9.86,15.05,14.08,20.58
PRICKLE3,na,13.04,11.09,13.04,11.17,14.25,7.00
LTF,na,1.53,0.74,0.00,1.70,1.74,0.00
EXTL3,na,35.09,36.05,39.43,45.44,56.27,26.38
NR1H4,na,0.00,0.00,0.00,0.00,0.00,0.00
ELOVL5,na,44.84,45.21,54.70,49.60,46.63,65.48
ALOX5,na,0.00,0.00,0.00,0.00,0.22,0.00
KDM5D,na,0.00,0.00,0.00,0.00,0.00,0.00
CALCOCO1,na,94.10,93.26,88.62,124.78,116.49,141.04
UBR7,na,20.75,12.61,22.34,10.87,9.58,12.89
MAP4K5,na,80.56,58.87,80.70,61.72,57.54,69.14
EHD3,na,24.03,21.90,17.64,20.15,22.06,21.61
PSMC4,na,80.75,82.19,113.78,74.50,65.36,100.75
MAN2B2,na,55.44,49.95,56.26,71.34,72.38,57.87
