"","condition","cycle","region","log2fc.mean.norm","obs.mut.mean","sim.mut.mean","combined_pvalue","combined_pvalue_adjusted","go.id"
"231","control",1,"positive regulation by host of viral process",-0.0360587924355672,0.111111111111111,0,0.949775643664649,1,"GO:0044794"
"232","control",1,"positive regulation of GTPase activity",0.892495758283078,0.666666666666667,0.111111111111111,0.779397983936236,1,"GO:0043547"
"233","control",1,"positive regulation of amide metabolic process",0.595020455822966,0.222222222222222,0,0.999573297094861,1,"GO:0034250"
"234","control",1,"positive regulation of axonogenesis",0.374693039222437,0.222222222222222,0,0.971351045288479,1,"GO:0050772"
"235","control",1,"positive regulation of cell projection organization",-0.282991614182857,0.555555555555556,0.777777777777778,0.993324922521116,1,"GO:0031346"
"236","control",1,"positive regulation of cellular component biogenesis",-0.0354907715113348,0.777777777777778,1,0.997617156987501,1,"GO:0044089"
"237","control",1,"positive regulation of epithelial to mesenchymal transition",-0.283988602919298,0,0,1,1,"GO:0010718"
"238","control",1,"positive regulation of establishment of protein localization",-0.550905677536863,0.333333333333333,0.666666666666667,0.980445466749686,1,"GO:1904951"
"239","control",1,"positive regulation of kinase activity",0.263690221958728,1,1,0.99693524410097,1,"GO:0033674"
"240","control",1,"positive regulation of microtubule polymerization",-0.411686277724203,0,0,1,1,"GO:0031116"
"241","control",1,"positive regulation of nervous system development",0.266902853709447,0.222222222222222,0.111111111111111,0.9891774836903,1,"GO:0051962"
"242","control",1,"positive regulation of neurogenesis",0.692977147430038,0.333333333333333,0,0.978704410794864,1,"GO:0050769"
"243","control",1,"positive regulation of neuron migration",0.171554524407206,0.222222222222222,0,0.744905074011429,1,"GO:2001224"
"244","control",1,"positive regulation of protein localization",0.103172612170492,1.22222222222222,1,0.994556822554035,1,"GO:1903829"
"245","control",1,"positive regulation of stem cell population maintenance",-0.397826576473736,0,0,1,1,"GO:1902459"
"246","control",1,"positive regulation of viral process",0.0194420952778211,0.111111111111111,0,0.990577334049794,1,"GO:0048524"
"247","control",1,"postsynapse organization",0.996000749302469,0.555555555555556,0,0.77293196331163,1,"GO:0099173"
"248","control",1,"proteasome-mediated ubiquitin-dependent protein catabolic process",-0.22815791326585,0.666666666666667,1,0.960055869447351,1,"GO:0043161"
"249","control",1,"protein autophosphorylation",0.616719509356408,0.333333333333333,0,0.976530665853365,1,"GO:0046777"
"250","control",1,"protein folding",0.596337605703174,0.222222222222222,0.111111111111111,0.99933423099802,1,"GO:0006457"
"251","control",1,"protein glycosylation",1.31780144655076,0.888888888888889,0,0.613965800605695,1,"GO:0006486"
"252","control",1,"protein lipidation",0.754344801944598,0.333333333333333,0,0.907645493972041,1,"GO:0006497"
"253","control",1,"protein localization to nucleus",-0.228855182712902,0.555555555555556,0.666666666666667,0.98848532796931,1,"GO:0034504"
"254","control",1,"protein neddylation",-0.263144338020114,0,0,1,1,"GO:0045116"
"255","control",1,"protein polyubiquitination",1.15772642646042,1,0.333333333333333,0.435883884840992,1,"GO:0000209"
