"region","control","enu","group_diff","group","p_value","significant_p_adjusted","significant_p_adjusted_both_groups","GO.ID","p_value.adjust"
"metallo-sulfur cluster assembly",0,0.111111111111111,0.111111111111111,"downsampled",0.346593507087334,NA,NA,"GO:0031163",0.668597242556415
"methylation",0.352213889049146,0.398329166746796,0.0461152776976498,"downsampled",0.858553594271683,NA,NA,"GO:0032259",0.951737716613234
"miRNA processing",0.398329166746796,0.222222222222222,-0.176106944524573,"downsampled",0.60281536072811,NA,NA,"GO:0035196",0.820096867531917
"microtubule cytoskeleton organization involved in mitosis",0.176106944524573,0.111111111111111,-0.0649958334134622,"downsampled",0.759706541266705,NA,NA,"GO:1902850",0.899358478999555
"microtubule depolymerization",0,0.222222222222222,0.222222222222222,"downsampled",0.16902020301917,NA,NA,"GO:0007019",0.668597242556415
"microtubule organizing center localization",0,0,0,"downsampled",NA,NA,NA,"GO:0061842",NA
"microtubule polymerization",0.111111111111111,0.287218055635684,0.176106944524573,"downsampled",0.449025703095065,NA,NA,"GO:0046785",0.751908759411973
"microvillus assembly",0,0,0,"downsampled",NA,NA,NA,"GO:0030033",NA
"mitochondrial gene expression",0.111111111111111,0.222222222222222,0.111111111111111,"downsampled",0.555566605249039,NA,NA,"GO:0140053",0.797739851254194
"mitochondrial genome maintenance",0,0,0,"downsampled",NA,NA,NA,"GO:0000002",NA
"mitochondrial membrane organization",0,0.111111111111111,0.111111111111111,"downsampled",0.346593507087334,NA,NA,"GO:0007006",0.668597242556415
"mitochondrial respiratory chain complex assembly",0.111111111111111,0,-0.111111111111111,"downsampled",0.346593507087334,NA,NA,"GO:0033108",0.668597242556415
"mitochondrial transmembrane transport",0,0,0,"downsampled",NA,NA,NA,"GO:1990542",NA
"mitochondrial transport",0,0.222222222222222,0.222222222222222,"downsampled",0.16902020301917,NA,NA,"GO:0006839",0.668597242556415
"mitochondrion localization",0,0,0,"downsampled",NA,NA,NA,"GO:0051646",NA
"mitochondrion morphogenesis",0,0,0,"downsampled",NA,NA,NA,"GO:0070584",NA
"mitotic cell cycle phase transition",-0.601670833253205,-0.268337499919872,0.333333333333333,"downsampled",0.326236181193998,NA,NA,"GO:0044772",0.668597242556415
"monosaccharide metabolic process",0.287218055635684,0.620551388969018,0.333333333333333,"downsampled",0.258070818988044,NA,NA,"GO:0005996",0.668597242556415
"morphogenesis of a branching structure",0.666666666666667,0.555555555555556,-0.111111111111111,"downsampled",0.771988005609167,NA,NA,"GO:0001763",0.907152527226101
"morphogenesis of a polarized epithelium",0.222222222222222,0.111111111111111,-0.111111111111111,"downsampled",0.555566605249039,NA,NA,"GO:0001738",0.797739851254194
"movement in host",0.398329166746796,0.480214232765262,0.0818850660184666,"downsampled",0.832137379258893,NA,NA,"GO:0044000",0.940169249548644
"mucopolysaccharide metabolic process",0.352213889049147,0.398329166746796,0.0461152776976489,"downsampled",0.884229484216405,NA,NA,"GO:1903510",0.965158962432821
"multicellular organism growth",0.111111111111111,0.222222222222222,0.111111111111111,"downsampled",0.555566605249039,NA,NA,"GO:0035264",0.797739851254194
"muscle cell differentiation",-0.20334166650641,-0.379448611030983,-0.176106944524573,"downsampled",0.649740056503993,NA,NA,"GO:0042692",0.827240202824167
"myeloid cell homeostasis",0.444444444444444,0.222222222222222,-0.222222222222222,"downsampled",0.446627896034455,NA,NA,"GO:0002262",0.751908759411973
"ncRNA processing",0.0188805557158129,0.287218055635684,0.268337499919872,"downsampled",0.536203159516678,NA,NA,"GO:0034470",0.797739851254194
"negative regulation of catabolic process",-0.111111111111111,0.10076562173428,0.211876732845391,"downsampled",0.469456118045035,NA,NA,"GO:0009895",0.763458939446976
"negative regulation of cell projection organization",0.333333333333333,0.111111111111111,-0.222222222222222,"downsampled",0.286032336512153,NA,NA,"GO:0031345",0.668597242556415
"negative regulation of cysteine-type endopeptidase activity involved in apoptotic process",0.222222222222222,0,-0.222222222222222,"downsampled",0.16902020301917,NA,NA,"GO:0043154",0.668597242556415
"negative regulation of growth",0.376924158086528,0.68554722238248,0.308623064295952,"downsampled",0.532033446824915,NA,NA,"GO:0045926",0.797739851254194
"negative regulation of mitotic nuclear division",0.333333333333333,0,-0.333333333333333,"downsampled",0.195015528100076,NA,NA,"GO:0045839",0.668597242556415
