"region","condition.x","average_log2fc","group","condition.y","pvalue","pvalue_symbol","GO.ID","pvalue.adjust","average_log2fc_shuffle_norm"
"mitochondrial transmembrane transport","enu",-0.171011468611265,"observed","enu",0.851115470644867,NA,"GO:1990542",0.999999999996455,0.551203220244969
"mitochondrial transport","enu",-0.352401557541323,"observed","enu",0.0606100248240694,NA,"GO:0006839",0.23869102559582,0.0268481575486464
"mitochondrion localization","enu",-0.32557421630071,"observed","enu",0.674012920122429,NA,"GO:0051646",0.943124305812337,-0.00586577732428301
"mitochondrion morphogenesis","enu",-0.347493750120193,"observed","enu",0.708670782601421,NA,"GO:0070584",0.966829424834796,-0.65114843260142
"mitotic cell cycle phase transition","enu",-0.416349165589433,"observed","enu",0.0354209950895581,"*","GO:0044772",0.169493283859084,-0.105010529933448
"monosaccharide metabolic process","enu",-0.402338666130859,"observed","enu",0.0727618928707356,NA,"GO:0005996",0.265908987224177,-0.190177852040403
"morphogenesis of a branching structure","enu",-0.206200251241476,"observed","enu",0.326422059343752,NA,"GO:0001763",0.610471404229426,0.0355051092959479
"morphogenesis of a polarized epithelium","enu",-0.217085012755201,"observed","enu",0.260050670830855,NA,"GO:0001738",0.539887805746666,-0.039644761343121
"movement in host","enu",-0.141476613511283,"observed","enu",0.594425732519063,NA,"GO:0044000",0.87672057846441,0.124577142983916
"mucopolysaccharide metabolic process","enu",0.0518494880879875,"observed","enu",0.955225222054372,NA,"GO:1903510",0.999999999996455,0.34283724611546
"multicellular organism growth","enu",-0.286994704002882,"observed","enu",0.185802457289966,NA,"GO:0035264",0.46088661483615,0.401347027705401
"muscle cell differentiation","enu",-0.473183338896435,"observed","enu",0.0331569602126202,"*","GO:0042692",0.164492971444428,-0.258127442523439
"myeloid cell homeostasis","enu",-0.659794819984002,"observed","enu",0.00509636731295679,"**","GO:0002262",0.0540781198208192,-0.317404238763221
"ncRNA processing","enu",-0.217946831735694,"observed","enu",0.931474558305965,NA,"GO:0034470",0.999999999996455,0.0872210273643476
"negative regulation of catabolic process","enu",-0.488181275881291,"observed","enu",0,"****","GO:0009895",0,-0.183173728266141
"negative regulation of cell projection organization","enu",-0.283216373805742,"observed","enu",0.278844709058192,NA,"GO:0031345",0.559342152010646,0.396612989508944
"negative regulation of cysteine-type endopeptidase activity involved in apoptotic process","enu",-0.494134222675717,"observed","enu",0.0068617611792493,"**","GO:0043154",0.0655298192618308,0.116984421801383
"negative regulation of growth","enu",-0.151321246011935,"observed","enu",0.266803658167895,NA,"GO:0045926",0.544432120457473,0.186149028201314
"negative regulation of mitotic nuclear division","enu",-0.581975516054945,"observed","enu",0.656132343890694,NA,"GO:0045839",0.933422089126436,-0.160936564397101
"negative regulation of phosphorus metabolic process","enu",-0.234206090745797,"observed","enu",0.445213704761883,NA,"GO:0010563",0.744240836851829,0.0581586183871012
"negative regulation of transferase activity","enu",-0.196297941598417,"observed","enu",0.503683134645236,NA,"GO:0051348",0.800464687224459,0.157819952800872
"neural tube formation","enu",-0.286673287217135,"observed","enu",0.825813920244297,NA,"GO:0001841",0.999999999996455,0.101985223780905
"neuron apoptotic process","enu",-0.0497912874539616,"observed","enu",0.852177376275191,NA,"GO:0051402",0.999999999996455,0.407863137240178
"neuron death","enu",-0.125888693393565,"observed","enu",0.579701535737017,NA,"GO:0070997",0.86911229734891,-0.0554613219928397
"neuron projection extension","enu",-0.193455664871796,"observed","enu",0.475843747169059,NA,"GO:1990138",0.770221658553307,-0.0259595420360112
"neuron projection organization","enu",-0.0745887633509773,"observed","enu",0.946403210075845,NA,"GO:0106027",0.999999999996455,-0.0575770369526247
"neurotransmitter secretion","enu",-0.0741430743012563,"observed","enu",0.42017587531448,NA,"GO:0007269",0.716549930223801,0.114755804089985
"neurotrophin signaling pathway","enu",-0.28512198070319,"observed","enu",0.903302002871516,NA,"GO:0038179",0.999999999996455,-0.28512198070319
"non-membrane-bounded organelle assembly","enu",-0.347840060509821,"observed","enu",0,"****","GO:0140694",0,0.072717371443165
"nuclear chromosome segregation","enu",-0.368183004550364,"observed","enu",0.0914332298673515,NA,"GO:0098813",0.293507442856943,-0.224469519941048
"nuclear envelope organization","enu",-0.487333075546246,"observed","enu",0.692505905731945,NA,"GO:0006998",0.961462255145674,-0.25
"nuclear migration","enu",-0.38208020839343,"observed","enu",0.621661732214743,NA,"GO:0007097",0.906392296587908,-0.0833333333333336
"nuclear transport","enu",-0.450511971349704,"observed","enu",0.0219380791296859,"*","GO:0051169",0.121454293152754,-0.0468805073291088
"nuclear-transcribed mRNA catabolic process","enu",-0.641645495664251,"observed","enu",0.0135679977715886,"*","GO:0000956",0.0959810212730894,-0.27563033511017
"nucleic acid transport","enu",-0.588019272074562,"observed","enu",0.01686781611726,"*","GO:0050657",0.10308249421923,-0.30026882628474
"nucleocytoplasmic transport","enu",-0.450511971349704,"observed","enu",0.0219380791296859,"*","GO:0006913",0.121454293152754,-0.36787202946966
"nucleosome assembly","enu",0.195972953190118,"observed","enu",0.285681843321842,NA,"GO:0006334",0.568387834109081,0.534636541417783
"nucleosome organization","enu",-0.144434454942091,"observed","enu",0.802506706519558,NA,"GO:0034728",0.999999999996455,-0.0596076292756527
"nucleotide catabolic process","enu",-0.00338683204144516,"observed","enu",0.702219814622102,NA,"GO:0009166",0.961462255145674,0.342613425745643
"nucleus organization","enu",-0.674931950839941,"observed","enu",0.0873056400711772,NA,"GO:0006997",0.292342017251424,-0.35863782695154
"oligosaccharide-lipid intermediate biosynthetic process","enu",0.034586458273237,"observed","enu",0.925922713455831,NA,"GO:0006490",0.999999999996455,-0.124321091360806
"organelle fission","enu",-0.357669162321366,"observed","enu",0,"****","GO:0048285",0,-0.0918813976617914
"organelle fusion","enu",-0.387945985717713,"observed","enu",0.00252695140299172,"**","GO:0048284",0.0332860495152703,-0.316644506302338
"organelle inheritance","enu",0.166666666666667,"observed","enu",0.986799150641563,NA,"GO:0048308",0.999999999996455,-0.0487468750600967
"organelle localization by membrane tethering","enu",0.00735926965738936,"observed","enu",0.125096917730644,NA,"GO:0140056",0.346282772268884,0.155493234546019
