"gene_name","n_syn","n_mis","n_non","n_spl","wmis_cv","wnon_cv","wspl_cv","pmis_cv","ptrunc_cv","pallsubs_cv","qmis_cv","qtrunc_cv","qallsubs_cv","list_name"
"TSC2",0,1,0,0,28.4732455475799,0,0,0.0401737922641194,0.931830684707229,0.121057699223291,0.995924888744262,0.999105960181601,0.999999483708411,"enu_9"
"KAT6B",0,1,0,0,27.0523883430468,0,0,0.0425190734168663,0.936570466461872,0.12712435901809,0.995924888744262,0.999105960181601,0.999999483708411,"enu_9"
"RANBP2",0,1,0,0,26.0911397660668,0,0,0.0442581382949663,0.931796209777959,0.131393553036004,0.995924888744262,0.999105960181601,0.999999483708411,"enu_9"
"BLM",0,1,0,0,25.6457423268384,0,0,0.0451103704050542,0.92988177890149,0.133477700761795,0.995924888744262,0.999105960181601,0.999999483708411,"enu_9"
"FBLN2",1,1,0,0,22.1779556549749,0,0,0.046898855027919,0.927057689533949,0.138017622377511,0.995924888744262,0.999105960181601,0.999999483708411,"enu_9"
"CDH1",0,1,0,0,23.6253741962111,0,0,0.0494004337904903,0.929149692518172,0.144058534453569,0.995924888744262,0.999105960181601,0.999999483708411,"enu_9"
"ZNRF3",0,1,0,0,20.0341935364653,0,0,0.0592756090530614,0.926528626903275,0.167642119225597,0.995924888744262,0.999105960181601,0.999999483708411,"enu_9"
"PTPRT",0,1,0,0,18.9558274933911,0,0,0.0630063472155387,0.914984445813569,0.175909912993879,0.995924888744262,0.999105960181601,0.999999483708411,"enu_9"
"FGFR2",0,1,0,0,15.71644180263,0,0,0.0774318838170913,0.908808386170911,0.208059500741617,0.995924888744262,0.999105960181601,0.999999483708411,"enu_9"
"CTNND2",1,1,0,0,12.8025950737737,0,0,0.0863070767698602,0.8918784691948,0.22679060255134,0.995924888744262,0.999105960181601,0.999999483708411,"enu_9"
"MYH11",0,1,0,0,13.9674701906075,0,0,0.0881125507473886,0.900336639533734,0.230556965066633,0.995924888744262,0.999105960181601,0.999999483708411,"enu_9"
"KIAA1549",1,1,0,0,9.20529889600605,0,0,0.124005915064213,0.89717788708664,0.302891994590568,0.995924888744262,0.999105960181601,0.999999483708411,"enu_9"
"TRRAP",0,1,0,0,9.97271395348286,0,0,0.126995336226237,0.887117806175958,0.307034992491374,0.995924888744262,0.999105960181601,0.999999483708411,"enu_9"
"ZFHX3",0,1,0,0,9.20777091004488,0,0,0.138349332959592,0.903686263129203,0.329580202934667,0.995924888744262,0.999105960181601,0.999999483708411,"enu_9"
"KMT2D",0,1,0,0,6.79450870322274,0,0,0.190817027060772,0.872096860520785,0.416427641152076,0.995924888744262,0.999105960181601,0.999999483708411,"enu_9"
"FAT1",1,0,0,0,0,0,0,0.454883698628791,0.841125115076502,0.742993291562552,0.995924888744262,0.999105960181601,0.999999483708411,"enu_9"
"TET1",1,0,0,0,0,0,0,0.658436713446136,0.901925696618141,0.900327290003061,0.995924888744262,0.999105960181601,0.999999483708411,"enu_9"
"ALDH2",1,0,0,0,0,0,0,0.760541364481733,0.919078875649866,0.949801936806043,0.995924888744262,0.999105960181601,0.999999483708411,"enu_9"
"MUC16",1,1,0,0,1.13254097000915,0,0,0.917724109137768,0.7678835539981,0.950672115592315,0.995924888744262,0.999105960181601,0.999999483708411,"enu_9"
"TFE3",1,0,0,0,0,0,0,0.78770477894803,0.93803608662522,0.961525302152863,0.995924888744262,0.999105960181601,0.999999483708411,"enu_9"
"FLCN",1,0,0,0,0,0,0,0.80824821080001,0.942399352405899,0.968481266570301,0.995924888744262,0.999105960181601,0.999999483708411,"enu_9"
"CPEB3",1,0,0,0,0,0,0,0.823624239599876,0.945588554684686,0.97322168451036,0.995924888744262,0.999105960181601,0.999999483708411,"enu_9"
"IKBKB",1,0,0,0,0,0,0,0.832618007873318,0.938835790978107,0.975066665523471,0.995924888744262,0.999105960181601,0.999999483708411,"enu_9"
"NT5C2",1,0,0,0,0,0,0,0.842368665884211,0.940093910026669,0.977679150099953,0.995924888744262,0.999105960181601,0.999999483708411,"enu_9"
