"","condition","cycle","region","log2fc.mean","obs.mut.sum","obs.mut.mean","obs.mut.sd","obs.mut.cv","sim.mut.mean","p_value","p_adjusted","significant_p_adjusted","go.id","observed.variant.required","observed.variant.requirement.met"
"1099","enu","3","regulation of glucose metabolic process",-0.196364706681907,14.0694444444444,4.68981481481481,0.724400205988523,0.15446243286626,4.88425925925926,0.359490245510681,0.999999617096231,NA,"GO:0010906",93,"FALSE"
"1100","enu","3","regulation of interferon-beta production",-0.424621385998452,8.30555555555556,2.76851851851852,0.555786988831812,0.200752490949283,3.36574074074074,0.219872145874405,0.999999617096231,NA,"GO:0032648",33,"FALSE"
"1101","enu","3","regulation of intracellular protein transport",-0.387656340865986,30.5,10.1666666666667,1.821510701195,0.179164987002787,12.3055555555556,0.070629378481215,0.816225605482301,NA,"GO:0033157",38,"FALSE"
"1102","enu","3","regulation of intracellular steroid hormone receptor signaling pathway",-0.360677176579417,11.1805555555556,3.72685185185185,0.453112804930262,0.121580578714207,4.47222222222222,0.342543694532467,0.999999617096231,NA,"GO:0033143",42,"FALSE"
"1103","enu","3","regulation of intracellular transport",-0.197916030966571,53.25,17.75,3.33414342008244,0.187839065920137,20.0046296296296,0.300912064508866,0.999999617096231,NA,"GO:0032386",93,"FALSE"
"1104","enu","3","regulation of ketone biosynthetic process",-0.165441377284767,2.41666666666667,0.805555555555556,0.281913654585895,0.349961778106628,0.912037037037037,0.99992217283397,0.999999617096231,NA,"GO:0010566",112,"FALSE"
"1105","enu","3","regulation of ligase activity",0.0796272559126289,2.375,0.791666666666667,0.377563256085227,0.476922007686603,0.527777777777778,0.888568189461588,0.999999617096231,NA,"GO:0051340",241,"FALSE"
"1106","enu","3","regulation of membrane permeability",-0.00174574896138863,11.5555555555556,3.85185185185185,0.256600119639834,0.0666173387526492,3.63425925925926,0.979753127799306,0.999999617096231,NA,"GO:0090559",632,"FALSE"
"1107","enu","3","regulation of microtubule cytoskeleton organization",-0.250079897119785,23.2222222222222,7.74074074074074,0.65105169745359,0.0841071570873059,8.49074074074074,0.384777578592663,0.999999617096231,NA,"GO:0070507",66,"FALSE"
"1108","enu","3","regulation of microtubule depolymerization",0.0175530069752743,5.875,1.95833333333333,0.132491555752354,0.0676552625118401,1.68981481481481,0.999628823399711,0.999999617096231,NA,"GO:0031114",526,"FALSE"
"1109","enu","3","regulation of microtubule-based process",-0.104944245226175,38.5972222222222,12.8657407407407,0.886317170978886,0.0688897117421517,13.2962962962963,0.787121885717668,0.999999617096231,NA,"GO:0032886",180,"FALSE"
