"","condition","cycle","region","log2fc.mean","log2fc.sd","obs.mut.sum","obs.mut.mean","obs.mut.sd","obs.mut.cv","sim.mut.sum","sim.mut.mean","p_value","p_adjusted","significant_p_adjusted","go.id","observed.variant.required","observed.variant.requirement.met"
"136","control","1","lipoprotein catabolic process",0.111111111111111,0.192450089729875,0.333333333333333,0.111111111111111,0.192450089729875,1.73205080756888,0,0,0.923162241422568,1,NA,"GO:0042159",163,"FALSE"
"137","control","1","lipoprotein metabolic process",0.287218055635684,0.267162291360244,1,0.333333333333333,0.333333333333333,1,0,0,0.964689662549249,1,NA,"GO:0042157",57,"FALSE"
"138","control","1","lysosomal lumen acidification",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0007042",747,"FALSE"
"139","control","1","lysosomal protein catabolic process",0,0,0,0,0,NA,0,0,1,1,NA,"GO:1905146",747,"FALSE"
"140","control","1","mRNA export from nucleus",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0006406",747,"FALSE"
"141","control","1","macroautophagy",-0.777777777777778,0.192450089729875,0.666666666666667,0.222222222222222,0.192450089729875,0.866025403784439,3,1,0.944970969580524,1,NA,"GO:0016236",13,"FALSE"
"142","control","1","macromolecule deacylation",0.444444444444444,0.192450089729875,1.33333333333333,0.444444444444444,0.192450089729875,0.433012701892219,0,0,0.950867884763194,1,NA,"GO:0098732",32,"FALSE"
"143","control","1","macromolecule glycosylation",0.333333333333333,0.577350269189626,1,0.333333333333333,0.577350269189626,1.73205080756888,0,0,0.973159550351122,1,NA,"GO:0043413",47,"FALSE"
"144","control","1","magnesium ion transmembrane transport",0.222222222222222,0.192450089729875,0.666666666666667,0.222222222222222,0.192450089729875,0.866025403784439,0,0,0.734543415755117,1,NA,"GO:1903830",81,"FALSE"
"145","control","1","magnesium ion transport",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0015693",747,"FALSE"
"146","control","1","maintenance of cell number",0.398329166746796,0.351830195114693,1.33333333333333,0.444444444444444,0.384900179459751,0.866025403784439,0,0,0.899767743487688,1,NA,"GO:0098727",38,"FALSE"
"147","control","1","maintenance of protein location",0.111111111111111,0.192450089729875,0.333333333333333,0.111111111111111,0.192450089729875,1.73205080756888,0,0,0.99912931021195,1,NA,"GO:0045185",163,"FALSE"
"148","control","1","maintenance of protein location in cell",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0032507",747,"FALSE"
"149","control","1","mammary gland epithelial cell proliferation",0.111111111111111,0.192450089729875,0.333333333333333,0.111111111111111,0.192450089729875,1.73205080756888,0,0,0.948316203351323,1,NA,"GO:0033598",163,"FALSE"
"150","control","1","membrane assembly",0.111111111111111,0.192450089729875,0.333333333333333,0.111111111111111,0.192450089729875,1.73205080756888,0,0,0.997397651500538,1,NA,"GO:0071709",163,"FALSE"
"151","control","1","membrane biogenesis",0.111111111111111,0.192450089729875,0.333333333333333,0.111111111111111,0.192450089729875,1.73205080756888,0,0,0.994390321687008,1,NA,"GO:0044091",163,"FALSE"
"152","control","1","membrane docking",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0022406",747,"FALSE"
"153","control","1","membrane fission",0.222222222222222,0.192450089729875,0.666666666666667,0.222222222222222,0.192450089729875,0.866025403784439,0,0,0.934533203087178,1,NA,"GO:0090148",81,"FALSE"
"154","control","1","mesenchymal cell differentiation",0.111111111111111,0.192450089729875,0.666666666666667,0.222222222222222,0.192450089729875,0.866025403784439,0.333333333333333,0.111111111111111,0.999992627245525,1,NA,"GO:0048762",163,"FALSE"
