"","region","sample","obs.mut","sim.mut","log2fc","pvalue","pvalue.adj","sim.distr.norm.pvalue.adj"
"organophosphate catabolic process2","organophosphate catabolic process","C3_05_24",0,0,0,1,1,4.25280950913721e-44
"positive regulation by host of viral process2","positive regulation by host of viral process","C3_05_24",0,0,0,1,1,1.13588449331128e-51
"pore complex assembly2","pore complex assembly","C3_05_24",0,0,0,1,1,5.83674706680182e-52
"cellular response to arsenic-containing substance2","cellular response to arsenic-containing substance","C3_05_24",0,0,0,1,1,1.28082003115549e-52
"glycosyl compound biosynthetic process2","glycosyl compound biosynthetic process","C3_05_24",0,0,0,1,1,5.19495216690235e-53
"multicellular organism growth2","multicellular organism growth","C3_05_24",1,0,1,0.367,1,5.91794062251242e-40
"COPII vesicle coating2","COPII vesicle coating","C3_05_24",0,0,0,1,1,5.83674706680182e-52
"ossification2","ossification","C3_05_24",1,2,-0.584962500721156,0.361,1,8.97972684952124e-28
"cardiac chamber development2","cardiac chamber development","C3_05_24",0,0,0,1,1,1.61621731894276e-36
"myeloid cell homeostasis2","myeloid cell homeostasis","C3_05_24",1,0,1,0.412,1,1.14697930578144e-38
"positive regulation of growth2","positive regulation of growth","C3_05_24",1,1,0,1,1,2.15520550777514e-33
"ubiquinone metabolic process2","ubiquinone metabolic process","C3_05_24",1,0,1,0.055,1,4.8844636030528e-52
"inositol phosphate catabolic process2","inositol phosphate catabolic process","C3_05_24",0,0,0,1,1,4.8844636030528e-52
"telomerase RNA localization to Cajal body2","telomerase RNA localization to Cajal body","C3_05_24",0,0,0,1,1,5.19495216690235e-53
"endoplasmic reticulum calcium ion homeostasis2","endoplasmic reticulum calcium ion homeostasis","C3_05_24",0,0,0,1,1,5.02908125676091e-51
"centrosome localization2","centrosome localization","C3_05_24",0,0,0,1,1,1.9128536418116e-49
"microtubule organizing center localization2","microtubule organizing center localization","C3_05_24",0,0,0,1,1,1.9128536418116e-49
"cellular carbohydrate metabolic process2","cellular carbohydrate metabolic process","C3_05_24",0,1,-1,0.564,1,5.31004103327841e-34
"muscle cell differentiation2","muscle cell differentiation","C3_05_24",0,1,-1,0.515,1,5.6252399977919e-27
"regulation of dephosphorylation2","regulation of dephosphorylation","C3_05_24",1,0,1,0.308,1,1.74469804089128e-42
"glycosaminoglycan biosynthetic process2","glycosaminoglycan biosynthetic process","C3_05_24",0,0,0,1,1,1.6818854735608e-45
"osteoblast differentiation2","osteoblast differentiation","C3_05_24",0,1,-1,0.525,1,1.36453421846882e-33
"regulation of gene silencing by RNA2","regulation of gene silencing by RNA","C3_05_24",0,0,0,1,1,3.15133167567493e-49
"lamellipodium morphogenesis2","lamellipodium morphogenesis","C3_05_24",0,0,0,1,1,1.49848605462098e-51
"positive regulation of neuron migration2","positive regulation of neuron migration","C3_05_24",0,0,0,1,1,1.15267229696107e-51
"GPI anchor biosynthetic process2","GPI anchor biosynthetic process","C3_05_24",0,0,0,1,1,3.45667511662546e-52
"pigmentation2","pigmentation","C3_05_24",1,0,1,0.284,1,3.28650098656701e-43
"establishment or maintenance of epithelial cell apical/basal polarity2","establishment or maintenance of epithelial cell apical/basal polarity","C3_05_24",0,0,0,1,1,2.81784910316876e-47
"neuron projection organization2","neuron projection organization","C3_05_24",0,0,0,1,1,1.14840830126968e-43
"cerebellum development2","cerebellum development","C3_05_24",1,0,1,0.226,1,3.73662766051005e-45
"appendage development2","appendage development","C3_05_24",0,0,0,1,1,1.45211928480279e-37
"limb development2","limb development","C3_05_24",0,0,0,1,1,1.45211928480279e-37
"hematopoietic progenitor cell differentiation2","hematopoietic progenitor cell differentiation","C3_05_24",0,0,0,1,1,1.97598981064241e-42
"positive regulation of epithelial cell migration2","positive regulation of epithelial cell migration","C3_05_24",1,0,1,0.493,1,1.06691461458206e-35
"regulation of neuron apoptotic process2","regulation of neuron apoptotic process","C3_05_24",0,0,0,1,1,3.27795353034706e-37
"regulation of endocytosis2","regulation of endocytosis","C3_05_24",0,0,0,1,1,1.2626521355054e-36
"face development2","face development","C3_05_24",0,0,0,1,1,4.97042996653616e-46
"monosaccharide metabolic process2","monosaccharide metabolic process","C3_05_24",0,1,-1,0.578,1,3.4341187005762e-36
"cellular metabolic compound salvage2","cellular metabolic compound salvage","C3_05_24",0,0,0,1,1,1.28082003115549e-52
"nuclear migration2","nuclear migration","C3_05_24",0,0,0,1,1,1.47638869372784e-50
"platelet dense granule organization2","platelet dense granule organization","C3_05_24",0,0,0,1,1,9.46034811506244e-51
"cell communication by electrical coupling involved in cardiac conduction2","cell communication by electrical coupling involved in cardiac conduction","C3_05_24",0,0,0,1,1,1.47638869372784e-50
"regulation of ncRNA transcription2","regulation of ncRNA transcription","C3_05_24",1,0,1,0.053,1,3.3707564076107e-52
"fat cell differentiation2","fat cell differentiation","C3_05_24",0,0,0,1,1,2.18259984335358e-36
"sulfur amino acid biosynthetic process2","sulfur amino acid biosynthetic process","C3_05_24",0,0,0,1,1,1.24323440428851e-52
"regulation of translational fidelity2","regulation of translational fidelity","C3_05_24",0,0,0,1,1,1.55373233137034e-51
"ubiquinone biosynthetic process2","ubiquinone biosynthetic process","C3_05_24",1,0,1,0.042,1,1.28082003115549e-52
"establishment of epithelial cell apical/basal polarity2","establishment of epithelial cell apical/basal polarity","C3_05_24",0,0,0,1,1,1.88368866830162e-50
"quinone biosynthetic process2","quinone biosynthetic process","C3_05_24",1,0,1,0.042,1,1.28082003115549e-52
"regulation of Golgi organization2","regulation of Golgi organization","C3_05_24",0,0,0,1,1,5.19495216690235e-53
"mucopolysaccharide metabolic process2","mucopolysaccharide metabolic process","C3_05_24",0,0,0,1,1,1.14868867924683e-44
"regulation of protein dephosphorylation2","regulation of protein dephosphorylation","C3_05_24",1,0,1,0.217,1,1.90462927204816e-45
"regulation of cytokinesis2","regulation of cytokinesis","C3_05_24",0,0,0,1,1,1.17164119686708e-46
"regulation of response to oxidative stress2","regulation of response to oxidative stress","C3_05_24",1,0,1,0.222,1,7.21903760679105e-46
"microtubule depolymerization2","microtubule depolymerization","C3_05_24",0,0,0,1,1,4.42860129520361e-48
"cerebral cortex development2","cerebral cortex development","C3_05_24",0,0,0,1,1,1.91095232954815e-41
"ruffle organization2","ruffle organization","C3_05_24",0,0,0,1,1,2.81784910316876e-47
"microvillus assembly2","microvillus assembly","C3_05_24",0,0,0,1,1,1.37874057428767e-52
"suppression of viral release by host2","suppression of viral release by host","C3_05_24",0,0,0,1,1,2.2944951885493e-51
"chaperone-mediated autophagy2","chaperone-mediated autophagy","C3_05_24",0,0,0,1,1,1.32427217151891e-52
"anoikis2","anoikis","C3_05_24",0,0,0,1,1,2.61039081043991e-50
"proton transmembrane transport2","proton transmembrane transport","C3_05_24",0,0,0,1,1,4.44899779808494e-45
"establishment of mitotic spindle localization2","establishment of mitotic spindle localization","C3_05_24",0,0,0,1,1,3.7639368373377e-52
"cellular response to acid chemical2","cellular response to acid chemical","C3_05_24",0,0,0,1,1,1.43408965136596e-41
"response to leukemia inhibitory factor2","response to leukemia inhibitory factor","C3_05_24",1,0,1,0.261,1,1.73642760699525e-45
"viral release from host cell2","viral release from host cell","C3_05_24",0,0,0,1,1,1.8257371243282e-51
"exit from host cell2","exit from host cell","C3_05_24",0,0,0,1,1,1.8257371243282e-51
"neurotransmitter secretion2","neurotransmitter secretion","C3_05_24",0,0,0,1,1,1.06924455450808e-43
"signal release from synapse2","signal release from synapse","C3_05_24",0,0,0,1,1,1.06924455450808e-43
"antigen processing and presentation of endogenous peptide antigen via MHC class I2","antigen processing and presentation of endogenous peptide antigen via MHC class I","C3_05_24",0,0,0,1,1,2.36205847295094e-52
"cellular response to dsRNA2","cellular response to dsRNA","C3_05_24",0,0,0,1,1,1.15267229696107e-51
"cellular response to heat2","cellular response to heat","C3_05_24",0,0,0,1,1,1.43562140096506e-47
"body morphogenesis2","body morphogenesis","C3_05_24",0,0,0,1,1,9.15076914446739e-47
"sulfur amino acid metabolic process2","sulfur amino acid metabolic process","C3_05_24",0,0,0,1,1,5.94242570082139e-51
"response to fluid shear stress2","response to fluid shear stress","C3_05_24",0,0,0,1,1,1.02626666747212e-48
"cellular response to leukemia inhibitory factor2","cellular response to leukemia inhibitory factor","C3_05_24",1,0,1,0.249,1,3.03683307139551e-45
"regulation of type I interferon-mediated signaling pathway2","regulation of type I interferon-mediated signaling pathway","C3_05_24",0,0,0,1,1,3.06794934609561e-50
"ribosomal subunit export from nucleus2","ribosomal subunit export from nucleus","C3_05_24",0,0,0,1,1,1.28082003115549e-52
"ribosome localization2","ribosome localization","C3_05_24",0,0,0,1,1,1.28082003115549e-52
"protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway2","protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway","C3_05_24",0,0,0,1,1,5.19495216690235e-53
"actin filament severing2","actin filament severing","C3_05_24",0,0,0,1,1,1.18432677242239e-51
"seminiferous tubule development2","seminiferous tubule development","C3_05_24",0,0,0,1,1,1.28082003115549e-52
"lamellipodium assembly2","lamellipodium assembly","C3_05_24",0,0,0,1,1,5.72951960980809e-47
"positive regulation of protein autophosphorylation2","positive regulation of protein autophosphorylation","C3_05_24",0,0,0,1,1,7.3512376534493e-50
"RIG-I signaling pathway2","RIG-I signaling pathway","C3_05_24",0,0,0,1,1,1.8257371243282e-51
"cellular modified amino acid biosynthetic process2","cellular modified amino acid biosynthetic process","C3_05_24",0,0,0,1,1,1.26579386798918e-52
"spindle localization2","spindle localization","C3_05_24",0,0,0,1,1,6.62344855083793e-50
"trabecula morphogenesis2","trabecula morphogenesis","C3_05_24",0,0,0,1,1,8.49395025875857e-46
"branched-chain amino acid catabolic process2","branched-chain amino acid catabolic process","C3_05_24",0,0,0,1,1,9.25094241982406e-53
"diol biosynthetic process2","diol biosynthetic process","C3_05_24",0,0,0,1,1,1.42646234722214e-52
