"","region","sample","obs.mut","sim.mut","log2fc","pvalue","pvalue.adj","sim.distr.norm.pvalue.adj"
"Cardiac muscle contraction5","Cardiac muscle contraction","E1_08_16",2,1,0.584962500721156,0.682,1,6.42421740641739e-30
"Nicotinate and nicotinamide metabolism5","Nicotinate and nicotinamide metabolism","E1_08_16",1,0,1,0.415,1,1.0762039515863e-38
"Aldosterone-regulated sodium reabsorption5","Aldosterone-regulated sodium reabsorption","E1_08_16",1,0,1,0.432,1,2.62863154890721e-37
"Neutrophil extracellular trap formation5","Neutrophil extracellular trap formation","E1_08_16",1,2,-0.584962500721156,0.374,1,2.77701230989772e-24
"Th1 and Th2 cell differentiation5","Th1 and Th2 cell differentiation","E1_08_16",1,1,0,1,1,1.41913907631333e-28
"NOD-like receptor signaling pathway5","NOD-like receptor signaling pathway","E1_08_16",0,2,-1.58496250072116,0.019,0.339,4.56807143401375e-21
"Cortisol synthesis and secretion5","Cortisol synthesis and secretion","E1_08_16",0,1,-1,0.549,1,1.68245298003475e-34
"GnRH secretion5","GnRH secretion","E1_08_16",0,1,-1,0.564,1,2.87196407431957e-35
"Vascular smooth muscle contraction5","Vascular smooth muscle contraction","E1_08_16",1,2,-0.584962500721156,0.362,1,1.18898671497783e-26
"Estrogen signaling pathway5","Estrogen signaling pathway","E1_08_16",1,2,-0.584962500721156,0.356,1,5.15226291136507e-25
"RIG-I-like receptor signaling pathway5","RIG-I-like receptor signaling pathway","E1_08_16",0,1,-1,0.521,1,6.61290195339053e-33
"Amoebiasis5","Amoebiasis","E1_08_16",2,1,0.584962500721156,0.739,1,3.15173479218406e-29
"ECM-receptor interaction5","ECM-receptor interaction","E1_08_16",1,1,0,1,1,1.11845998438175e-29
"Renin secretion5","Renin secretion","E1_08_16",1,1,0,1,1,2.79073419175166e-34
"Collecting duct acid secretion5","Collecting duct acid secretion","E1_08_16",0,0,0,1,1,3.27149200783747e-43
"Viral myocarditis5","Viral myocarditis","E1_08_16",0,1,-1,0.536,1,5.34405036785914e-33
"B cell receptor signaling pathway5","B cell receptor signaling pathway","E1_08_16",0,1,-1,0.498,1,1.37965527233112e-32
"Glutamatergic synapse5","Glutamatergic synapse","E1_08_16",0,1,-1,0.473,1,4.25409268311271e-30
"Cytosolic DNA-sensing pathway5","Cytosolic DNA-sensing pathway","E1_08_16",1,1,0,1,1,6.25806571243309e-31
"Glycosphingolipid biosynthesis - globo and isoglobo series5","Glycosphingolipid biosynthesis - globo and isoglobo series","E1_08_16",0,0,0,1,1,2.84710727974765e-48
"Galactose metabolism5","Galactose metabolism","E1_08_16",0,0,0,1,1,7.53755081862302e-41
"Arginine biosynthesis5","Arginine biosynthesis","E1_08_16",0,0,0,1,1,6.76641014542931e-44
"Toll-like receptor signaling pathway5","Toll-like receptor signaling pathway","E1_08_16",1,1,0,1,1,1.25347044511726e-30
"Thiamine metabolism5","Thiamine metabolism","E1_08_16",0,0,0,1,1,5.75203637184736e-50
"Circadian entrainment5","Circadian entrainment","E1_08_16",0,1,-1,0.557,1,7.95338901119937e-35
"Morphine addiction5","Morphine addiction","E1_08_16",2,1,0.584962500721156,0.709,1,6.97857295026131e-33
"Ether lipid metabolism5","Ether lipid metabolism","E1_08_16",2,0,1.58496250072116,0.168,1,1.21777985857638e-38
"Ribosome biogenesis in eukaryotes5","Ribosome biogenesis in eukaryotes","E1_08_16",1,2,-0.584962500721156,0.364,1,3.51337780020037e-25
"Synaptic vesicle cycle5","Synaptic vesicle cycle","E1_08_16",0,0,0,1,1,2.68878754030116e-38
"Tryptophan metabolism5","Tryptophan metabolism","E1_08_16",0,0,0,1,1,1.00304708595432e-37
"Proximal tubule bicarbonate reclamation5","Proximal tubule bicarbonate reclamation","E1_08_16",1,0,1,0.331,1,4.75339503925939e-41
"Chemical carcinogenesis - receptor activation5","Chemical carcinogenesis - receptor activation","E1_08_16",3,2,0.415037499278844,0.796,1,3.77620964889276e-21
"Leishmaniasis5","Leishmaniasis","E1_08_16",0,1,-1,0.552,1,1.10906751435664e-33
"Glycosphingolipid biosynthesis - lacto and neolacto series5","Glycosphingolipid biosynthesis - lacto and neolacto series","E1_08_16",0,0,0,1,1,3.59683928712302e-42
"Amphetamine addiction5","Amphetamine addiction","E1_08_16",1,1,0,1,1,1.25004536277563e-35
"Thyroid hormone synthesis5","Thyroid hormone synthesis","E1_08_16",1,1,0,1,1,1.18626733609356e-31
"Butanoate metabolism5","Butanoate metabolism","E1_08_16",0,0,0,1,1,1.79086768566585e-40
"ABC transporters5","ABC transporters","E1_08_16",0,0,0,1,1,1.99523728656296e-38
"Antigen processing and presentation5","Antigen processing and presentation","E1_08_16",3,1,1,0.587,1,1.11220377214921e-35
"Ovarian steroidogenesis5","Ovarian steroidogenesis","E1_08_16",0,1,-1,0.533,1,3.40713498996102e-32
"Rheumatoid arthritis5","Rheumatoid arthritis","E1_08_16",0,1,-1,0.499,1,1.74333245478996e-30
"IL-17 signaling pathway5","IL-17 signaling pathway","E1_08_16",0,1,-1,0.483,1,8.63608184052079e-30
"Renin-angiotensin system5","Renin-angiotensin system","E1_08_16",0,0,0,1,1,9.36297466699685e-48
"Nitrogen metabolism5","Nitrogen metabolism","E1_08_16",0,0,0,1,1,1.23440972215941e-48
"Tuberculosis5","Tuberculosis","E1_08_16",1,2,-0.584962500721156,0.35,1,1.47117666822376e-23
"Drug metabolism - other enzymes5","Drug metabolism - other enzymes","E1_08_16",0,1,-1,0.542,1,8.45569382452201e-31
"Glycolysis / Gluconeogenesis5","Glycolysis / Gluconeogenesis","E1_08_16",0,1,-1,0.529,1,5.39572359210032e-33
"Gastric acid secretion5","Gastric acid secretion","E1_08_16",0,1,-1,0.516,1,8.42650687203913e-30
"Cholesterol metabolism5","Cholesterol metabolism","E1_08_16",0,0,0,1,1,1.29560929716865e-40
"African trypanosomiasis5","African trypanosomiasis","E1_08_16",0,0,0,1,1,2.92225250666869e-43
"GABAergic synapse5","GABAergic synapse","E1_08_16",1,1,0,1,1,1.49588806240024e-28
"Chemokine signaling pathway5","Chemokine signaling pathway","E1_08_16",0,2,-1.58496250072116,0.018,0.339,2.62425473050317e-23
"Insulin secretion5","Insulin secretion","E1_08_16",3,1,1,0.544,1,1.10727051053524e-34
"Cocaine addiction5","Cocaine addiction","E1_08_16",0,0,0,1,1,1.74787302807827e-37
"Mineral absorption5","Mineral absorption","E1_08_16",2,1,0.584962500721156,0.725,1,6.61761130513491e-34
"Histidine metabolism5","Histidine metabolism","E1_08_16",0,0,0,1,1,1.13136167457717e-46
"Vitamin digestion and absorption5","Vitamin digestion and absorption","E1_08_16",0,0,0,1,1,8.58275958919188e-44
"Systemic lupus erythematosus5","Systemic lupus erythematosus","E1_08_16",0,1,-1,0.499,1,2.30060606609193e-32
"Phenylalanine metabolism5","Phenylalanine metabolism","E1_08_16",1,0,1,0.12,1,2.84710727974765e-48
"Taurine and hypotaurine metabolism5","Taurine and hypotaurine metabolism","E1_08_16",0,0,0,1,1,2.67632470293673e-45
"Starch and sucrose metabolism5","Starch and sucrose metabolism","E1_08_16",0,0,0,1,1,8.41089647089045e-42
"cAMP signaling pathway5","cAMP signaling pathway","E1_08_16",5,3,0.584962500721156,0.451,1,1.06843193708376e-19
"Protein digestion and absorption5","Protein digestion and absorption","E1_08_16",1,1,0,1,1,1.31883114273609e-29
"Primary bile acid biosynthesis5","Primary bile acid biosynthesis","E1_08_16",0,0,0,1,1,8.60143130721475e-50
"Calcium signaling pathway5","Calcium signaling pathway","E1_08_16",3,3,0,1,1,1.7146791883458e-19
"Porphyrin metabolism5","Porphyrin metabolism","E1_08_16",0,0,0,1,1,4.94456155292923e-42
"Malaria5","Malaria","E1_08_16",0,0,0,1,1,5.96860407327621e-38
"alpha-Linolenic acid metabolism5","alpha-Linolenic acid metabolism","E1_08_16",0,0,0,1,1,2.16293051245827e-47
"Cell adhesion molecules5","Cell adhesion molecules","E1_08_16",2,2,0,1,1,3.74788477803909e-26
"Carbohydrate digestion and absorption5","Carbohydrate digestion and absorption","E1_08_16",1,0,1,0.389,1,6.30589386209772e-39
"Serotonergic synapse5","Serotonergic synapse","E1_08_16",2,1,0.584962500721156,0.687,1,9.85136081864942e-33
"JAK-STAT signaling pathway5","JAK-STAT signaling pathway","E1_08_16",2,2,0,1,1,2.26852006065365e-24
"Type I diabetes mellitus5","Type I diabetes mellitus","E1_08_16",0,0,0,1,1,4.71354178290523e-44
"Arachidonic acid metabolism5","Arachidonic acid metabolism","E1_08_16",0,0,0,1,1,3.85037456451418e-37
"Salivary secretion5","Salivary secretion","E1_08_16",0,1,-1,0.486,1,6.183837761552e-31
"Inflammatory bowel disease5","Inflammatory bowel disease","E1_08_16",0,0,0,1,1,2.23810592793318e-38
