"","region","sample","obs.mut","sim.mut","log2fc","pvalue","pvalue.adj","sim.distr.norm.pvalue.adj"
"Gap junction","Gap junction","C1_05_24",0,0,0,1,1,1.46722832014006e-42
"Vasopressin-regulated water reabsorption","Vasopressin-regulated water reabsorption","C1_05_24",0,0,0,1,1,5.05082444966745e-48
"Progesterone-mediated oocyte maturation","Progesterone-mediated oocyte maturation","C1_05_24",0,0,0,1,1,1.04708765039427e-44
"Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate","C1_05_24",0,0,0,1,1,7.17214138737173e-52
"T cell receptor signaling pathway","T cell receptor signaling pathway","C1_05_24",0,0,0,1,1,5.30222843331587e-44
"Oocyte meiosis","Oocyte meiosis","C1_05_24",0,0,0,1,1,2.05165699219617e-43
"Phospholipase D signaling pathway","Phospholipase D signaling pathway","C1_05_24",1,0,1,0.415,1,3.39869879057378e-39
"Acute myeloid leukemia","Acute myeloid leukemia","C1_05_24",0,0,0,1,1,1.39273249803998e-46
"One carbon pool by folate","One carbon pool by folate","C1_05_24",0,0,0,1,1,8.41606430220548e-53
"Propanoate metabolism","Propanoate metabolism","C1_05_24",0,0,0,1,1,5.38605373936388e-52
"Wnt signaling pathway","Wnt signaling pathway","C1_05_24",0,0,0,1,1,1.24278366674252e-36
"Breast cancer","Breast cancer","C1_05_24",2,0,1.58496250072116,0.154,1,2.49286201582561e-39
"Adipocytokine signaling pathway","Adipocytokine signaling pathway","C1_05_24",1,0,1,0.222,1,2.58098332411354e-45
"Central carbon metabolism in cancer","Central carbon metabolism in cancer","C1_05_24",0,0,0,1,1,4.44658610778561e-45
"Glyoxylate and dicarboxylate metabolism","Glyoxylate and dicarboxylate metabolism","C1_05_24",0,0,0,1,1,3.38196231150328e-51
"Relaxin signaling pathway","Relaxin signaling pathway","C1_05_24",0,0,0,1,1,7.07531085170866e-40
"Ferroptosis","Ferroptosis","C1_05_24",1,0,1,0.103,1,8.79633243502034e-51
"Sphingolipid metabolism","Sphingolipid metabolism","C1_05_24",1,0,1,0.117,1,7.66356551439578e-50
"Toxoplasmosis","Toxoplasmosis","C1_05_24",0,0,0,1,1,2.74250637470369e-45
"Ras signaling pathway","Ras signaling pathway","C1_05_24",3,1,1,0.593,1,1.18061558421646e-35
"Pyrimidine metabolism","Pyrimidine metabolism","C1_05_24",0,0,0,1,1,2.12885639691386e-49
