"","condition","cycle","region","log2fc.mean.x","log2fc.sd","obs.mut.sum","obs.mut.mean","obs.mut.sd","obs.mut.cv","sim.mut.sum","sim.mut.mean","p_value","p_adjusted","significant_p_adjusted","go.id","observed.variant.required","observed.variant.requirement.met","log2fc.mean.y","log2fc.norm","log2fc.norm.sd"
"84","control","1","establishment of protein localization to organelle",0,0,3,1,0,0,3,1,1,1,NA,"GO:0072594",747,"FALSE",-0.278833755905707,0.278833755905707,0.397073346477591
"85","control","1","establishment or maintenance of cell polarity",-0.666666666666667,0.577350269189626,0,0,0,NA,2,0.666666666666667,0.8289051039315,1,NA,"GO:0007163",20,"FALSE",-0.528320833573719,-0.138345833092948,0.397073346477591
"86","control","1","establishment or maintenance of epithelial cell apical/basal polarity",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0045197",747,"FALSE",-0.333333333333333,0.333333333333333,0.397073346477591
"87","control","1","ether lipid biosynthetic process",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0008611",747,"FALSE",0,0,0.397073346477591
"88","control","1","exit from host cell",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0035891",747,"FALSE",0.333333333333333,-0.333333333333333,0.397073346477591
"89","control","1","exosomal secretion",0,0,0,0,0,NA,0,0,1,1,NA,"GO:1990182",747,"FALSE",0,0,0.397073346477591
"90","control","1","extracellular matrix assembly",0.333333333333333,0.577350269189626,1,0.333333333333333,0.577350269189626,1.73205080756888,0,0,0.819312220642739,1,NA,"GO:0085029",47,"FALSE",0,0.333333333333333,0.397073346477591
"91","control","1","extracellular vesicle biogenesis",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0140112",747,"FALSE",0,0,0.397073346477591
"92","control","1","face development",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0060324",747,"FALSE",0.333333333333333,-0.333333333333333,0.397073346477591
"93","control","1","fat cell differentiation",-0.333333333333333,0.577350269189626,0,0,0,NA,1,0.333333333333333,0.969179272862669,1,NA,"GO:0045444",47,"FALSE",-0.389975000480771,0.0566416671474373,0.397073346477591
"94","control","1","fatty acid beta-oxidation",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0006635",747,"FALSE",0.333333333333333,-0.333333333333333,0.397073346477591
"95","control","1","fibroblast migration",0.52832083357372,0.915078526446824,2,0.666666666666667,1.15470053837925,1.73205080756888,0,0,0.362228742331523,1,NA,"GO:0010761",26,"FALSE",0.194987500240385,0.333333333333335,0.397073346477591
"96","control","1","fibroblast proliferation",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0048144",747,"FALSE",-0.471679166426281,0.471679166426281,0.397073346477591
"97","control","1","folic acid metabolic process",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0046655",747,"FALSE",0,0,0.397073346477591
"98","control","1","G0 to G1 transition",0.333333333333333,0.577350269189626,1,0.333333333333333,0.577350269189626,1.73205080756888,0,0,0.527845461042201,1,NA,"GO:0045023",47,"FALSE",0.333333333333333,0,0.397073346477591
"99","control","1","glial cell apoptotic process",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0034349",747,"FALSE",0,0,0.397073346477591
"100","control","1","glycerol ether biosynthetic process",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0046504",747,"FALSE",0,0,0.397073346477591
"101","control","1","glycosyl compound biosynthetic process",0,0,0,0,0,NA,0,0,1,1,NA,"GO:1901659",747,"FALSE",0,0,0.397073346477591
"102","control","1","glycosyl compound metabolic process",0,0,0,0,0,NA,0,0,1,1,NA,"GO:1901657",747,"FALSE",0.333333333333333,-0.333333333333333,0.397073346477591
"103","control","1","glycosylation",0.666666666666667,0.577350269189626,2,0.666666666666667,0.577350269189626,0.866025403784439,0,0,0.773582102790747,1,NA,"GO:0070085",20,"FALSE",0.0566416671474373,0.610024999519229,0.397073346477591
"104","control","1","Golgi organization",0.333333333333333,0.577350269189626,1,0.333333333333333,0.577350269189626,1.73205080756888,0,0,0.898111107814197,1,NA,"GO:0007030",47,"FALSE",-0.666666666666667,1,0.397073346477591
"105","control","1","Golgi to plasma membrane protein transport",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0043001",747,"FALSE",0.52832083357372,-0.52832083357372,0.397073346477591
"106","control","1","Golgi vesicle transport",-0.333333333333333,0.577350269189626,1,0.333333333333333,0.577350269189626,1.73205080756888,2,0.666666666666667,0.973540127356124,1,NA,"GO:0048193",47,"FALSE",-0.559357301704214,0.226023968370881,0.397073346477591
"107","control","1","GPI anchor biosynthetic process",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0006506",747,"FALSE",0,0,0.397073346477591
"108","control","1","heart valve development",0.333333333333333,0.577350269189626,1,0.333333333333333,0.577350269189626,1.73205080756888,0,0,0.779487079099365,1,NA,"GO:0003170",47,"FALSE",-0.138345833092948,0.471679166426281,0.397073346477591
"109","control","1","heme metabolic process",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0042168",747,"FALSE",0.333333333333333,-0.333333333333333,0.397073346477591
"110","control","1","heterochromatin formation",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0031507",747,"FALSE",-0.471679166426281,0.471679166426281,0.397073346477591
"111","control","1","heterocycle catabolic process",-0.666666666666667,0.577350269189626,1,0.333333333333333,0.577350269189626,1.73205080756888,3,1,0.788640401242183,1,NA,"GO:0046700",20,"FALSE",-0.881285396591576,0.214618729924909,0.397073346477591
