CTL_A ENU_A CTL_B ENU_B CTL_C ENU_C
ENSG00000015171 1851 1396 2156 1447 1608 2048
ENSG00000015413 2 4 4 9 0 1
ENSG00000015475 1208 903 1394 867 791 965
ENSG00000015479 3900 2836 4508 3078 4799 6408
ENSG00000015532 1542 1323 1922 1403 1257 1512
ENSG00000015676 1240 1044 1466 1129 1104 1426
ENSG00000016864 1761 1335 2078 1714 1375 1903
ENSG00000017260 3494 2781 4127 2940 2525 3643
ENSG00000017483 403 346 469 285 174 444
ENSG00000017621 17 7 8 18 3 8
ENSG00000017797 2754 2173 3615 2900 2072 2806
ENSG00000018189 409 346 490 401 529 643
ENSG00000018236 8 11 7 9 11 18
ENSG00000018408 1270 1148 1272 884 1109 1394
ENSG00000018510 533 489 576 422 669 935
ENSG00000018610 242 185 314 228 271 358
ENSG00000018625 32 36 47 68 12 31
ENSG00000018699 211 194 287 163 305 395
ENSG00000018869 24 15 20 18 21 19
ENSG00000019144 2797 2196 2955 1752 3565 4695
ENSG00000019485 23 32 32 12 48 51
ENSG00000019549 971 760 1167 912 887 1001
ENSG00000019582 14 9 15 5 5 14
ENSG00000019991 7725 5777 8972 6282 6721 11469
ENSG00000019995 1529 1267 1868 1444 1113 1634
ENSG00000020129 573 540 615 488 618 695
ENSG00000020181 6343 4684 6965 4541 4568 5985
ENSG00000020256 258 244 306 283 268 315
ENSG00000020426 453 370 554 336 503 635
ENSG00000020577 2522 2032 3292 2135 1422 2128
ENSG00000020633 64 59 72 51 37 91
ENSG00000020922 216 153 188 152 229 359
ENSG00000021300 11 8 12 7 5 6
ENSG00000021355 961 809 1464 1051 654 917
ENSG00000021574 384 274 380 288 310 403
ENSG00000021645 43 79 66 71 434 401
ENSG00000021762 1300 1113 1711 1229 899 1238
ENSG00000021776 600 501 789 572 653 1071
ENSG00000021826 250 241 365 262 252 387
ENSG00000022267 2508 1760 3090 2248 1375 2123
ENSG00000022277 1878 1669 2580 1990 1998 2490
ENSG00000022567 78 78 88 70 146 165
ENSG00000022840 2758 2397 3443 2393 2118 2783
ENSG00000022976 186 128 191 112 195 216
ENSG00000023041 267 239 291 216 280 417
ENSG00000023171 271 202 363 260 112 157
ENSG00000023191 3333 2850 4611 3019 2776 3337
ENSG00000023228 1317 1075 1696 1074 1413 2046
ENSG00000023287 3223 2370 3627 2933 2037 2753
ENSG00000023318 863 756 952 753 851 1205
ENSG00000023330 800 619 1207 871 570 737
ENSG00000023445 347 207 490 229 66 124
ENSG00000023516 952 821 1021 786 1137 1477
ENSG00000023572 83 49 85 44 146 162
ENSG00000023608 220 154 246 214 228 288
ENSG00000023697 471 405 615 348 541 696
ENSG00000023734 1593 1242 1940 1160 1727 2119
ENSG00000023892 40 36 69 43 18 33
ENSG00000023902 1527 1206 2150 1668 1384 1817
ENSG00000023909 435 346 410 235 619 768
ENSG00000024048 1013 833 1321 1025 860 1205
ENSG00000024422 13823 10830 16216 11226 14422 17430
ENSG00000024526 145 177 224 114 212 487
ENSG00000024862 73 67 92 82 131 152
ENSG00000025156 242 216 342 220 191 296
ENSG00000025293 1570 1181 2051 1432 1012 1449
ENSG00000025423 37 16 78 19 129 180
ENSG00000025434 110 112 165 131 122 142
ENSG00000025708 134 121 185 123 72 123
ENSG00000025770 395 353 562 322 355 411
ENSG00000025772 481 395 535 388 471 555
ENSG00000025796 1906 1565 1964 1542 2475 3502
ENSG00000025800 2380 1882 2956 2112 1858 2177
