CTL_A ENU_A CTL_B ENU_B CTL_C ENU_C
ENSG00000122035 13 9 15 14 11 9
ENSG00000122042 43 49 38 42 36 34
ENSG00000122068 47 42 47 45 48 52
ENSG00000122085 11 13 11 11 16 16
ENSG00000122126 49 45 46 48 46 48
ENSG00000122140 51 63 58 64 40 44
ENSG00000122176 1 1 0 0 2 1
ENSG00000122203 225 208 237 210 163 152
ENSG00000122218 162 166 169 185 192 202
ENSG00000122257 29 29 32 36 31 35
ENSG00000122299 55 56 57 60 58 69
ENSG00000122335 7 8 8 9 9 9
ENSG00000122359 82 74 102 91 98 100
ENSG00000122367 1 1 1 1 2 2
ENSG00000122376 26 20 25 23 22 25
ENSG00000122378 1 1 1 0 0 1
ENSG00000122386 15 14 17 20 16 13
ENSG00000122390 35 33 33 29 34 28
ENSG00000122406 1495 1512 1490 1630 1665 1488
ENSG00000122417 4 5 4 3 8 10
ENSG00000122420 4 7 4 9 6 8
ENSG00000122435 5 6 6 5 10 10
ENSG00000122481 26 24 21 25 34 37
ENSG00000122482 18 17 18 20 21 22
ENSG00000122483 1 1 1 1 3 5
ENSG00000122484 1 1 1 1 2 2
ENSG00000122490 56 53 71 72 55 53
ENSG00000122497 21 22 22 22 27 33
ENSG00000122507 15 16 18 18 16 16
ENSG00000122512 4 4 3 3 6 6
ENSG00000122515 44 39 45 40 36 37
ENSG00000122545 109 104 110 108 132 151
ENSG00000122547 13 12 12 14 14 11
ENSG00000122550 24 23 24 27 22 27
ENSG00000122557 48 49 54 57 33 38
ENSG00000122565 166 149 165 155 216 228
ENSG00000122566 148 139 158 127 295 332
ENSG00000122591 43 38 50 40 32 36
ENSG00000122592 3 2 2 2 2 3
ENSG00000122641 33 39 24 22 84 80
ENSG00000122642 491 497 484 472 393 405
ENSG00000122643 27 29 30 31 32 39
ENSG00000122644 6 9 6 6 18 20
ENSG00000122674 9 9 10 8 11 10
ENSG00000122678 9 8 9 11 9 9
ENSG00000122687 20 21 17 16 28 28
ENSG00000122691 40 46 49 43 58 55
ENSG00000122692 18 19 22 20 26 28
ENSG00000122694 102 77 96 60 81 96
ENSG00000122696 12 14 16 17 15 13
ENSG00000122705 225 215 218 227 228 235
ENSG00000122707 202 214 214 224 138 163
ENSG00000122729 224 199 241 202 222 213
ENSG00000122741 24 23 26 32 15 17
ENSG00000122778 3 2 2 1 5 4
ENSG00000122779 4 5 5 5 5 5
ENSG00000122783 22 21 24 18 26 27
ENSG00000122786 679 655 745 600 910 1021
ENSG00000122824 1 0 1 1 1 1
ENSG00000122861 431 348 334 244 654 728
ENSG00000122862 415 527 370 497 141 207
ENSG00000122863 9 8 8 7 17 17
ENSG00000122870 39 38 37 38 52 51
ENSG00000122873 12 15 14 14 19 18
ENSG00000122877 3 2 1 0 3 2
ENSG00000122882 32 25 29 28 36 39
ENSG00000122884 607 573 530 568 612 675
ENSG00000122912 4 5 4 3 4 5
ENSG00000122952 9 10 10 5 21 28
ENSG00000122958 40 38 39 39 42 46
ENSG00000122965 17 15 18 17 25 26
ENSG00000122966 5 5 5 6 6 8
ENSG00000122970 21 16 19 15 26 30
ENSG00000122971 19 17 16 21 10 13
ENSG00000122986 7 5 9 7 1 1
ENSG00000123064 29 26 27 26 43 44
ENSG00000123066 19 21 19 19 21 24
ENSG00000123080 15 15 20 22 13 20
ENSG00000123091 111 118 110 119 89 80
ENSG00000123094 44 36 34 41 33 35
ENSG00000123095 1 2 0 1 2 0
ENSG00000123096 6 6 3 4 7 7
ENSG00000123104 7 6 7 6 5 6
ENSG00000123106 15 13 13 15 26 30
ENSG00000123119 3 2 3 4 2 2
ENSG00000123124 24 24 24 26 18 20
ENSG00000123130 37 41 44 39 45 49
ENSG00000123131 457 450 378 451 461 494
ENSG00000123136 33 31 29 25 49 54
ENSG00000123143 208 208 239 292 125 127
ENSG00000123144 279 279 268 271 396 350
ENSG00000123146 42 38 47 53 21 31
ENSG00000123154 19 16 14 18 13 15
ENSG00000123159 179 177 180 155 174 162
ENSG00000123178 21 18 19 18 24 22
ENSG00000123179 184 175 211 223 99 105
ENSG00000123191 5 5 7 5 3 4
ENSG00000123200 29 30 33 32 42 45
ENSG00000123213 13 14 12 14 19 20
ENSG00000123219 10 10 10 7 9 15
ENSG00000123240 228 206 245 275 155 171
ENSG00000123268 32 33 36 40 29 30
ENSG00000123297 19 19 21 16 26 25
ENSG00000123342 23 19 22 20 26 32
ENSG00000123349 211 207 202 220 180 185
ENSG00000123352 76 82 78 82 59 61
ENSG00000123353 31 36 35 31 33 37
ENSG00000123358 8 14 6 13 34 21
ENSG00000123374 99 99 108 113 64 79
ENSG00000123384 318 380 291 310 383 407
ENSG00000123395 76 76 70 71 119 107
ENSG00000123411 6 6 8 8 6 7
ENSG00000123415 16 15 18 16 21 18
ENSG00000123416 932 919 951 795 982 1088
ENSG00000123427 13 9 10 11 13 12
ENSG00000123444 16 14 16 19 18 17
ENSG00000123453 3 4 5 4 9 10
ENSG00000123472 32 32 35 37 26 28
ENSG00000123473 3 3 4 3 4 6
ENSG00000123485 9 11 12 10 11 19
ENSG00000123496 1 1 0 2 1 1
ENSG00000123505 28 26 30 23 26 29
ENSG00000123545 8 5 8 5 10 8
ENSG00000123552 5 5 6 6 8 8
ENSG00000123562 408 381 403 373 553 594
ENSG00000123572 0 0 0 0 0 1
ENSG00000123575 17 17 18 16 18 19
ENSG00000123595 28 30 33 34 28 25
ENSG00000123600 2 2 2 2 2 3
ENSG00000123607 4 4 4 4 4 5
ENSG00000123609 5 5 4 5 16 18
ENSG00000123636 12 12 12 12 13 14
ENSG00000123643 14 14 12 11 15 17
ENSG00000123684 20 23 20 20 27 32
ENSG00000123685 2 1 2 2 3 4
ENSG00000123689 0 0 0 0 0 0
ENSG00000123700 3 3 2 3 3 5
ENSG00000123728 33 29 29 27 30 31
ENSG00000123737 14 17 18 15 23 27
ENSG00000123739 11 12 10 15 12 11
ENSG00000123810 7 7 7 9 9 10
ENSG00000123815 7 8 9 8 12 13
ENSG00000123836 0 1 0 0 1 1
ENSG00000123870 2 3 3 2 2 2
ENSG00000123892 9 8 8 7 6 7
ENSG00000123908 6 7 6 7 4 5
ENSG00000123933 95 104 99 97 79 67
ENSG00000123965 5 5 5 2 7 8
ENSG00000123975 67 61 65 74 72 81
ENSG00000123977 1 2 1 1 2 1
ENSG00000123983 39 34 44 41 47 55
ENSG00000123989 151 176 135 159 203 164
ENSG00000123992 59 63 57 70 41 44
ENSG00000124006 28 28 27 26 39 37
ENSG00000124067 135 129 138 128 118 125
ENSG00000124074 15 17 10 18 11 11
ENSG00000124098 34 42 34 32 50 52
ENSG00000124104 38 34 43 36 25 30
ENSG00000124116 18 18 19 9 9 9
ENSG00000124120 13 15 14 12 19 20
ENSG00000124126 0 0 0 0 0 1
ENSG00000124134 7 5 6 7 1 1
ENSG00000124145 663 673 618 543 663 748
ENSG00000124151 33 31 37 38 27 30
ENSG00000124155 103 99 103 105 82 88
ENSG00000124160 13 15 15 10 22 21
ENSG00000124164 25 28 28 26 25 28
ENSG00000124172 44 47 42 41 61 55
ENSG00000124177 17 19 19 18 20 22
ENSG00000124181 34 36 30 30 40 43
ENSG00000124191 37 33 34 26 34 26
ENSG00000124193 44 44 36 35 85 84
ENSG00000124198 18 18 18 18 18 19
ENSG00000124201 35 32 41 36 33 35
ENSG00000124207 61 60 60 54 72 83
ENSG00000124208 0 11 3 14 2 0
ENSG00000124209 13 13 11 14 17 14
ENSG00000124212 275 244 248 246 82 110
ENSG00000124214 126 116 128 135 120 121
ENSG00000124216 8 9 6 8 9 7
ENSG00000124217 3 4 3 2 4 4
ENSG00000124222 74 72 75 74 95 110
ENSG00000124224 12 10 11 12 11 10
ENSG00000124225 11 13 12 9 10 9
ENSG00000124226 59 59 58 59 67 66
ENSG00000124228 22 22 22 24 33 35
ENSG00000124243 30 39 39 36 26 35
ENSG00000124257 4 5 6 6 4 5
ENSG00000124275 18 18 19 20 23 24
ENSG00000124279 6 6 4 4 6 9
ENSG00000124299 63 64 71 69 71 63
ENSG00000124313 13 12 10 12 14 14
ENSG00000124333 86 86 81 93 75 80
ENSG00000124356 13 13 15 15 15 14
ENSG00000124357 38 42 38 40 55 56
ENSG00000124370 28 31 25 35 21 22
ENSG00000124380 68 59 66 66 59 66
ENSG00000124383 20 21 17 21 40 39
ENSG00000124422 148 152 151 145 181 178
ENSG00000124444 10 11 10 10 10 7
ENSG00000124459 9 8 9 8 7 9
ENSG00000124466 1 0 1 2 1 0
ENSG00000124486 53 54 53 56 60 68
ENSG00000124496 15 15 14 15 17 20
ENSG00000124508 15 14 17 15 11 15
ENSG00000124523 3 4 5 5 5 4
ENSG00000124532 24 24 28 25 20 22
ENSG00000124535 53 59 56 64 52 52
ENSG00000124541 42 46 46 38 77 76
ENSG00000124549 7 6 7 4 10 10
ENSG00000124562 144 127 145 148 156 142
ENSG00000124570 73 75 74 77 76 78
ENSG00000124571 13 12 14 11 24 25
ENSG00000124574 16 18 17 16 21 23
ENSG00000124587 50 49 55 62 29 28
ENSG00000124588 37 39 39 42 39 38
ENSG00000124593 8 7 7 7 9 9
ENSG00000124596 8 7 8 13 9 10
ENSG00000124608 7 8 7 8 7 7
ENSG00000124614 1070 1128 1092 1168 688 610
ENSG00000124615 19 18 20 21 14 16
ENSG00000124635 1 1 1 0 2 2
ENSG00000124641 22 24 21 16 36 35
ENSG00000124659 33 32 33 35 48 44
ENSG00000124678 0 1 1 1 0 0
ENSG00000124688 35 36 35 30 33 28
ENSG00000124702 70 73 71 69 104 102
ENSG00000124731 3 2 1 1 0 1
ENSG00000124733 31 36 30 27 59 45
ENSG00000124762 2758 2783 2955 3138 1382 1070
ENSG00000124766 50 47 44 34 74 56
ENSG00000124767 116 122 116 118 131 141
ENSG00000124782 12 12 10 10 13 11
ENSG00000124783 66 63 64 61 78 84
ENSG00000124784 21 18 18 23 28 28
ENSG00000124786 20 21 17 21 19 22
ENSG00000124787 4 3 4 1 10 8
ENSG00000124788 13 12 11 12 16 17
ENSG00000124789 36 34 35 36 32 36
ENSG00000124795 158 153 198 204 94 118
ENSG00000124802 21 17 18 17 33 29
ENSG00000124813 7 8 7 10 6 9
ENSG00000124831 80 78 89 82 106 124
ENSG00000124882 9 11 8 12 1 2
ENSG00000124920 9 7 7 6 14 10
ENSG00000124942 291 343 313 343 418 490
ENSG00000125037 64 70 71 83 57 67
ENSG00000125107 82 84 98 97 60 70
ENSG00000125122 4 2 3 2 3 3
ENSG00000125124 17 15 16 20 13 13
ENSG00000125148 446 530 317 354 519 389
ENSG00000125149 17 14 16 17 11 14
ENSG00000125166 98 92 100 92 123 117
ENSG00000125170 27 27 30 33 28 27
ENSG00000125247 34 29 36 34 10 18
ENSG00000125249 22 20 18 20 24 25
ENSG00000125257 75 68 91 78 63 80
ENSG00000125266 3 3 2 1 9 10
ENSG00000125304 77 85 79 76 97 108
ENSG00000125319 1 1 2 2 2 2
ENSG00000125347 12 13 14 11 12 14
ENSG00000125351 12 11 11 8 16 20
ENSG00000125352 15 18 16 15 27 24
ENSG00000125354 9 6 9 8 21 22
ENSG00000125356 118 109 98 102 191 175
ENSG00000125375 3 4 4 3 5 5
ENSG00000125378 39 36 35 32 106 153
ENSG00000125384 65 68 67 84 98 100
ENSG00000125386 17 18 20 19 20 22
ENSG00000125388 3 3 3 4 4 3
ENSG00000125398 8 10 4 5 16 13
ENSG00000125430 30 30 37 32 15 21
ENSG00000125434 1 3 2 2 4 4
ENSG00000125445 43 45 41 37 57 57
ENSG00000125447 24 20 25 21 21 23
ENSG00000125449 9 10 10 8 10 10
ENSG00000125450 26 31 27 26 26 29
ENSG00000125454 7 7 7 7 4 4
ENSG00000125457 6 5 7 6 6 5
ENSG00000125458 34 43 38 28 61 66
ENSG00000125459 13 10 12 11 18 17
ENSG00000125482 10 10 11 10 13 13
ENSG00000125484 10 10 10 9 10 11
ENSG00000125485 4 6 5 4 8 9
ENSG00000125503 78 80 90 85 75 68
ENSG00000125505 197 217 208 233 169 159
ENSG00000125510 4 4 2 4 2 2
ENSG00000125520 128 119 149 145 89 80
ENSG00000125531 2 1 3 3 0 1
ENSG00000125534 530 569 532 571 337 259
ENSG00000125538 23 16 8 7 42 11
ENSG00000125611 8 9 8 10 8 8
ENSG00000125618 1 1 1 1 4 3
ENSG00000125629 23 19 17 19 15 21
ENSG00000125630 5 4 4 4 6 7
ENSG00000125633 14 16 15 17 14 15
ENSG00000125637 1 1 1 1 0 0
ENSG00000125648 30 26 34 27 30 21
ENSG00000125650 3 3 2 4 1 1
ENSG00000125651 90 98 99 103 112 112
ENSG00000125652 57 63 59 50 44 37
ENSG00000125656 64 60 65 67 58 50
ENSG00000125657 5 8 5 10 1 2
ENSG00000125676 33 34 37 34 42 48
ENSG00000125686 20 20 21 20 21 22
ENSG00000125691 673 626 679 741 503 466
ENSG00000125703 17 15 15 18 9 10
ENSG00000125730 16 18 12 6 10 8
ENSG00000125733 141 136 161 157 135 148
ENSG00000125734 52 57 60 62 60 54
ENSG00000125740 12 8 5 4 56 22
ENSG00000125741 8 7 8 7 8 7
ENSG00000125743 321 375 372 354 399 345
ENSG00000125744 18 20 24 25 22 21
ENSG00000125746 39 38 41 41 35 31
ENSG00000125753 103 98 96 69 188 194
ENSG00000125755 40 38 42 40 45 49
ENSG00000125772 8 9 6 12 44 36
ENSG00000125775 4 6 7 10 1 2
ENSG00000125779 7 8 6 7 10 10
ENSG00000125812 13 13 12 12 9 10
ENSG00000125814 4 6 5 7 9 9
ENSG00000125817 70 82 70 71 89 77
ENSG00000125818 35 31 35 37 33 34
ENSG00000125821 18 18 18 19 29 30
ENSG00000125826 86 90 93 93 80 79
ENSG00000125827 16 14 17 17 22 23
ENSG00000125834 26 27 25 27 20 21
ENSG00000125835 76 79 86 67 92 94
ENSG00000125841 70 71 78 73 78 77
ENSG00000125843 6 5 6 5 7 6
ENSG00000125844 313 314 344 359 460 535
ENSG00000125845 47 33 58 46 11 11
ENSG00000125846 9 8 11 12 10 12
ENSG00000125848 0 1 0 0 1 1
ENSG00000125863 9 9 8 8 10 9
ENSG00000125864 3 3 3 2 4 4
ENSG00000125868 391 340 402 383 364 373
ENSG00000125870 50 43 50 50 67 66
ENSG00000125871 18 19 23 16 24 26
ENSG00000125875 44 40 40 43 36 40
ENSG00000125877 57 52 56 43 95 76
ENSG00000125885 4 3 4 3 3 5
ENSG00000125898 4 5 8 6 3 4
ENSG00000125901 23 32 20 22 49 42
ENSG00000125912 84 87 80 69 98 94
ENSG00000125944 41 35 42 32 67 74
ENSG00000125945 9 8 11 10 7 8
ENSG00000125952 27 23 24 24 37 36
ENSG00000125954 19 7 8 12 13 10
ENSG00000125962 5 4 6 5 6 7
ENSG00000125965 6 9 6 7 3 2
ENSG00000125966 2 1 1 2 2 2
ENSG00000125967 26 32 28 32 24 20
ENSG00000125968 18 21 31 35 35 34
ENSG00000125970 102 95 119 92 82 76
ENSG00000125971 286 272 306 270 258 246
ENSG00000125977 95 103 85 92 207 195
ENSG00000125991 240 254 240 273 226 226
ENSG00000125995 124 129 114 102 180 155
ENSG00000126001 7 7 7 7 11 12
ENSG00000126003 11 12 11 11 9 8
ENSG00000126005 93 111 96 98 97 80
ENSG00000126010 2 2 2 2 1 1
ENSG00000126012 95 97 107 100 118 127
ENSG00000126016 5 5 5 5 6 7
ENSG00000126062 66 75 68 73 70 62
ENSG00000126067 40 39 37 35 52 48
ENSG00000126070 5 4 4 4 4 5
ENSG00000126088 62 66 70 64 89 86
ENSG00000126091 14 14 14 18 9 10
ENSG00000126106 3 3 4 5 4 4
ENSG00000126107 48 46 57 55 43 42
ENSG00000126214 31 30 32 29 40 43
ENSG00000126215 5 5 4 4 7 7
ENSG00000126216 21 20 21 21 16 21
ENSG00000126218 79 70 143 150 29 28
ENSG00000126226 59 58 70 79 46 53
ENSG00000126243 9 10 10 11 6 6
ENSG00000126246 2 1 2 1 1 1
ENSG00000126247 787 736 858 839 808 769
ENSG00000126249 7 9 9 7 10 8
ENSG00000126254 119 130 131 123 132 126
ENSG00000126261 84 81 89 98 82 88
ENSG00000126264 1 0 1 1 0 0
ENSG00000126267 220 239 222 224 200 188
ENSG00000126351 25 30 27 33 34 32
ENSG00000126353 1 2 2 3 4 4
ENSG00000126368 20 28 22 38 12 13
ENSG00000126391 26 23 24 17 23 23
ENSG00000126432 295 330 271 282 478 417
ENSG00000126453 16 22 17 15 16 17
ENSG00000126456 49 40 43 45 50 46
ENSG00000126457 234 223 220 207 320 296
ENSG00000126458 378 425 413 439 279 243
ENSG00000126461 71 76 67 65 93 81
ENSG00000126464 12 12 11 12 17 14
ENSG00000126522 25 25 29 26 37 32
ENSG00000126524 118 123 136 134 143 151
ENSG00000126561 15 16 17 21 10 8
ENSG00000126562 5 5 2 2 4 3
ENSG00000126581 31 34 35 34 53 48
ENSG00000126602 80 77 84 96 88 93
ENSG00000126603 30 30 35 32 23 18
ENSG00000126653 33 33 34 37 43 43
ENSG00000126698 160 137 165 150 161 172
ENSG00000126705 20 19 18 20 11 11
ENSG00000126709 50 47 42 49 29 35
ENSG00000126746 35 34 35 40 31 35
ENSG00000126749 3 3 1 2 5 4
ENSG00000126756 106 114 111 108 100 89
ENSG00000126767 61 57 53 55 58 45
ENSG00000126768 54 56 60 55 46 38
ENSG00000126773 21 20 23 21 16 21
ENSG00000126775 18 16 22 22 14 17
ENSG00000126777 115 106 118 129 137 159
ENSG00000126778 46 38 47 51 32 46
ENSG00000126787 10 12 16 15 20 29
ENSG00000126790 32 27 26 25 41 40
ENSG00000126803 175 130 218 155 71 74
ENSG00000126804 42 43 40 41 35 37
ENSG00000126814 7 7 7 6 10 11
ENSG00000126821 20 19 18 20 21 27
ENSG00000126822 1 1 1 1 3 3
ENSG00000126858 36 38 40 42 33 38
ENSG00000126870 13 13 13 13 16 18
ENSG00000126882 0 0 0 0 1 1
ENSG00000126883 16 19 17 18 20 22
ENSG00000126890 45 45 9 5 47 29
ENSG00000126903 59 58 63 55 45 43
ENSG00000126934 203 198 255 238 132 126
ENSG00000126945 51 51 50 49 103 104
ENSG00000126947 19 21 18 26 25 24
ENSG00000126950 17 18 12 11 8 11
ENSG00000126953 2 2 2 1 4 4
ENSG00000126970 4 4 5 3 6 7
ENSG00000127022 306 304 276 271 458 516
ENSG00000127054 84 74 78 85 84 91
ENSG00000127080 7 10 8 6 9 8
ENSG00000127081 3 3 3 3 3 3
ENSG00000127124 7 7 6 6 3 2
ENSG00000127125 46 47 44 49 33 33
ENSG00000127184 169 175 161 173 158 157
ENSG00000127191 18 19 18 17 14 12
ENSG00000127220 25 27 25 31 21 15
ENSG00000127241 610 582 661 608 241 310
ENSG00000127311 3 3 3 3 2 2
ENSG00000127314 25 24 27 26 27 28
ENSG00000127328 1 1 2 2 1 1
ENSG00000127329 3 3 2 2 2 2
ENSG00000127334 7 7 7 7 7 7
ENSG00000127337 10 11 11 7 13 15
ENSG00000127415 37 39 38 36 31 27
ENSG00000127418 41 48 41 44 38 35
ENSG00000127419 26 25 30 27 28 28
ENSG00000127423 0 1 1 0 0 2
ENSG00000127445 36 35 35 30 49 44
ENSG00000127452 46 47 50 49 36 38
ENSG00000127463 59 66 57 60 84 82
ENSG00000127481 90 92 95 103 77 98
ENSG00000127483 123 119 130 120 121 140
ENSG00000127511 48 47 47 50 49 52
ENSG00000127526 66 63 73 80 55 57
ENSG00000127527 21 22 22 23 27 26
ENSG00000127528 23 22 21 19 18 16
ENSG00000127540 107 115 100 104 99 72
ENSG00000127554 27 26 24 31 28 24
ENSG00000127561 31 28 42 46 14 12
ENSG00000127564 6 7 4 6 8 10
ENSG00000127580 23 26 29 34 14 15
ENSG00000127586 4 3 3 4 6 9
ENSG00000127589 0 0 0 0 1 0
ENSG00000127603 63 60 61 56 70 81
ENSG00000127616 85 72 85 69 102 108
ENSG00000127663 58 57 62 62 48 47
ENSG00000127666 25 23 22 23 18 14
ENSG00000127688 4 7 5 6 5 7
ENSG00000127720 5 4 6 2 7 7
ENSG00000127743 1 0 0 0 1 0
ENSG00000127774 78 79 65 71 86 66
ENSG00000127804 17 16 18 21 15 18
ENSG00000127824 27 22 29 33 10 10
ENSG00000127831 0 0 0 1 0 0
ENSG00000127837 87 85 91 89 104 113
ENSG00000127838 32 32 32 32 29 27
ENSG00000127863 163 147 151 167 134 145
ENSG00000127870 43 45 42 43 51 56
ENSG00000127884 95 99 91 85 162 151
ENSG00000127914 12 12 11 13 18 22
ENSG00000127920 102 112 88 95 116 118
ENSG00000127922 21 25 22 18 57 54
ENSG00000127946 29 26 38 38 24 25
ENSG00000127947 104 100 100 108 90 102
ENSG00000127948 43 41 41 44 50 48
ENSG00000127951 52 25 45 28 9 14
ENSG00000127952 44 42 46 53 33 31
ENSG00000127955 20 18 21 24 21 24
ENSG00000127957 7 14 13 11 18 18
ENSG00000127980 5 7 6 7 10 11
ENSG00000127989 5 5 5 4 4 6
ENSG00000127990 36 35 45 45 25 38
ENSG00000127993 6 5 5 5 6 6
ENSG00000127995 9 9 7 7 9 12
ENSG00000128000 1 1 1 1 3 4
ENSG00000128016 74 72 53 53 68 56
ENSG00000128039 12 12 12 13 8 9
ENSG00000128045 1 1 1 1 2 2
ENSG00000128050 58 51 56 56 64 73
ENSG00000128052 1 1 0 1 1 1
ENSG00000128059 12 10 9 9 11 13
ENSG00000128159 22 24 25 23 31 31
ENSG00000128165 6 5 2 1 25 24
ENSG00000128185 87 94 88 92 123 92
ENSG00000128191 23 26 21 16 33 35
ENSG00000128203 1 1 0 0 1 1
ENSG00000128228 39 37 31 18 54 47
ENSG00000128245 248 246 271 282 228 250
ENSG00000128262 2 1 0 1 2 3
ENSG00000128268 0 1 0 0 4 4
ENSG00000128271 6 6 11 11 1 0
ENSG00000128272 391 428 353 397 586 594
ENSG00000128274 51 52 62 69 36 33
ENSG00000128283 78 80 79 75 82 76
ENSG00000128284 3 3 5 5 3 4
ENSG00000128285 1 1 1 2 1 0
ENSG00000128294 22 19 26 24 12 13
ENSG00000128309 33 32 38 39 18 18
ENSG00000128311 40 38 44 39 37 29
ENSG00000128335 31 32 32 34 39 49
ENSG00000128340 65 77 70 84 25 22
ENSG00000128342 38 36 20 14 149 96
ENSG00000128346 7 8 7 7 4 5
ENSG00000128394 2 3 1 2 2 2
ENSG00000128422 10 13 1 2 0 1
ENSG00000128463 85 90 88 103 113 118
ENSG00000128482 2 2 1 1 4 3
ENSG00000128487 17 17 14 14 34 33
ENSG00000128510 165 195 200 209 148 164
ENSG00000128512 7 7 9 9 8 8
ENSG00000128513 13 15 14 17 13 14
ENSG00000128524 221 205 210 220 238 187
ENSG00000128534 2 3 2 2 4 3
ENSG00000128536 0 1 0 0 1 1
ENSG00000128563 23 22 23 26 31 34
ENSG00000128564 1 0 0 0 1 0
ENSG00000128567 2 3 3 4 2 2
ENSG00000128578 2 2 3 3 1 2
ENSG00000128581 6 6 6 4 7 6
ENSG00000128585 17 18 17 18 17 21
ENSG00000128590 32 30 24 24 25 32
ENSG00000128591 397 384 457 428 510 545
ENSG00000128595 1058 1048 1142 1229 968 1141
ENSG00000128596 4 4 5 5 6 9
ENSG00000128602 2 3 1 1 20 14
ENSG00000128606 646 555 761 535 442 613
ENSG00000128607 21 19 18 19 23 23
ENSG00000128609 18 16 15 18 20 19
ENSG00000128626 53 50 42 47 58 45
ENSG00000128641 156 142 127 103 287 299
ENSG00000128654 45 50 45 41 47 57
ENSG00000128656 159 159 129 118 133 135
ENSG00000128692 0 1 1 1 1 2
ENSG00000128694 4 3 3 4 5 6
ENSG00000128699 39 36 35 35 45 50
ENSG00000128708 19 19 23 20 25 27
ENSG00000128731 12 13 12 11 16 18
ENSG00000128739 71 81 79 62 34 33
ENSG00000128789 9 9 7 8 5 6
ENSG00000128791 571 578 601 674 456 554
ENSG00000128805 30 37 22 21 24 23
ENSG00000128829 125 128 134 141 86 92
ENSG00000128872 1 1 1 1 6 5
ENSG00000128881 8 8 9 11 7 6
ENSG00000128886 2 2 3 3 1 1
ENSG00000128891 5 4 6 7 4 5
ENSG00000128908 17 19 18 17 20 21
ENSG00000128915 13 13 13 15 12 15
ENSG00000128917 4 4 3 4 4 5
ENSG00000128923 20 19 20 18 27 30
ENSG00000128928 37 37 36 33 35 38
ENSG00000128944 22 22 25 22 32 38
ENSG00000128951 63 63 59 56 54 65
ENSG00000128965 98 83 68 61 122 132
ENSG00000128973 8 6 6 3 10 11
ENSG00000128989 109 105 112 115 77 90
ENSG00000129003 12 11 12 11 14 16
ENSG00000129007 3 3 2 3 3 4
ENSG00000129009 0 0 0 0 0 0
ENSG00000129028 4 4 5 5 5 4
ENSG00000129038 496 444 571 414 256 258
ENSG00000129048 1 1 2 2 0 0
ENSG00000129055 71 66 67 72 57 57
ENSG00000129071 34 30 34 33 40 39
ENSG00000129083 284 263 293 301 298 340
ENSG00000129084 190 179 213 204 236 249
ENSG00000129103 132 140 140 153 217 230
ENSG00000129116 356 321 436 430 315 378
ENSG00000129128 191 207 200 205 141 169
ENSG00000129158 10 12 15 12 21 17
ENSG00000129173 0 0 0 0 1 1
ENSG00000129187 223 232 238 232 238 234
ENSG00000129194 2 1 1 2 2 1
ENSG00000129195 7 9 8 8 18 18
ENSG00000129197 14 12 11 13 21 19
ENSG00000129214 1 1 0 1 0 1
ENSG00000129219 26 25 31 27 29 30
ENSG00000129226 181 184 181 238 88 90
ENSG00000129235 26 26 21 17 44 35
ENSG00000129245 42 44 40 43 68 59
ENSG00000129250 61 66 59 59 71 67
ENSG00000129255 85 76 98 83 60 80
ENSG00000129282 6 3 3 6 6 6
ENSG00000129292 23 22 25 20 32 39
ENSG00000129315 15 15 13 16 14 17
ENSG00000129317 4 4 4 3 4 5
ENSG00000129347 13 12 12 10 17 23
ENSG00000129351 134 126 145 126 182 194
ENSG00000129353 246 231 296 298 183 213
ENSG00000129355 17 16 19 18 14 13
ENSG00000129422 3 3 4 6 3 4
ENSG00000129460 11 10 12 10 14 15
ENSG00000129465 1 2 2 1 0 0
ENSG00000129472 18 17 16 15 23 22
ENSG00000129473 28 27 24 27 47 48
ENSG00000129474 106 102 121 116 75 82
ENSG00000129480 10 8 9 6 15 16
ENSG00000129484 17 18 17 21 19 23
ENSG00000129493 37 38 41 36 27 29
ENSG00000129514 2 2 2 1 1 1
ENSG00000129515 123 114 142 136 100 107
ENSG00000129518 40 40 42 44 54 54
ENSG00000129521 84 69 55 58 5 5
ENSG00000129534 6 8 8 9 8 10
ENSG00000129535 0 0 0 0 1 0
ENSG00000129559 120 117 111 104 147 126
ENSG00000129562 444 440 451 439 352 376
ENSG00000129566 7 8 7 6 9 11
ENSG00000129625 159 156 156 178 153 166
ENSG00000129636 92 91 97 106 92 98
ENSG00000129646 1 1 1 1 1 1
ENSG00000129657 66 63 75 76 56 60
ENSG00000129667 27 24 31 28 8 8
ENSG00000129675 26 21 32 27 7 11
ENSG00000129680 21 18 21 24 21 25
ENSG00000129691 32 33 34 28 54 55
ENSG00000129696 9 10 10 9 10 9
ENSG00000129757 34 34 57 79 14 15
ENSG00000129810 2 2 1 2 2 2
ENSG00000129910 1 1 1 1 0 0
ENSG00000129911 28 25 24 24 22 20
ENSG00000129925 94 96 99 93 59 54
ENSG00000129932 18 16 18 15 25 19
ENSG00000129933 28 33 33 35 30 34
ENSG00000129946 1 1 0 2 1 1
ENSG00000129951 5 5 4 4 8 7
ENSG00000129968 59 56 64 60 38 35
ENSG00000130005 35 38 35 38 40 32
ENSG00000130021 52 56 58 61 39 44
ENSG00000130023 11 11 12 11 17 18
ENSG00000130024 97 91 91 93 65 67
ENSG00000130045 3 6 5 4 5 7
ENSG00000130052 3 2 5 4 2 2
ENSG00000130066 111 116 126 168 123 114
ENSG00000130119 4 3 4 4 6 6
